player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Anthony Gordon,40119,QB,WASH STATE,12,79.8,608,650,7.2,2.75,8,27,4.0,71.5,465,0,160,4.1,696,20,266,341,66.2,80.7,81.6,49.0,4,16,725,4,11.3,107.9,2.6,18,27,4,26,45,27,3.7,5213,8.0
Josh Love,34044,QB,S JOSE ST,12,71.6,454,481,11.0,2.36,6,28,5.5,60.9,293,0,145,9.8,501,32,168,285,74.9,88.8,87.3,58.8,10,8,533,2,9.0,95.1,2.6,13,5,0,11,22,15,2.8,3923,8.2
Kaleb Barker,46494,QB,TROY,12,73.9,436,460,9.0,2.7,8,21,4.3,65.0,299,0,137,7.1,524,23,184,318,27.4,77.7,76.4,62.3,5,10,556,2,21.9,101.7,5.7,30,32,2,9,30,25,4.5,3621,7.9
Brock Purdy,77672,QB,IOWA STATE,12,74.4,426,446,8.7,2.87,4,19,4.0,65.9,294,0,167,7.3,496,23,189,193,71.6,80.3,82.9,53.4,5,9,525,1,9.0,103.8,3.0,15,31,2,9,27,19,3.6,3753,8.4
Shane Buechele,12659,QB,SMU,12,72.4,413,443,10.0,2.39,5,32,6.8,63.0,279,0,117,6.7,482,20,158,287,75.5,85.3,84.6,60.9,4,9,514,1,13.7,105.2,3.3,16,19,0,21,33,13,2.5,3646,8.2
Holton Ahlers,77651,QB,E CAROLINA,12,68.8,414,441,9.2,2.7,8,22,4.6,59.6,263,0,195,7.7,480,22,160,156,62.5,73.6,71.4,66.2,7,10,518,3,10.3,89.9,4.2,20,18,0,12,21,22,4.2,3358,7.6
Josh Adkins,60483,QB,NEW MEX ST,12,74.5,416,440,7.2,2.54,6,19,4.2,62.7,276,0,172,11.0,503,34,129,242,63.8,70.5,74.5,47.1,1,15,518,3,16.9,75.2,5.8,29,32,0,17,14,16,3.1,2585,5.9
Sam Ehlinger,60555,QB,TEXAS,12,74.0,416,438,10.0,3.01,4,29,6.3,64.8,284,0,143,7.8,533,24,192,311,79.0,89.7,86.4,71.5,4,9,560,4,21.0,102.5,5.6,30,60,1,13,29,12,2.1,3456,7.9
Jordan Love,40306,QB,UTAH ST,12,70.0,413,435,10.0,2.66,5,32,7.0,60.7,264,0,138,8.7,476,25,137,329,29.6,73.7,75.7,50.5,8,16,499,1,14.5,79.9,4.2,20,21,0,9,17,26,5.2,3088,7.1
Kenny Pickett,60515,QB,PITTSBURGH,11,74.7,396,431,8.1,3.04,6,16,3.5,60.8,262,0,194,11.5,499,34,141,268,57.9,73.3,73.6,57.9,5,9,520,2,13.9,78.2,5.4,27,40,0,24,10,18,3.5,2734,6.3
