player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Luc Bequette,25776,DI,CAL,11,1,,,2.6,,,0,0,0,,130,55.3,52.8,83.8,66.2,44.5,47.8,0,,37.5,3,0,0,0.0,0,8,302,3,4,0,0,0,0,0.0,
Jeremiah Moon,26453,LB,FLORIDA,10,4,5.5,62.5,58.6,24.6,15.4,0,1,0,0.0,163,57.1,63.5,88.2,68.5,62.2,74.9,0,32,15.8,3,0,0,81.3,5,130,222,8,12,8,0,52,43,0.4,10.4
Demario McCall,28012,CB,OHIO STATE,5,1,13.3,50.0,100.0,14.7,7.3,0,0,1,16.7,260,69.9,71.1,77.8,,70.2,82.5,0,10,0.0,0,1,0,56.3,3,45,45,2,3,6,0,14,8,0.3,4.7
Brenden Schooler,28253,S,TEXAS,11,4,9.6,61.1,98.9,16.4,10.0,0,1,1,5.6,311,75.9,69.7,23.7,77.0,53.7,69.2,0,20,8.0,2,1,1,76.9,11,184,186,5,19,18,0,103,41,0.6,9.4
Richard Moore,28853,LB,SMU,11,2,3.9,81.8,76.0,17.1,14.0,0,0,0,0.0,287,56.5,57.4,0.0,77.3,55.0,49.3,0,46,10.0,1,0,4,158.3,9,165,217,7,7,11,2,183,156,1.2,20.3
Jack Jones,29050,CB,ARIZONA ST,11,2,12.2,66.0,99.7,9.9,6.5,0,1,7,14.0,110,78.8,79.4,46.5,92.5,69.0,59.7,3,44,3.4,1,5,2,86.3,33,351,352,6,26,50,3,410,108,1.3,12.4
Marshaun Cameron,30624,CB,COLO STATE,12,6,17.2,55.1,98.7,10.4,5.7,0,0,8,16.3,144,47.1,52.0,46.7,64.2,71.7,85.1,1,93,0.0,0,3,9,121.2,27,305,309,7,21,49,10,495,162,1.8,18.3
Brian Cavicante,33444,LB,MARSHALL,8,2,5.0,75.0,85.1,19.7,14.8,0,0,0,0.0,214,42.3,63.8,81.6,77.8,76.1,65.7,0,23,0.0,0,0,1,104.2,3,63,74,1,2,4,0,38,30,0.6,12.7
Brock Nichols,33753,S,USF,8,0,14.1,28.6,98.8,38.5,11.0,0,0,0,0.0,327,71.0,70.9,80.5,60.0,68.2,84.9,1,5,0.0,0,0,0,0.0,2,79,80,3,4,7,0,9,3,0.1,4.5
Meiko Dotson,33902,CB,FLORIDA ST,6,0,12.5,63.6,97.1,9.3,5.9,0,0,0,0.0,167,63.5,63.0,79.8,55.2,61.1,71.2,0,59,0.0,0,0,0,133.9,7,66,68,1,6,11,1,128,38,2.0,18.3
Denzel Feaster,34561,LB,UTSA,10,0,8.5,66.7,93.3,26.3,17.5,0,0,0,0.0,331,43.4,56.3,80.2,53.8,70.0,56.0,0,16,25.0,2,0,0,88.2,4,111,119,2,6,6,0,44,11,0.4,11.0
Ferrod Gardner,34595,LB,LA LAFAYET,10,1,5.6,67.6,81.8,9.4,6.4,0,0,5,14.7,207,44.4,63.1,45.7,68.4,76.4,59.1,1,30,44.0,11,4,1,78.4,23,229,280,8,13,34,0,263,155,1.2,11.4
John Petrishen,35069,LB,PITTSBURGH,12,9,1.7,87.0,82.9,11.3,9.8,0,0,0,0.0,268,66.7,70.4,79.3,67.6,75.0,68.4,3,71,22.7,5,0,0,68.6,20,243,293,8,8,23,0,229,256,1.0,11.5
Cristian Williams,36151,S,TULSA,8,5,11.1,47.1,97.6,29.6,13.9,0,0,2,11.8,320,54.6,57.6,85.4,61.3,63.2,32.9,0,45,36.4,8,2,0,78.3,8,246,252,1,9,17,0,151,91,0.6,18.9
Scott Patchan,36449,ED,COLO STATE,12,1,,,7.0,,,0,0,0,,144,73.0,85.2,43.6,91.3,70.0,53.6,0,,20.0,1,0,4,0.0,0,27,388,12,3,0,0,0,0,0.0,
Thad Mangum,36819,DI,USF,12,1,,,0.7,,,0,0,0,,327,61.0,49.8,67.0,56.9,46.1,25.4,0,,50.0,3,0,1,0.0,0,2,269,1,2,0,0,0,0,0.0,
Cameron Goode,38410,ED,CAL,11,7,7.0,50.0,11.1,40.0,20.0,0,0,1,50.0,130,73.8,74.4,49.3,77.7,64.9,59.2,0,6,29.4,5,0,3,56.3,1,47,423,9,5,2,0,6,2,0.2,6.0
Josh Drayden,38498,CB,CAL,12,7,10.4,66.7,96.7,13.8,9.2,1,0,2,4.2,130,62.4,67.3,59.8,66.5,83.0,62.6,0,26,21.4,9,2,4,99.0,32,474,490,3,26,48,2,316,113,0.7,9.9
De'Vante Cross,39851,CB,VIRGINIA,8,1,12.2,57.6,99.3,13.7,7.9,0,1,6,18.2,335,47.2,49.3,87.9,60.0,54.0,47.2,1,92,20.0,4,4,0,110.8,19,275,277,2,15,33,3,341,142,1.3,17.9
Jordan Carmouche,39951,LB,HOUSTON,7,0,3.4,66.7,100.0,9.7,6.4,0,0,1,11.1,182,58.9,62.9,78.3,,66.4,55.7,0,13,33.3,1,1,0,79.9,6,64,64,1,2,9,0,48,31,0.8,8.0
Derrion Rakestraw,39968,S,TULANE,11,1,5.2,81.8,98.1,17.2,14.1,0,0,0,0.0,319,64.3,66.8,83.8,63.9,69.3,70.6,1,14,13.6,3,0,0,93.8,9,159,162,5,18,11,3,67,35,0.4,7.4
Brandon Martin,40066,LB,BALL ST,5,0,6.0,69.2,93.3,10.3,7.2,0,0,0,0.0,117,61.2,46.5,7.0,68.3,34.7,49.2,1,9,16.7,2,0,1,46.3,9,97,104,2,10,13,0,58,31,0.6,6.4
Phillip Howard,40350,CB,MINNESOTA,12,1,13.6,45.5,100.0,19.8,9.0,0,1,0,0.0,225,64.6,66.2,80.8,,71.1,71.6,1,23,11.1,1,0,2,28.6,5,106,106,3,7,11,0,70,9,0.7,14.0
Kumehnnu Gwilly,40495,LB,C MICHIGAN,10,0,9.0,33.3,68.2,40.0,13.3,0,0,0,0.0,134,55.9,62.4,82.9,56.8,66.3,76.6,0,31,0.0,0,0,0,72.9,1,45,66,1,2,3,0,31,22,0.8,31.0
Jahaziel Lee,40537,DI,LA MONROE,12,1,2.0,100.0,1.7,2.0,2.0,0,0,0,0.0,209,68.3,55.0,83.3,62.8,46.7,58.1,0,3,40.0,2,0,0,79.2,1,3,178,1,2,1,0,3,1,1.5,3.0
Velus Jones Jr.,40573,WR,TENNESSEE,1,0,,,100.0,,,0,0,0,,307,51.7,48.0,60.0,,60.0,21.3,0,,100.0,1,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Prather Hudson,40617,S,ILLINOIS,8,0,11.3,83.3,93.3,10.4,8.7,0,0,0,0.0,187,60.6,64.3,78.9,74.5,64.7,57.0,0,36,33.3,1,0,0,118.8,5,56,60,1,2,6,0,82,31,1.6,16.4
Justin Rice,40640,LB,UTAH ST,12,9,4.6,80.4,82.6,8.0,6.5,0,0,1,2.0,329,51.3,55.2,87.2,61.5,56.7,67.9,3,69,15.0,6,1,0,94.6,41,351,425,12,25,51,2,482,302,1.5,11.8
Aaron Hansford,40694,LB,TEXAS A&M,12,2,1.9,77.1,81.7,11.9,9.2,0,1,3,8.6,312,70.7,75.9,60.2,70.0,78.2,63.0,0,34,12.9,4,3,1,90.2,27,334,409,20,25,35,0,200,165,0.6,7.4
Malik Staples,40902,LB,W KENTUCKY,5,0,2.4,60.0,87.7,15.3,9.2,0,0,0,0.0,346,58.0,48.5,78.5,63.0,37.9,23.7,0,17,33.3,1,0,0,120.8,3,50,57,0,2,5,1,35,29,0.8,11.7
Deonte Perry,41092,S,FRESNO ST,6,1,16.7,33.3,96.5,78.0,26.0,0,0,1,33.3,169,78.1,72.4,80.8,57.5,49.8,65.8,0,2,0.0,0,1,0,42.4,1,83,86,1,3,3,0,2,2,0.0,2.0
Eric Sutton,41489,CB,TEXAS ST,10,1,6.5,84.2,99.2,7.4,6.2,0,0,0,0.0,314,48.3,54.3,84.5,63.7,65.6,62.5,0,23,10.0,1,0,0,136.0,16,123,124,2,8,19,2,156,71,1.3,9.8
Ty Shelby,41752,ED,LA MONROE,12,2,1.3,66.7,12.3,20.0,13.3,0,0,0,0.0,209,64.5,73.5,88.2,66.6,74.2,82.5,0,19,12.5,1,0,0,91.0,2,42,342,8,5,3,0,24,16,0.6,12.0
Sam Hammond,41836,ED,NEVADA,12,1,,,3.0,,,0,0,0,,239,59.2,65.7,87.8,63.6,64.5,49.9,0,,33.3,2,0,0,0.0,0,10,336,6,3,0,0,0,0,0.0,
Ben Davis,41960,ED,TEXAS,10,1,0.7,100.0,53.7,6.1,6.1,0,0,0,0.0,311,60.7,67.3,86.0,72.5,64.5,83.5,0,14,0.0,0,0,0,95.8,7,44,82,3,4,7,0,49,44,1.1,7.0
Jalen Virgil,41991,WR,APP STATE,1,0,,,100.0,,,0,0,0,,108,60.0,60.0,64.7,,,,0,,,0,0,1,0.0,0,1,1,0,0,0,0,0,0,0.0,
Dru Mathis,42027,LB,OREGON,1,0,9.0,100.0,75.0,3.0,3.0,0,0,0,0.0,264,49.5,60.8,69.7,59.1,75.5,75.8,0,12,,0,0,0,116.7,1,3,4,0,0,1,0,12,3,4.0,12.0
Freddie Johnson,42129,CB,TEMPLE,10,0,8.5,53.8,99.0,13.3,7.2,0,1,1,7.7,306,60.5,60.4,80.9,60.0,58.9,42.5,1,17,20.0,1,1,1,35.7,7,97,98,1,4,13,0,65,63,0.7,9.3
Avien Peah,42158,ED,UMASS,12,1,2.3,100.0,17.8,8.5,8.5,0,0,0,0.0,216,63.2,64.3,88.3,64.6,60.9,74.4,0,24,0.0,0,0,0,114.6,4,39,219,2,5,4,0,46,37,1.4,11.5
Nick Grant,42242,S,VIRGINIA,11,4,11.5,62.9,98.6,12.3,7.7,0,2,9,25.7,335,63.7,67.1,85.7,47.8,74.9,53.2,0,37,21.2,7,6,0,115.5,22,286,290,4,22,35,3,273,89,1.0,12.4
Audie Omotosho,42280,WR,E CAROLINA,1,0,,,100.0,,,0,0,0,,156,60.0,62.4,60.0,,,,0,,,0,0,3,0.0,0,1,1,0,0,0,0,0,0,0.0,
Alonzo McCoy,42383,CB,C MICHIGAN,12,2,6.3,67.2,96.0,9.0,6.0,0,0,8,13.1,134,83.0,80.8,53.9,58.3,69.3,62.3,0,54,15.8,6,8,1,94.1,41,382,398,15,30,61,2,367,225,1.0,9.0
Chris Moore,42400,S,GA STATE,11,5,7.4,66.7,99.4,18.5,12.3,0,0,2,7.4,175,76.2,75.7,39.6,66.6,74.6,76.6,1,51,3.8,1,2,1,83.4,18,353,355,5,20,27,1,187,87,0.6,10.4
Raleigh Texada,42440,CB,BAYLOR,12,1,17.1,64.1,96.6,9.9,6.4,1,0,4,10.3,118,51.2,57.5,33.1,96.7,57.3,81.5,1,52,0.0,0,2,5,114.9,25,259,268,5,19,39,3,416,87,1.7,16.6
Greg Eisworth II,42444,S,IOWA STATE,12,4,13.5,46.9,99.1,20.5,9.6,0,1,3,9.4,193,70.2,70.1,87.6,56.3,67.7,44.7,2,42,19.0,4,3,0,65.8,15,322,325,4,13,32,2,229,39,0.7,15.3
JoJo Domann,42446,LB,NEBRASKA,10,8,3.5,82.1,93.2,10.3,8.4,0,1,3,7.7,238,87.8,87.3,91.7,72.6,83.1,74.2,2,18,9.8,4,2,2,63.8,32,340,365,13,29,39,0,173,118,0.5,5.4
D.J. Ford,42473,S,E CAROLINA,10,3,8.3,70.6,91.0,14.4,10.2,0,1,3,17.6,156,69.4,64.5,84.6,50.5,56.9,73.5,0,34,0.0,0,3,0,107.2,12,181,199,4,15,17,1,109,47,0.6,9.1
Monte McGary,42477,S,UTAH ST,10,0,11.0,61.9,95.1,9.7,6.0,0,0,4,19.0,329,62.2,59.5,8.9,61.1,55.0,54.1,1,43,9.1,1,4,1,93.4,13,135,142,3,10,21,2,140,52,1.1,10.8
Tomon Fox,42486,ED,N CAROLINA,12,1,12.2,60.0,21.4,22.7,13.6,0,0,0,0.0,245,65.1,72.8,77.1,75.5,66.5,68.2,0,44,0.0,0,0,1,102.9,3,75,351,11,4,5,0,61,15,0.9,20.3
Jay Lenard,42492,S,S JOSE ST,12,5,17.3,66.7,96.2,27.4,18.3,0,0,1,4.2,285,59.6,68.6,61.0,81.1,78.9,74.8,1,55,20.0,5,1,2,117.0,16,455,473,6,15,24,2,282,63,0.6,17.6
Devin Harper,42494,LB,OKLA STATE,12,9,2.2,83.3,83.1,11.2,9.3,0,2,2,5.6,262,63.5,75.2,31.0,88.2,78.0,74.0,0,27,15.0,6,2,2,111.9,30,358,431,18,25,36,1,311,294,0.9,10.4
Cedric Boswell,42504,CB,MIAMI OH,12,2,10.7,69.2,98.2,6.6,4.5,0,1,7,9.0,221,37.2,40.4,86.2,53.4,51.4,57.1,1,38,8.9,4,6,8,100.1,54,375,382,8,39,78,3,614,137,1.7,11.4
Keir Thomas,42509,ED,FLORIDA ST,12,1,,,3.3,,,1,1,1,,167,71.4,69.2,46.2,67.8,67.0,72.5,0,,40.0,4,1,3,0.0,0,12,367,11,5,0,0,0,0,0.0,
Tyrez Lindsey,42510,S,MEMPHIS,10,2,5.9,70.0,98.6,14.7,10.3,0,0,0,0.0,218,65.4,64.4,28.7,76.1,60.8,62.4,1,19,13.6,3,0,1,104.4,14,214,217,3,17,20,3,121,79,0.6,8.6
Bricen Garner,42520,S,W MICHIGAN,3,0,9.5,25.0,100.0,37.0,9.3,0,0,0,0.0,347,81.1,61.2,79.1,,29.4,36.3,1,6,0.0,0,0,0,0.0,1,41,41,0,3,4,0,6,6,0.2,6.0
James Skalski,42552,LB,CLEMSON,12,5,3.7,75.6,76.5,10.0,7.6,0,0,3,7.3,140,65.4,64.6,58.9,60.2,63.8,46.8,0,39,15.2,7,2,1,100.8,31,328,429,22,34,41,1,271,177,0.9,8.7
Nazeeh Johnson,42553,S,MARSHALL,9,3,9.7,66.7,98.6,13.4,8.9,0,0,3,8.3,214,83.5,79.4,88.2,72.3,62.4,77.9,2,32,10.5,4,3,1,67.2,24,349,354,8,31,36,1,203,107,0.6,8.5
Jordan Fox,42554,ED,STANFORD,12,2,5.0,88.9,37.0,9.1,8.1,0,0,0,0.0,300,68.5,64.7,28.0,63.9,63.8,54.0,0,19,11.1,1,0,3,100.0,8,78,211,4,6,9,0,72,32,1.0,9.0
Benjamin Alexander,42567,S,LIBERTY,8,0,8.3,50.0,100.0,12.5,6.3,0,0,0,0.0,206,61.6,68.8,75.9,,72.3,64.0,0,51,0.0,0,0,0,95.8,2,25,25,1,5,4,0,55,38,2.2,27.5
Ja'Quain Blakely,42579,ED,TENNESSEE,12,0,,,0.4,,,0,0,0,,307,61.2,59.6,67.5,55.6,62.5,73.5,0,,40.0,2,0,1,0.0,0,1,273,4,3,0,0,0,0,0.0,
Aaron Ramseur,42585,LB,E CAROLINA,9,0,4.3,100.0,78.8,6.2,6.2,0,0,0,0.0,156,55.7,74.3,0.0,77.5,82.1,71.1,0,44,18.2,2,0,1,148.3,10,63,80,7,9,10,1,116,73,1.9,11.6
Andrzej Hughes-Murray,42597,ED,OREGON ST,12,1,1.8,70.0,16.6,8.1,5.7,0,0,0,0.0,265,58.7,68.6,76.2,69.6,66.4,59.6,0,14,10.0,1,0,1,116.7,7,58,349,6,8,10,1,55,43,1.0,7.9
Taylor Riggins,42599,ED,BUFFALO,5,0,,,0.9,,,0,0,0,,126,60.0,92.3,83.8,91.6,86.6,84.6,0,,,0,0,0,0.0,0,1,111,5,0,0,0,0,0,0.0,
Tayler Hawkins,42606,CB,S DIEGO ST,11,7,10.6,53.1,98.9,16.2,8.6,0,2,7,14.3,284,89.5,85.4,0.0,67.4,75.0,84.4,2,23,5.1,2,7,5,49.5,26,438,443,14,30,49,0,238,97,0.6,9.2
Therran Coleman,42611,CB,W MICHIGAN,12,1,14.4,61.3,99.4,15.8,9.7,0,2,4,12.9,347,65.8,66.3,86.2,55.1,65.4,39.5,0,44,28.6,6,3,2,121.0,19,321,323,5,14,31,3,265,95,0.9,13.9
Caesar Williams,42613,CB,WISCONSIN,12,0,15.1,43.2,100.0,16.7,7.2,0,0,7,15.9,349,76.8,76.5,40.9,,73.0,85.5,3,52,0.0,0,5,5,41.6,19,332,332,2,16,44,1,257,44,0.8,13.5
Calvin Swenson,42636,S,MINNESOTA,2,0,27.0,50.0,100.0,11.0,5.5,0,0,0,0.0,225,28.7,29.0,75.5,,52.8,79.4,0,56,,0,0,0,135.4,1,12,12,0,0,2,1,56,16,5.1,56.0
Brandon Bouyer-Randle,42637,LB,TEXAS TECH,8,1,8.3,73.3,74.5,9.6,7.1,0,0,1,6.7,315,35.4,53.2,81.3,84.6,59.6,50.5,0,30,23.1,3,1,1,109.3,11,111,149,4,9,15,0,166,72,1.6,15.1
Joe Headen,42645,CB,DOMINION,12,12,16.1,52.4,99.8,18.3,9.6,1,0,4,9.5,263,75.6,76.8,90.3,68.3,74.5,69.7,2,55,12.5,4,3,2,72.1,22,430,431,7,16,42,2,306,171,0.8,13.9
Lawson Hall,42652,LB,NEVADA,12,6,5.6,75.0,87.8,10.5,7.9,0,0,0,0.0,239,40.6,36.0,83.8,58.7,35.3,60.3,1,21,12.1,4,0,0,86.8,24,260,296,2,23,32,1,191,84,0.8,8.0
Clifford Chattman,42657,S,UTSA,4,0,15.0,55.6,95.8,12.8,7.1,0,0,2,22.2,331,48.9,56.6,79.8,67.7,73.1,78.9,0,60,10.0,1,1,0,133.8,5,68,71,5,9,9,2,99,23,1.5,19.8
Eric Kendzior,42672,ED,LA TECH,5,0,,,11.4,,,0,0,0,,208,62.5,64.8,81.4,64.4,61.0,75.2,0,,,0,0,0,0.0,0,5,44,0,0,0,0,0,0,0.0,
Mike Palmer,42674,S,BOSTON COL,12,1,16.6,62.5,96.8,39.8,24.9,0,0,0,0.0,121,78.5,79.1,32.5,52.9,80.6,82.2,1,32,0.0,0,0,1,83.3,5,215,222,0,12,8,1,56,9,0.3,11.2
Isaiah Graham-Mobley,42679,LB,BOSTON COL,9,4,5.4,66.7,75.5,16.4,10.9,0,0,1,6.7,121,58.6,48.9,8.3,58.4,44.6,54.2,0,22,18.2,4,1,2,108.7,10,173,229,4,14,15,1,104,77,0.6,10.4
Tyreek Maddox-Williams,42694,LB,RUTGERS,7,3,2.8,55.6,81.3,17.2,9.6,0,0,1,11.1,278,68.8,62.1,81.9,61.4,52.8,73.9,0,23,0.0,0,1,0,68.8,5,91,112,2,3,9,0,44,24,0.5,8.8
Demetrius Cain,42697,LB,W KENTUCKY,12,2,4.2,76.2,83.4,13.3,10.1,0,0,1,4.8,346,73.5,62.1,12.9,64.5,52.3,72.5,2,18,0.0,0,1,2,45.4,16,221,265,5,11,21,0,98,53,0.5,6.1
Drew Harvey,42699,LB,UMASS,3,0,11.5,100.0,66.7,5.0,5.0,0,0,0,0.0,216,38.5,33.1,0.0,55.1,53.7,31.8,0,12,,0,0,1,114.6,2,10,15,0,0,2,0,23,0,2.3,11.5
Ryan Bowman,42714,ED,WASHINGTON,7,1,-5.5,50.0,12.2,17.0,8.5,0,0,0,0.0,340,60.3,71.8,60.1,69.2,72.3,33.4,0,-4,33.3,1,0,2,56.3,1,17,139,3,1,2,0,-4,2,-0.2,-4.0
Zach Hannibal,42732,CB,LA TECH,12,0,10.9,60.0,99.2,19.7,11.8,0,0,2,20.0,208,71.0,69.5,81.4,60.0,61.5,63.1,0,33,0.0,0,2,1,110.4,6,127,128,3,8,10,1,60,8,0.5,10.0
Spencer Eason-Riddle,42747,LB,S CAROLINA,1,0,,,100.0,,,0,0,0,,289,62.3,66.1,67.9,,61.6,73.1,0,,0.0,0,0,0,0.0,0,2,2,0,1,0,0,0,0,0.0,
Nick Heninger,42766,ED,UTAH ST,12,5,3.0,50.0,7.8,25.0,12.5,0,1,1,50.0,329,72.8,82.2,75.8,79.5,76.1,60.8,0,5,13.3,2,1,1,56.3,1,27,348,7,8,2,0,5,3,0.2,5.0
Ajani Kerr,42797,CB,TULANE,12,3,10.5,61.4,98.9,12.3,7.5,0,0,7,15.9,319,60.1,61.8,86.6,54.7,68.5,58.2,0,36,22.7,5,6,4,100.9,27,351,355,3,14,44,2,343,140,1.0,12.7
Mike Maskalunas,42820,LB,WISCONSIN,4,0,,,66.2,,,0,0,0,,349,71.0,66.2,75.5,65.3,54.0,29.6,0,,0.0,0,0,0,0.0,0,43,65,1,2,0,0,0,0,0.0,
Chase Lucas,42833,CB,ARIZONA ST,10,1,9.3,62.7,99.1,8.0,5.0,0,0,8,13.6,110,58.2,60.5,7.4,68.6,75.6,74.2,0,34,11.8,4,6,6,83.3,37,318,321,9,29,59,0,410,142,1.4,11.1
Willie Baker,42835,ED,LA TECH,11,1,,,7.1,,,0,0,0,,208,68.9,58.8,83.4,54.0,58.8,54.9,0,,0.0,0,0,0,0.0,0,8,113,1,1,0,0,0,0,0.0,
Xavior Williams,42838,CB,IOWA,1,0,,,100.0,,,0,0,0,,192,60.0,64.5,71.4,,63.7,74.3,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Justus Rogers,42865,LB,WASH STATE,12,3,8.1,77.1,87.7,10.2,7.9,0,0,2,5.7,341,62.5,58.3,50.8,72.6,51.2,56.3,2,45,16.7,5,2,1,115.7,27,286,326,9,22,35,3,374,186,1.4,13.9
D.C. Williams,42880,CB,TEXAS ST,12,5,12.6,54.5,100.0,10.3,5.6,5,0,7,12.7,314,48.4,46.5,40.8,60.0,39.5,29.8,0,39,20.6,7,6,10,82.9,30,329,329,6,22,55,2,307,122,1.0,10.2
Grant Morgan,42888,LB,ARKANSAS,12,11,4.4,77.8,83.8,17.2,13.4,0,2,3,16.7,111,73.1,71.2,16.0,80.8,64.5,62.2,1,20,15.6,5,3,2,83.6,14,263,314,12,16,18,1,93,52,0.4,6.6
Jahad Woods,42896,LB,WASH STATE,12,4,5.3,71.1,87.5,11.9,8.4,0,0,2,5.3,341,65.4,64.2,52.0,67.9,61.1,58.6,1,42,11.5,3,2,1,77.0,27,330,377,10,19,38,0,243,147,0.8,9.0
Rachuan Mitchell,42909,CB,SO MISS,11,1,15.3,68.2,95.1,13.5,9.2,3,1,1,4.5,296,48.2,43.9,33.5,63.7,30.1,29.7,0,91,10.0,1,1,6,141.3,15,214,225,5,8,22,2,343,130,1.7,22.9
Deon Edwards,42912,LB,ARKANSAS,5,2,2.0,50.0,47.6,9.0,4.5,0,0,0,0.0,111,69.7,73.7,77.2,56.4,77.2,80.3,0,10,0.0,0,0,0,64.6,1,10,21,0,0,2,0,10,8,1.1,10.0
Travon Fuller,42926,CB,TULSA,12,3,13.6,50.9,100.0,12.4,6.3,0,1,10,17.5,320,74.2,76.9,84.7,,85.3,62.6,3,35,20.0,5,10,0,61.1,29,377,377,7,17,57,2,368,139,1.0,12.7
Cobi Francis,42941,CB,MEMPHIS,12,1,12.1,55.8,99.8,18.0,10.0,0,0,7,16.3,218,76.1,76.9,85.4,48.2,78.4,69.5,2,32,15.4,4,4,2,72.6,24,448,449,6,21,43,2,288,80,0.7,12.0
Jordan Happle,42942,S,OREGON,11,2,12.0,61.5,96.5,22.1,13.6,0,0,1,7.7,264,57.8,64.4,82.2,55.1,78.3,58.9,1,39,23.1,3,1,0,86.1,8,191,198,1,8,13,1,122,67,0.7,15.3
Alexander Sims,42947,LB,KENT STATE,2,0,,,100.0,,,0,0,0,,201,61.9,62.9,99.9,,,,0,,,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0.0,
Coney Durr,42953,CB,MINNESOTA,12,2,7.1,60.5,96.8,14.7,8.9,0,0,4,10.5,225,70.7,71.0,85.1,70.1,68.1,57.3,0,70,11.5,3,3,3,109.4,23,360,372,13,21,38,3,279,222,0.8,12.1
Noah Burks,42956,ED,WISCONSIN,12,2,2.8,83.3,45.4,13.7,11.4,0,0,1,8.3,349,70.8,75.2,90.7,66.8,77.6,67.5,1,13,15.4,2,1,1,51.7,10,144,317,7,9,12,0,57,37,0.4,5.7
Thomas Pickens,42970,LB,MEMPHIS,10,3,4.2,91.7,83.3,10.2,9.4,0,0,0,0.0,218,58.8,61.2,80.6,61.9,62.0,67.8,0,32,22.2,6,0,0,117.2,22,234,281,4,18,24,1,211,107,0.9,9.6
Will Evans,42984,ED,OHIO,12,0,7.5,50.0,3.6,8.0,4.0,0,0,0,0.0,259,65.5,73.9,42.2,73.3,72.1,53.3,0,9,0.0,0,0,3,62.5,1,11,309,6,2,2,0,9,10,1.1,9.0
