player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Jaylan Foster,13095,S,S CAROLINA,12,3,12.2,65.4,97.7,19.2,12.6,0,0,2,7.7,289,71.7,71.2,52.3,85.2,65.2,62.3,5,61,23.5,8,2,1,107.2,17,341,349,9,23,26,5,316,148,1.0,18.6
Mark Williams,21922,CB,LA MONROE,7,2,9.4,81.8,99.0,10.7,8.7,0,0,2,9.1,209,70.1,69.6,82.8,55.6,62.8,43.9,1,55,21.4,6,2,1,95.3,18,196,198,8,20,22,1,171,62,0.9,9.5
Devin Taylor,22317,CB,BOWL GREEN,12,2,14.0,46.7,97.8,15.9,7.4,0,0,12,26.7,122,70.0,69.5,24.9,53.0,72.9,65.4,2,83,16.0,4,9,7,60.1,21,357,365,6,19,45,1,327,133,1.0,15.6
Cortez Davis,22974,CB,HAWAII,13,5,13.9,52.1,97.1,11.3,5.9,0,2,17,18.1,180,64.7,63.9,88.3,64.1,55.2,58.6,1,44,14.3,5,15,5,79.9,49,575,592,6,25,94,4,556,252,1.0,11.3
Dru Prox,23093,LB,UTSA,8,0,8.0,57.1,85.9,15.8,9.0,0,0,1,14.3,331,53.4,66.4,76.7,86.8,67.8,76.6,0,40,0.0,0,1,0,132.7,4,67,78,1,2,7,1,73,41,1.2,18.3
Reggie Stubblefield,23441,S,KANSAS ST,11,1,2.6,80.6,83.2,7.8,6.3,0,0,1,2.8,199,57.4,65.3,45.7,63.9,80.1,55.2,0,21,26.1,6,1,2,97.9,29,238,286,10,16,36,1,190,158,0.8,6.6
Colby Burton,23898,CB,HAWAII,6,0,7.3,100.0,96.7,9.0,9.0,0,0,0,0.0,180,60.0,62.6,79.6,57.2,72.4,83.5,0,22,0.0,0,0,1,109.7,6,58,60,1,6,6,0,62,18,1.1,10.3
Darion Dunn,23963,CB,TEXAS,11,2,12.2,56.0,96.6,11.6,6.5,0,0,2,8.0,311,75.0,74.0,15.8,56.3,71.7,69.7,0,52,11.8,2,2,1,89.6,14,171,177,2,13,25,1,165,40,1.0,11.8
Darren Evans,24171,CB,LSU,11,1,10.0,70.0,98.7,10.2,7.2,0,0,3,10.0,211,60.3,59.9,83.8,70.5,52.4,53.1,0,24,16.7,3,2,1,125.3,21,220,223,2,14,30,3,227,98,1.1,10.8
Alvinoski LaFleur,24504,S,E MICHIGAN,10,0,11.7,61.9,97.8,19.3,12.0,0,0,2,9.5,160,53.7,57.7,85.5,78.0,59.9,47.8,0,44,27.8,5,0,0,83.6,13,263,269,5,13,21,0,151,63,0.6,11.6
