player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Isaac Ukwu,57888,ED,OLE MISS,12,0,0,226,79.7,3,17,204,77.8,16.7,34,2,7.4,5,275,214,25,0,75.5,2,5,75,83.0,18.7,14,8.7,3,94,78,10
Malik Robinson,58044,LB,HOUSTON,12,0,0,182,66.2,3,4,32,8.8,3.1,1,2,14.1,1,386,34,8,0,64.1,0,1,16,15.1,6.3,1,9.4,1,106,16,2
Monty Montgomery,58203,LB,OLE MISS,10,1,0,226,59.0,0,7,26,24.1,3.8,1,1,13.5,0,108,26,7,0,55.8,0,1,13,41.9,7.7,1,3.8,0,31,13,1
Londyn Craft,60689,LB,E MICHIGAN,6,0,0,160,59.0,0,0,2,3.0,0.0,0,0,0.0,0,66,2,0,0,59.7,0,0,1,4.3,0.0,0,0.0,0,23,1,0
Takulve Williams,61346,S,W KENTUCKY,8,0,0,346,53.0,3,4,31,18.3,6.5,2,1,11.3,0,175,32,7,0,53.1,2,2,13,28.9,15.4,2,15.4,0,45,13,4
Jaiden Cameron,62277,ED,NWESTERN,2,0,0,256,54.6,0,0,7,100.0,0.0,0,0,0.0,0,7,7,0,0,54.6,0,0,7,100.0,0.0,0,0.0,0,7,7,0
Eddie Heckard,63024,CB,BYU,12,0,2,128,72.5,0,0,12,2.9,8.3,1,5,8.3,1,441,13,1,0,76.0,0,0,8,6.6,12.5,1,12.5,1,137,9,1
Jeremiah Harris,63043,S,JVILLE ST,12,0,0,196,59.6,1,0,1,0.3,0.0,0,2,50.0,0,394,1,1,0,,0,0,0,0.0,,0,,0,116,0,0
Kam Butler,63872,ED,VIRGINIA,4,0,0,335,74.3,2,6,90,84.6,17.8,16,2,7.8,3,117,99,11,0,70.0,1,3,37,82.0,21.6,8,13.5,3,50,41,7
Will Whitson,64470,ED,COAST CAR,12,0,0,141,62.6,7,11,212,98.7,5.2,11,1,6.1,4,225,222,22,0,65.1,2,5,62,100.0,9.7,6,10.5,3,65,65,10
Robi Stuart,65032,DI,C MICHIGAN,6,0,0,134,60.8,3,1,97,99.1,4.1,4,0,4.1,2,107,106,6,0,59.9,2,1,37,100.0,5.4,2,6.8,1,41,41,4
Jeremiah Wood,66274,S,OHIO,7,1,2,259,87.3,3,2,20,15.0,30.0,6,2,12.5,0,140,21,5,1,83.7,1,0,7,10.8,14.3,1,7.1,0,65,7,1
Ty Hamilton,66298,DI,OHIO STATE,12,0,0,260,63.0,2,5,158,100.0,5.7,9,0,2.8,1,165,165,8,0,65.4,2,3,61,100.0,6.6,4,5.7,1,64,64,6
Markel Perry,66793,ED,SM HOUSTON,10,0,0,281,67.6,4,12,221,90.7,9.0,20,0,5.0,3,258,234,19,0,67.8,2,4,67,93.4,14.9,10,7.5,2,76,71,8
Jonathan Thomas,70412,ED,NEVADA,3,0,0,239,52.0,1,0,16,100.0,0.0,0,0,3.1,0,17,17,1,0,54.3,0,0,7,100.0,0.0,0,0.0,0,8,8,0
Blake Antzoulatos,70424,LB,CAL,6,0,0,130,52.9,0,0,7,11.7,0.0,0,0,0.0,0,60,7,0,0,54.3,0,0,4,33.3,0.0,0,0.0,0,12,4,0
Ben Florentine,70644,DI,WYOMING,11,0,0,351,57.8,1,3,105,100.0,3.8,4,0,1.9,0,106,106,4,0,60.0,0,3,30,100.0,6.7,2,5.0,0,31,31,3
Korey Foreman,70831,ED,USC,3,0,0,326,78.6,2,2,12,93.3,41.7,5,0,16.7,0,15,14,4,0,72.5,2,0,5,100.0,40.0,2,20.0,0,5,5,2
Tuasivi Nomura,70879,ED,FRESNO ST,7,0,0,169,55.5,0,2,68,78.3,1.5,1,0,2.9,1,92,72,3,0,59.1,0,1,28,83.3,3.6,1,5.4,1,36,30,2
Tate Romney,70946,LB,ARIZONA ST,12,0,0,110,58.0,2,7,56,16.2,5.4,3,0,9.8,1,352,57,10,0,58.6,1,0,19,15.4,5.3,1,7.9,1,130,20,2
Kyler Orr,70975,ED,AIR FORCE,1,0,0,101,58.9,1,0,10,100.0,10.0,1,0,5.0,0,10,10,1,0,61.5,1,0,6,100.0,16.7,1,8.3,0,6,6,1
Keyon Ware-Hudson,71322,DI,OREGON,12,2,0,264,66.0,1,4,110,97.6,6.4,7,0,3.2,1,123,120,6,0,59.4,0,3,36,100.0,8.3,3,4.2,0,42,42,3
William Nimmo Jr.,71391,S,UCLA,12,0,0,324,55.5,0,1,6,3.2,0.0,0,0,8.3,0,220,7,1,0,,0,1,0,0.0,,0,,0,58,0,1
Keanu Tanuvasa,71398,DI,UTAH,12,1,0,328,58.7,3,12,300,100.0,4.3,13,1,3.2,2,316,316,17,1,57.2,2,8,108,100.0,4.6,5,4.6,0,116,116,10
Akili Arnold,71406,S,OREGON ST,11,0,0,265,59.6,1,6,22,5.6,4.5,1,0,20.5,1,414,23,8,0,60.7,0,4,11,6.7,9.1,1,27.3,1,179,12,5
Easton Mascarenas-Arnold,71410,LB,OREGON ST,12,0,0,265,59.4,4,10,70,16.1,8.6,6,1,11.4,1,454,73,15,0,63.5,1,5,32,17.2,12.5,4,12.5,1,198,34,7
Quentin Moten,71681,CB,UNLV,7,0,0,325,59.1,0,0,1,1.1,0.0,0,0,0.0,0,91,1,0,0,,0,0,0,0.0,,0,,0,42,0,0
Sheldon Newton,71957,DI,BOISE ST,12,0,0,120,61.9,1,5,116,100.0,5.2,6,0,2.6,0,123,123,6,0,59.4,0,3,31,100.0,6.5,2,4.8,0,32,32,3
Jake Hall,72023,LB,UTEP,8,0,0,330,58.1,0,0,5,35.7,0.0,0,0,0.0,0,14,5,0,0,,0,0,0,0.0,,0,,0,2,0,0
DJ Harvey,72089,CB,S JOSE ST,11,0,1,285,53.6,0,1,3,1.4,0.0,0,3,16.7,0,214,3,1,0,,0,0,0,0.0,,0,,0,83,0,0
Na'im Rodman,72145,DI,WASH STATE,12,0,0,341,59.2,2,5,212,98.7,5.7,12,2,1.7,0,233,230,7,0,64.5,1,3,85,100.0,10.6,9,2.4,0,90,90,4
Spencer Lytle,72168,ED,STANFORD,2,0,0,300,57.0,0,0,5,45.5,0.0,0,0,0.0,0,11,5,0,0,59.4,0,0,1,33.3,0.0,0,0.0,0,3,1,0
Ralen Goforth,72169,LB,WASHINGTON,12,0,0,340,55.0,2,4,33,14.7,6.1,2,3,9.1,0,232,34,6,0,50.1,1,2,13,15.2,0.0,0,11.5,0,92,14,3
Kamren Fabiculanan,72332,S,WASHINGTON,8,0,0,340,62.5,0,1,2,1.7,0.0,0,1,25.0,0,178,3,1,0,54.3,0,1,2,2.8,0.0,0,25.0,0,71,2,1
Raider Damuni,72338,S,BYU,8,0,0,128,59.1,0,0,1,2.0,0.0,0,0,0.0,0,50,1,0,0,,0,0,0,0.0,,0,,0,13,0,0
Logan Pili,72354,LB,UTAH ST,9,0,0,329,59.1,0,2,8,11.7,0.0,0,0,25.0,1,94,11,3,0,52.3,0,0,3,45.5,0.0,0,0.0,0,11,5,0
Justin Flowe,72388,LB,ARIZONA,10,0,0,109,45.1,0,3,17,17.8,0.0,0,2,8.8,0,135,24,3,0,47.4,0,1,8,20.0,0.0,0,6.3,0,45,9,1
Zahran Manley,72425,CB,STANFORD,12,0,2,300,60.0,0,0,1,0.2,0.0,0,6,0.0,0,487,1,0,0,,0,0,0,0.0,,0,,0,152,0,0
Noa Pola-Gates,72535,S,NEW MEXICO,9,0,0,241,57.5,0,0,2,1.3,0.0,0,9,0.0,0,151,2,0,0,57.5,0,0,2,3.6,0.0,0,0.0,0,56,2,0
Lavario Wiley,72769,CB,C MICHIGAN,12,0,0,134,54.3,0,0,4,1.9,0.0,0,1,0.0,0,209,4,0,0,54.2,0,0,3,3.1,0.0,0,0.0,0,98,3,0
Keith Conley Jr.,72821,ED,UNLV,10,0,0,325,55.4,1,11,116,100.0,7.8,9,0,6.9,2,118,118,14,0,60.1,0,8,46,100.0,15.2,7,13.0,2,47,47,10
Marco Notarainni,73389,LB,BOISE ST,8,0,0,120,72.3,1,7,49,22.8,10.2,5,0,12.2,2,228,52,10,0,70.9,1,4,26,29.3,15.4,4,13.5,1,92,27,6
Rickie Davis Jr.,73500,S,W KENTUCKY,1,0,0,346,55.7,0,0,4,40.0,0.0,0,0,0.0,0,10,4,0,0,,0,0,0,0.0,,0,,0,2,0,0
Gio De Leon,73658,LB,BUFFALO,2,0,0,126,59.5,0,0,1,16.7,0.0,0,0,0.0,0,6,1,0,0,,0,0,0,0.0,,0,,0,1,0,0
Jalen Williams,73776,CB,FRESNO ST,7,0,0,169,55.8,0,1,2,13.8,0.0,0,0,25.0,0,29,4,1,0,59.2,0,0,0,8.3,,0,,0,12,1,0
Maurice Wilmer,73825,LB,UCONN,1,0,0,146,59.7,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,59.7,0,0,1,100.0,0.0,0,0.0,0,1,1,0
McKel Broussard,73850,S,UTEP,4,0,0,330,53.3,0,0,7,7.2,0.0,0,0,0.0,0,111,8,0,0,57.1,0,0,2,10.0,0.0,0,0.0,0,20,2,0
Evan Williams,73864,S,OREGON,11,0,0,264,84.3,1,0,15,3.9,6.7,1,1,36.7,5,415,16,6,0,84.6,1,0,5,3.2,20.0,1,50.0,2,158,5,3
Max Williams,73985,S,USC,9,0,1,326,67.1,0,0,3,1.6,33.3,1,2,0.0,0,190,3,0,0,60.0,0,0,1,1.7,0.0,0,0.0,0,59,1,0
Taariq Al-Uqdah,74119,LB,WASH STATE,11,0,0,341,74.0,2,6,32,14.2,9.4,3,1,12.5,0,246,35,8,0,66.9,2,2,15,19.8,13.3,2,13.3,0,86,17,4
Zion Branch,74395,S,USC,7,0,0,326,55.1,0,0,3,4.4,0.0,0,0,0.0,0,68,3,0,0,55.1,0,0,3,12.5,0.0,0,0.0,0,24,3,0
Treven Ma'ae,74498,DI,BAYLOR,12,1,0,118,53.3,0,5,130,97.8,1.5,2,0,1.9,0,139,136,5,0,53.1,0,2,43,100.0,2.3,1,2.3,0,44,44,2
Jowon Briggs,74867,DI,CINCINNATI,12,0,0,138,61.8,1,12,220,99.6,7.7,17,0,3.9,2,235,234,15,0,68.6,1,2,54,100.0,16.7,9,4.6,1,61,61,4
Jaylen Johnson,75046,S,MEMPHIS,4,0,0,218,60.0,0,0,1,3.7,0.0,0,0,0.0,0,27,1,0,0,,0,0,0,0.0,,0,,0,5,0,0
Silas Walters,75263,S,MIAMI OH,12,0,0,221,74.9,1,0,6,3.7,0.0,0,0,25.0,1,161,6,2,0,,0,0,0,0.0,,0,,0,93,0,0
Andre Proffitt,75264,DI,AKRON,1,0,0,102,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
Rome Weber,75728,CB,W KENTUCKY,11,0,0,346,53.1,0,1,8,2.9,12.5,1,0,6.3,0,272,8,1,0,65.2,0,0,3,4.3,33.3,1,0.0,0,70,3,0
Solomon Byrd,75742,ED,USC,12,1,0,326,82.6,12,21,285,94.1,14.7,42,2,8.2,7,321,302,40,0,87.7,5,12,74,90.7,24.3,18,15.5,3,86,78,20
Uchenna Ezewike,75750,ED,UMASS,9,0,0,216,65.5,1,7,77,100.0,15.6,12,0,6.5,1,83,83,9,0,68.9,1,4,26,100.0,26.9,7,9.6,0,29,29,5
Jonah Kahahawai-Welch,75759,ED,HAWAII,12,3,0,180,62.1,4,11,191,83.3,6.8,13,1,5.5,3,240,200,18,2,57.1,1,6,71,83.1,5.6,4,6.3,1,89,74,8
Jonah Laulu,75763,DI,OKLAHOMA,12,0,0,261,69.3,3,13,159,98.8,11.9,19,0,5.7,1,170,168,17,0,71.2,1,8,70,98.6,15.7,11,7.9,1,74,73,10
Fo'i Sila,75767,DI,HAWAII,9,0,0,180,55.7,0,2,68,100.0,2.9,2,1,1.5,0,71,71,2,0,58.6,0,2,27,100.0,7.4,2,3.7,0,28,28,2
Devin Phillips,75771,DI,KANSAS,10,0,0,198,64.0,0,7,151,100.0,6.6,10,0,2.3,0,159,159,7,0,59.5,0,3,39,100.0,10.3,4,3.8,0,41,41,3
Cole Godbout,75784,DI,WYOMING,12,0,0,351,65.8,2,12,297,100.0,7.1,21,0,3.4,3,316,316,17,0,66.0,1,7,86,100.0,11.6,10,7.0,2,92,92,10
Chuck Hicks,75816,LB,MISSOURI,12,0,0,229,67.9,2,1,42,17.3,2.4,1,0,8.3,2,249,43,5,0,70.6,0,1,17,23.6,5.9,1,14.7,2,72,17,3
Devin Richardson,75820,LB,WASH STATE,12,0,0,341,74.6,2,7,34,12.5,14.7,5,0,13.2,0,280,35,9,0,80.0,2,6,19,17.5,21.1,4,21.1,0,114,20,8
Tywan Francis,75909,S,TEMPLE,11,0,0,306,57.6,1,0,3,0.9,0.0,0,0,16.7,0,337,3,1,0,59.2,1,0,1,0.9,0.0,0,50.0,0,116,1,1
Bam Booker,76122,ED,BOWL GREEN,6,0,0,122,58.3,0,1,30,91.2,6.7,2,0,1.7,0,34,31,1,0,60.2,0,1,8,80.0,12.5,1,6.3,0,10,8,1
Jeremiah Lewis,76571,S,DUKE,10,0,0,154,52.6,0,2,11,4.7,9.1,1,0,9.1,0,254,12,2,0,45.9,0,2,7,8.9,0.0,0,14.3,0,90,8,2
Elijah Clark,76579,CB,TEMPLE,6,0,0,306,58.3,0,0,1,1.8,0.0,0,0,0.0,0,57,1,0,0,,0,0,0,0.0,,0,,0,21,0,0
Taj Ward,76583,S,CINCINNATI,12,1,0,138,67.9,0,0,4,1.4,0.0,0,0,0.0,0,356,5,0,0,56.2,0,0,1,2.6,0.0,0,0.0,0,78,2,0
Capone Blue,76604,CB,KENT STATE,11,0,0,201,54.0,0,0,4,1.4,0.0,0,3,0.0,0,291,4,0,0,58.8,0,0,1,1.0,0.0,0,0.0,0,105,1,0
Tyler Potts,76616,CB,BALL ST,10,0,0,117,92.8,0,0,2,0.6,0.0,0,0,50.0,1,334,2,1,0,,0,0,0,0.0,,0,,0,105,0,0
Justin Birchette,76620,CB,OHIO,11,0,2,259,53.0,0,0,4,1.4,0.0,0,3,0.0,0,286,4,0,0,55.8,0,0,1,0.9,0.0,0,0.0,0,111,1,0
Judson Tallandier II,76630,CB,AKRON,12,0,1,102,52.0,0,1,6,1.9,16.7,1,5,8.3,0,314,6,1,0,45.2,0,1,2,2.1,0.0,0,25.0,0,95,2,1
Elijah Jones,76632,CB,BOSTON COL,9,0,0,121,46.4,0,1,4,1.5,0.0,0,2,12.5,0,261,4,1,0,46.2,0,1,1,1.1,0.0,0,50.0,0,93,1,1
Jason Maitre,76634,CB,WISCONSIN,12,0,0,349,50.6,0,1,3,0.7,0.0,0,3,16.7,0,401,3,1,0,52.2,0,1,1,0.5,0.0,0,50.0,0,183,1,1
DeAndre Hollins,76647,CB,CHARLOTTE,12,0,0,136,58.1,0,2,9,4.5,0.0,0,0,11.1,0,224,10,2,0,56.0,0,1,2,3.3,0.0,0,25.0,0,92,3,1
Damel Hickman,76651,CB,GA SOUTHRN,11,0,0,174,68.6,0,1,4,1.2,0.0,0,2,12.5,0,334,4,1,0,65.6,0,1,1,1.0,0.0,0,50.0,0,98,1,1
Jaylon King,76652,S,GA TECH,12,0,0,176,64.0,0,1,13,4.0,15.4,2,0,3.8,0,323,13,1,0,64.2,0,0,3,2.4,33.3,1,0.0,0,125,3,0
Zamari Walton,76654,CB,OLE MISS,12,0,1,226,51.9,0,1,2,0.6,0.0,0,2,25.0,0,339,2,1,0,,0,0,0,0.0,,0,,0,103,0,0
Coen King,76659,CB,VIRGINIA,10,0,0,335,63.1,0,2,11,3.0,9.1,1,1,9.1,0,362,11,2,0,,0,0,0,0.0,,0,,0,141,0,0
Gilbert Frierson,76668,LB,LOUISVILLE,12,0,0,210,58.3,0,2,16,17.8,6.3,1,0,12.5,1,101,18,3,0,53.8,0,2,13,22.6,7.7,1,7.7,0,62,14,2
Al Blades Jr.,76669,CB,DUKE,12,0,0,154,56.6,0,3,13,3.4,7.7,1,4,11.5,0,407,14,3,0,55.5,0,1,4,2.9,0.0,0,12.5,0,136,4,1
Jalon Ferrell,76698,S,UMASS,9,0,0,216,56.7,0,0,2,3.6,0.0,0,0,0.0,0,56,2,0,0,56.7,0,0,2,8.3,0.0,0,0.0,0,24,2,0
Keyshawn Paul,76700,CB,LA TECH,9,0,0,208,59.0,0,0,2,2.7,0.0,0,0,0.0,0,75,2,0,0,,0,0,0,0.0,,0,,0,31,0,0
Torey Richardson,76711,CB,UTEP,12,0,0,330,63.3,0,0,6,1.9,16.7,1,6,16.7,1,324,6,1,0,56.5,0,0,2,3.5,0.0,0,0.0,0,57,2,0
Nolan Johnson,76714,CB,DOMINION,10,0,1,263,71.7,0,1,3,1.0,33.3,1,5,16.7,0,308,3,1,0,65.4,0,1,1,1.6,100.0,1,50.0,0,64,1,1
Wayne Jones,76744,S,CHARLOTTE,9,0,0,136,55.0,1,3,10,5.6,0.0,0,0,20.0,0,198,11,4,0,59.4,0,0,1,1.4,0.0,0,0.0,0,70,1,0
Lance Robinson,76747,CB,TULANE,12,0,1,319,57.7,0,0,2,0.5,0.0,0,2,0.0,0,405,2,0,0,,0,0,0,0.0,,0,,0,148,0,0
Cecil Singleton Jr.,76760,S,LA TECH,12,0,1,208,57.9,0,2,11,4.3,0.0,0,3,9.1,0,299,13,2,0,52.6,0,0,4,6.1,0.0,0,0.0,0,98,6,0
Nate Bauer,76764,S,TOLEDO,10,0,0,316,57.4,0,0,4,1.3,0.0,0,0,0.0,0,320,4,0,0,59.5,0,0,1,0.8,0.0,0,0.0,0,130,1,0
Keni-H Lovely,76768,CB,W MICHIGAN,11,0,1,347,56.4,0,1,9,2.8,11.1,1,1,5.6,0,354,10,1,0,61.5,0,0,4,3.9,25.0,1,0.0,0,129,5,0
Timarcus Simpson,76778,S,USF,8,0,0,327,67.0,0,2,8,15.1,25.0,2,0,12.5,0,53,8,2,0,66.2,0,1,4,22.2,25.0,1,12.5,0,18,4,1
EJ Williams,76779,LB,E MICHIGAN,10,0,0,160,50.6,0,3,7,8.0,14.3,1,0,35.7,1,100,8,4,0,57.2,0,0,1,6.9,0.0,0,0.0,0,29,2,0
Dennis Briggs Jr.,76792,DI,FLORIDA ST,8,0,0,167,65.7,1,3,82,100.0,6.1,5,0,4.9,2,90,90,6,0,72.3,1,2,38,100.0,13.2,5,9.2,2,44,44,5
Jamarcus Chatman,76793,DI,TROY,3,0,0,318,54.3,0,0,12,100.0,0.0,0,0,0.0,0,12,12,0,0,55.4,0,0,5,100.0,0.0,0,0.0,0,5,5,0
Jarrett Jackson,76795,DI,MICH STATE,1,0,0,223,56.7,0,1,10,100.0,0.0,0,0,5.0,0,10,10,1,0,56.8,0,1,5,100.0,0.0,0,10.0,0,5,5,1
Thurman Geathers,76797,ED,ARK STATE,12,0,0,113,64.0,14,27,339,100.0,8.3,28,3,7.2,4,356,356,45,0,62.0,4,14,113,100.0,12.4,14,8.8,1,120,120,19
Chris Collins,76798,ED,MINNESOTA,12,0,0,225,54.8,3,2,133,79.2,0.8,1,0,2.6,1,173,137,6,0,51.9,1,2,37,85.1,0.0,0,4.1,0,47,40,3
Lancine Turay,76799,DI,TEMPLE,8,0,0,306,61.1,0,1,30,100.0,3.3,1,0,5.0,1,33,33,2,0,65.3,0,1,15,100.0,6.7,1,10.0,1,18,18,2
Xavier Thomas,76807,ED,CLEMSON,11,1,0,140,72.3,6,29,250,95.0,15.2,38,3,8.2,3,281,267,38,0,68.9,5,15,122,97.7,16.4,20,9.0,1,132,129,21
Justin Mascoll,76809,ED,CLEMSON,10,0,0,140,60.0,5,7,165,92.6,7.3,12,0,4.8,2,188,174,14,0,60.2,3,5,65,90.5,9.2,6,7.7,1,74,67,9
Carlos Hatcher,76824,ED,COAST CAR,12,1,0,141,74.1,1,6,91,73.2,7.7,7,0,4.9,1,127,93,8,0,88.1,0,4,28,78.4,17.9,5,10.7,1,37,29,5
Josh Landry,76834,DI,MISSOURI,12,1,0,229,68.0,7,11,183,100.0,7.1,13,0,5.5,1,193,193,19,1,68.5,3,6,63,100.0,11.1,7,8.7,1,66,66,10
Terrance Taylor,76852,ED,TOLEDO,10,0,0,316,89.6,6,16,160,93.0,18.1,29,2,10.0,5,185,172,27,0,91.3,4,13,70,97.4,30.0,21,16.4,3,77,75,20
Jack Sape,76858,DI,BALL ST,12,0,0,117,69.6,4,9,222,100.0,9.0,20,1,4.7,4,234,234,17,0,68.9,1,4,84,100.0,14.3,12,7.7,4,91,91,9
John Morgan III,76865,ED,ARKANSAS,11,0,1,111,71.9,5,4,104,88.3,12.5,13,1,5.3,1,128,113,10,0,64.9,2,2,44,94.2,11.4,5,4.5,0,52,49,4
Devin Danielson,76867,DI,PITTSBURGH,9,0,0,268,65.2,0,5,99,100.0,6.1,6,0,4.5,2,105,105,7,0,67.9,0,2,20,100.0,15.0,3,10.0,1,22,22,3
Rondell Bothroyd,76873,ED,OKLAHOMA,12,0,1,261,61.1,2,16,242,92.6,10.3,25,1,3.7,0,272,252,18,0,66.4,2,6,68,87.8,19.1,13,5.9,0,82,72,8
Caleb Okechukwu,76877,ED,SYRACUSE,12,1,0,304,60.6,2,20,281,99.0,7.1,20,1,5.0,3,298,295,25,0,55.6,2,8,109,99.2,7.3,8,5.5,1,122,121,11
Alex Nobles,76878,ED,FIU,12,0,0,166,71.0,8,19,227,70.1,10.6,24,2,7.3,3,341,239,30,0,67.7,1,12,78,89.4,16.7,13,10.9,2,94,84,15
Ja'Quon Griffin,76882,ED,COAST CAR,9,0,0,141,56.7,1,1,109,97.5,4.6,5,1,1.8,1,118,115,3,0,59.4,0,0,36,97.4,5.6,2,2.8,1,38,37,1
Aaron Faumui,76885,DI,VIRGINIA,12,3,1,335,62.7,5,12,323,100.0,5.3,17,5,2.6,0,341,341,17,3,65.1,3,10,139,100.0,7.2,10,4.7,0,151,151,13
Jordan Miller,76890,DI,SMU,12,0,0,287,64.9,4,9,191,99.5,5.2,10,2,4.5,2,207,206,15,0,73.3,2,6,46,100.0,13.0,6,10.9,1,51,51,9
Jaylon Hutchings,76940,DI,TEXAS TECH,11,0,0,315,65.0,2,14,263,99.6,7.6,20,0,4.6,4,279,278,20,0,66.2,1,7,93,100.0,10.8,10,7.5,3,99,99,11
