player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
X'Zauvea Gadlin,77580,T,TULSA,12,100.0,1,320,55.5,46.6,57.7,10,22,513,100.0,100.0,95.1,2,41,9,979,0,0,0,979,541,541,0,978,438,1
Chris Paul,77579,G,TULSA,12,100.0,1,320,68.9,82.3,65.8,5,3,512,100.0,100.0,98.8,6,10,2,977,0,977,0,977,540,540,0,0,437,0
Alan Ali,60053,C,SMU,12,100.0,0,287,53.5,57.6,50.0,3,11,488,100.0,100.0,98.6,2,14,0,964,963,0,0,964,521,521,0,0,443,0
Jake Benzinger,39255,T,WAKE,12,100.0,1,339,65.9,71.7,63.2,3,15,493,100.0,100.0,97.4,7,22,4,964,0,0,18,964,515,515,0,942,449,4
Zach Tom,55443,C,WAKE,12,100.0,0,339,68.1,79.8,61.3,1,10,490,100.0,100.0,98.9,0,11,0,957,957,0,0,957,512,512,0,0,445,0
Travis Bruffy,42074,T,TEXAS TECH,12,100.0,1,315,66.9,81.1,55.2,4,14,584,100.0,100.0,98.1,3,20,2,953,0,0,951,953,613,613,0,0,340,0
Gerard Wheeler,76561,C,TULSA,12,100.0,0,320,61.2,63.6,59.2,5,13,493,100.0,100.0,98.0,6,19,1,953,953,0,0,953,519,519,0,0,434,0
Dawson Deaton,60131,C,TEXAS TECH,12,100.0,0,315,70.5,54.8,76.0,1,12,584,100.0,100.0,98.9,3,13,0,950,950,0,0,950,612,612,0,0,338,0
Jaylon Thomas,77421,T,SMU,12,99.8,0,287,70.2,77.8,61.9,2,13,482,99.8,99.6,98.2,3,16,1,949,0,0,938,951,514,516,0,0,435,10
Justin Herron,46271,T,WAKE,12,100.0,0,339,69.2,86.5,57.6,3,3,487,100.0,100.0,98.8,4,9,3,946,0,0,942,946,509,509,0,0,437,4
Hayden Howerton,60052,G,SMU,12,100.0,0,287,58.7,72.4,53.7,0,13,477,100.0,100.0,98.6,3,13,0,939,0,938,0,939,510,510,0,0,429,1
Travis Glover,81658,T,GA STATE,12,100.0,0,175,44.9,40.1,46.6,4,31,406,100.0,100.0,95.4,2,36,1,931,0,0,6,931,432,432,0,915,499,1
Taaga Tuulima,38661,C,HAWAII,13,100.0,1,180,67.4,78.3,59.9,2,16,594,100.0,100.0,98.5,3,18,0,930,930,0,0,930,619,619,0,0,311,0
Ilm Manning,75852,T,HAWAII,13,100.0,1,180,66.8,67.7,64.5,3,22,593,100.0,100.0,97.6,5,27,2,929,0,0,929,929,618,618,0,0,311,0
Curtis Blackwell,58521,G,BALL ST,12,100.0,0,117,61.2,76.0,56.4,4,10,435,100.0,100.0,98.4,4,14,0,923,0,0,0,923,461,461,923,0,462,0
Danny Pinter,47339,T,BALL ST,12,99.9,0,117,91.2,77.8,90.9,1,14,434,99.8,99.8,98.0,2,16,1,922,0,0,0,923,460,461,0,923,462,0
Malik Sumter,55194,C,GA STATE,12,100.0,1,175,67.8,65.8,67.3,0,11,403,100.0,100.0,98.6,3,11,0,922,922,0,0,922,429,429,0,0,493,0
Pat Bartlett,55191,G,GA STATE,12,100.0,0,175,60.5,60.7,59.8,1,18,403,100.0,100.0,97.4,6,20,1,922,0,0,0,922,429,429,922,0,493,0
Coy McMillon,60106,C,TCU,12,100.0,0,305,56.1,56.6,54.1,2,18,475,100.0,100.0,97.7,1,21,1,919,919,0,0,919,495,495,0,0,424,0
Shamarious Gilmore,41823,G,GA STATE,12,100.0,0,175,65.6,68.9,63.4,0,11,401,100.0,100.0,97.9,4,14,3,916,0,916,0,916,427,427,0,0,489,0
Hunter Atkinson,36289,T,GA STATE,12,100.0,0,175,78.9,77.9,75.8,3,6,401,100.0,100.0,97.4,3,15,6,914,0,0,896,914,427,427,0,0,487,9
Airon Servais,41573,C,SYRACUSE,12,100.0,2,304,54.1,62.2,52.6,0,20,510,100.0,100.0,97.3,10,24,4,912,653,0,259,912,532,532,0,0,380,0
Carlos Vettorello,77348,T,SYRACUSE,12,100.0,4,304,56.9,60.7,58.2,1,25,510,100.0,100.0,96.3,11,32,6,912,221,0,652,912,532,532,0,38,380,1
Evan Adams,46802,G,SYRACUSE,12,100.0,0,304,64.0,80.3,60.3,2,13,510,100.0,100.0,98.1,5,17,2,912,0,912,0,912,532,532,0,0,380,0
