player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Will Rogers,124184,QB,MISS STATE,12,82.6,602,630,6.1,2.69,9,27,4.1,74.4,469,0,113,5.6,682,28,235,227,76.7,89.9,90.4,41.4,1,8,719,4,24.8,106.5,4.1,28,23,2,16,35,13,1.8,4402,7.0
Bailey Zappe,60396,QB,W KENTUCKY,12,78.0,550,584,8.2,2.45,10,36,5.8,69.5,406,0,74,5.4,617,23,247,346,70.6,84.8,85.2,50.2,2,9,654,7,14.9,118.5,1.8,11,22,0,22,52,22,3.4,4941,8.5
Carson Strong,83524,QB,NEVADA,12,77.8,490,527,8.6,2.5,3,31,5.6,69.6,367,0,159,3.7,580,14,193,239,74.9,89.1,89.1,46.1,6,8,611,5,24.5,109.7,6.7,39,11,2,26,36,12,2.0,4192,8.0
Brennan Armstrong,77696,QB,VIRGINIA,11,74.1,482,502,11.1,2.86,3,35,6.7,64.7,325,0,150,9.0,571,32,226,335,59.5,91.8,90.3,79.9,6,10,600,0,24.0,105.1,6.3,36,32,3,8,31,21,3.5,4429,8.8
Kenny Pickett,60515,QB,PITTSBURGH,12,79.6,436,466,9.6,3.2,2,26,5.3,67.4,314,0,150,9.5,543,33,203,268,64.8,92.2,92.4,60.3,2,7,572,1,18.0,116.8,5.0,27,49,2,24,40,15,2.6,4055,8.7
Taulia Tagovailoa,97271,QB,MARYLAND,12,79.8,430,454,7.5,2.76,4,25,5.2,67.6,307,0,112,10.5,492,36,159,215,48.1,90.0,86.3,76.0,1,11,517,5,20.5,98.8,4.7,23,12,0,19,24,17,3.3,3577,7.9
Tanner Mordecai,77656,QB,SMU,12,76.8,431,453,8.2,2.68,1,23,4.9,67.5,306,0,137,7.6,502,25,182,287,53.5,87.2,85.2,66.6,4,11,524,0,13.9,110.3,3.8,19,28,2,15,39,14,2.7,3623,8.0
Jake Haener,60596,QB,FRESNO ST,12,74.3,432,449,9.2,2.78,4,22,4.7,67.7,304,0,132,5.3,507,17,181,169,58.8,79.2,80.6,53.4,1,9,531,2,18.2,109.3,4.7,24,32,2,10,32,14,2.6,3812,8.5
Jonah Johnson,138484,QB,NEW MEX ST,11,69.1,414,439,9.2,2.75,4,6,1.3,58.8,258,0,252,9.8,519,28,142,242,49.9,63.6,63.1,60.5,8,8,550,5,14.3,76.8,6.9,36,43,1,12,10,20,3.6,2710,6.2
Devin Leary,77628,QB,NC STATE,12,76.4,399,430,9.3,2.64,9,31,6.8,65.6,282,0,131,7.5,472,23,166,248,49.3,84.6,85.1,54.8,3,5,496,3,19.8,112.3,5.5,26,16,0,19,35,9,1.8,3435,8.0
Sam Hartman,77618,QB,WAKE,12,69.7,393,423,12.9,3.17,14,26,5.8,60.3,255,1,159,6.9,500,19,192,339,75.8,91.5,90.3,75.2,9,10,529,1,17.6,105.8,5.6,28,49,0,7,34,13,2.5,3714,8.8
Bryce Young,123943,QB,ALABAMA,12,79.8,392,421,9.0,2.86,3,27,6.2,68.4,288,0,166,8.0,482,25,188,103,42.4,92.3,92.2,65.3,5,4,501,8,18.1,125.4,6.2,30,29,0,21,40,9,1.8,3898,9.3
Grant Wells,97784,QB,MARSHALL,12,75.1,409,420,9.0,2.53,2,26,5.9,66.7,280,0,84,8.8,446,27,144,214,56.2,78.5,79.1,54.4,1,12,467,2,16.7,92.3,3.1,14,10,0,8,16,17,3.6,3416,8.1
Holton Ahlers,77651,QB,E CAROLINA,12,70.3,394,417,8.2,2.53,8,16,3.6,61.4,256,0,164,7.6,479,21,153,156,48.6,73.9,70.4,66.4,2,10,502,3,21.3,88.8,7.3,35,27,2,11,18,17,3.4,3123,7.5
Hank Bachmeier,101284,QB,BOISE ST,12,76.1,368,404,8.8,2.76,5,21,4.9,62.4,252,1,183,10.0,448,28,151,120,62.1,83.7,82.9,63.0,10,8,471,4,13.1,94.0,5.4,24,20,0,21,20,8,1.7,3070,7.6
Sean Clifford,51708,QB,PENN STATE,12,73.1,361,398,8.4,2.89,11,19,4.5,62.1,247,0,147,6.4,453,17,148,266,58.6,73.1,71.4,66.6,3,6,475,3,21.8,94.8,7.1,32,23,0,23,20,11,2.3,2912,7.3
C.J. Stroud,129759,QB,OHIO STATE,11,78.2,385,396,10.1,2.69,1,22,5.3,70.7,280,0,107,7.0,418,21,185,260,57.9,91.6,91.1,65.8,1,5,437,2,11.2,128.4,2.9,12,10,0,9,38,10,2.3,3862,9.8
Matt McDonald,60350,QB,BOWL GREEN,12,73.7,353,395,8.7,2.67,26,14,3.4,60.0,237,0,147,8.8,465,23,115,122,55.0,69.8,67.0,69.8,6,7,483,3,28.6,81.7,9.0,42,28,1,9,12,16,3.3,2552,6.5
Seth Henigan,144267,QB,MEMPHIS,11,67.1,371,394,10.1,2.56,2,21,5.0,59.4,234,0,142,6.0,458,15,152,218,62.9,68.8,70.1,51.2,4,8,489,0,17.6,99.3,5.5,25,38,2,15,25,19,3.9,3316,8.4
Aidan O'Connell,60516,QB,PURDUE,11,79.1,378,392,8.3,2.35,1,30,7.4,73.5,288,0,76,3.7,415,11,172,273,65.1,91.2,90.5,63.1,1,8,432,0,22.4,108.1,4.1,17,6,0,12,23,13,3.0,3175,8.1
Jarret Doege,60353,QB,W VIRGINIA,12,75.3,356,390,8.7,2.72,9,19,4.7,65.1,254,0,123,5.2,438,14,141,343,64.0,71.6,71.5,59.0,1,11,456,4,24.4,92.0,6.8,30,18,2,22,19,10,2.2,2917,7.5
Matt Corral,83517,QB,OLE MISS,12,77.7,364,386,8.4,2.65,5,18,4.4,67.1,259,0,130,8.5,462,24,166,226,61.2,87.1,83.7,71.7,1,4,487,8,13.8,107.0,3.9,18,54,0,16,20,8,1.6,3341,8.7
Todd Centeio,60552,QB,COLO STATE,12,73.2,340,383,9.3,2.83,18,19,4.8,60.1,230,0,173,7.6,459,19,163,144,54.2,78.5,79.0,62.5,3,10,474,4,16.2,86.5,6.1,28,47,2,20,15,13,2.7,2956,7.7
Connor Bazelak,99135,QB,MISSOURI,11,72.6,358,379,7.5,2.41,4,11,2.7,64.9,246,0,101,5.4,401,14,123,229,72.5,67.8,66.0,63.7,3,11,426,5,11.9,86.2,3.0,12,8,2,12,16,14,3.3,2553,6.7
Davis Brin,77642,QB,TULSA,12,68.9,360,379,11.4,2.75,5,23,5.6,58.8,223,0,120,10.1,427,25,135,320,50.3,71.3,70.7,57.8,5,16,463,4,20.8,80.1,5.9,25,23,0,9,16,26,5.6,2956,7.8
Logan Bonner,39990,QB,UTAH ST,12,68.6,363,379,13.1,2.51,6,28,6.8,60.7,230,0,122,7.6,416,19,157,329,49.1,82.3,81.3,60.2,4,10,449,0,17.2,105.7,5.0,21,13,0,6,32,19,4.2,3265,8.6
Ben Bryant,77655,QB,E MICHIGAN,12,77.4,354,375,9.1,2.61,10,15,3.9,68.8,258,0,108,5.8,436,16,150,160,60.9,82.7,81.1,68.0,5,6,448,3,38.0,97.7,9.4,41,19,0,6,14,15,3.3,2923,7.8
Max Johnson,124099,QB,LSU,12,74.3,342,374,9.5,2.74,10,14,3.6,59.9,224,0,152,11.8,441,30,136,211,33.9,67.8,70.8,47.8,5,6,457,5,21.1,100.7,7.3,32,34,0,17,27,19,4.2,2809,7.5
Brock Purdy,77672,QB,IOWA STATE,12,79.3,348,370,7.6,3.01,2,10,2.6,72.7,269,0,128,2.5,423,7,159,193,42.1,80.1,80.5,60.3,0,7,445,0,16.4,104.7,5.0,21,32,2,18,18,11,2.5,2996,8.1
Drew Plitt,39879,QB,BALL ST,12,69.4,343,366,8.7,2.4,9,13,3.4,60.4,221,0,103,7.1,415,17,121,117,55.0,67.0,66.5,60.2,1,5,436,2,21.4,87.8,5.3,22,26,1,12,17,13,3.0,2246,6.1
Dylan Morris,100570,QB,WASHINGTON,11,73.5,328,363,8.3,2.58,11,16,4.2,60.6,220,0,115,8.7,397,21,116,340,60.5,67.9,68.0,57.4,4,12,417,2,18.3,79.9,5.3,21,13,0,20,14,11,2.6,2458,6.8
Clayton Tune,77652,QB,HOUSTON,12,78.7,343,359,9.6,2.98,4,25,6.6,68.2,245,0,117,9.3,416,25,152,182,73.7,91.0,91.7,54.9,2,8,437,4,23.1,108.8,6.5,27,28,2,8,26,12,2.7,3014,8.4
Chevan Cordeiro,75886,QB,HAWAII,10,69.2,328,354,11.4,3.05,6,27,7.4,55.1,195,0,162,14.1,435,32,133,180,43.7,80.6,82.2,60.3,1,11,454,3,19.8,83.9,7.4,32,47,1,18,17,9,2.0,2793,7.9
N'Kosi Perry,60446,QB,FAU,12,71.2,326,352,11.5,2.53,6,23,6.3,59.7,210,0,117,9.5,406,22,112,165,28.3,72.2,75.3,53.5,7,7,420,6,22.2,95.2,6.4,26,27,3,10,20,16,3.8,2765,7.9
Chase Garbers,60356,QB,CAL,11,73.8,325,351,9.6,2.98,5,19,5.2,63.5,223,0,142,7.1,417,17,132,130,75.5,81.8,79.5,71.2,6,8,434,4,14.8,90.8,5.0,21,45,3,12,16,8,1.8,2531,7.2
Kaleb Eleby,77686,QB,W MICHIGAN,12,73.8,320,347,11.1,2.73,12,19,5.1,63.7,221,0,116,6.4,417,15,150,347,29.8,71.9,75.6,45.0,1,5,446,1,25.9,106.7,7.2,30,38,0,14,21,16,3.6,3114,9.0
DJ Uiagalelei,122162,QB,CLEMSON,12,66.2,314,344,9.6,2.46,5,18,4.9,54.4,187,0,110,10.1,376,21,100,140,55.8,64.7,63.2,62.3,3,9,397,4,17.3,70.1,5.1,19,12,1,21,9,11,2.8,2058,6.0
Layne Hatcher,82068,QB,ARK STATE,11,69.5,318,344,10.4,2.86,3,16,4.4,58.7,202,0,125,8.6,389,19,117,113,49.5,69.9,67.3,67.1,1,13,408,2,21.6,83.1,6.9,27,17,0,22,19,16,3.9,2427,7.1
Jayden de Laura,131928,QB,WASH STATE,11,71.6,324,343,9.9,2.85,6,23,6.5,64.1,220,0,78,5.2,372,12,132,341,56.3,77.5,76.9,66.5,1,9,383,7,14.1,100.3,3.0,11,18,0,12,23,16,4.2,2742,8.0
Max Bortenschlager,46500,QB,FIU,12,65.6,294,341,11.6,2.74,11,22,6.2,51.9,177,1,157,8.3,391,16,106,166,64.6,59.8,60.7,42.2,8,12,410,4,27.4,85.0,11.0,43,5,1,27,19,21,5.1,2926,8.6
Payton Thorne,101629,QB,MICH STATE,12,70.7,311,340,9.6,2.79,12,21,5.8,60.6,206,0,101,6.4,374,14,126,223,68.7,77.9,74.0,66.7,2,9,399,1,18.8,100.3,5.1,19,14,1,14,24,11,2.8,2872,8.4
Desmond Ridder,55086,QB,CINCINNATI,12,74.7,324,338,10.8,2.5,4,23,6.6,65.7,222,0,85,8.3,376,20,138,138,70.4,91.0,88.4,77.4,0,8,389,1,23.5,110.4,5.3,20,17,1,9,27,9,2.3,2990,8.8
Chris Reynolds,60361,QB,CHARLOTTE,11,72.5,313,338,10.1,2.81,2,22,6.0,63.9,216,0,142,4.8,375,11,137,136,29.7,78.7,77.9,63.4,6,9,408,2,12.7,103.0,4.8,18,18,0,17,26,16,3.9,2687,7.9
Chase Brice,60363,QB,APP STATE,12,70.6,327,338,12.0,2.42,6,26,7.3,63.9,216,0,91,6.5,371,15,136,108,51.1,79.8,81.3,53.4,2,10,390,1,12.1,100.5,3.0,11,21,0,3,22,12,3.1,2903,8.6
Frank Harris,60586,QB,UTSA,12,76.3,308,335,8.9,2.64,2,23,6.3,66.3,222,0,116,5.5,377,13,134,331,28.3,84.5,79.9,72.6,2,5,405,0,12.9,107.3,4.0,15,27,1,22,23,15,3.7,2683,8.0
Gavin Hardison,100827,QB,UTEP,12,65.4,306,334,12.5,2.8,3,18,5.1,55.4,185,0,100,7.5,365,15,119,330,57.2,60.7,60.3,57.6,4,12,388,5,18.0,87.4,4.9,18,11,1,20,17,24,6.2,2975,8.9
Dustin Crum,60418,QB,KENT STATE,12,74.1,317,334,10.5,2.6,9,26,7.1,64.7,216,0,102,8.1,395,19,125,201,78.0,91.4,84.4,90.6,2,4,429,4,29.4,100.8,7.6,30,30,0,6,15,6,1.4,2795,8.4
Michael Pratt,123229,QB,TULANE,11,70.3,306,332,9.0,2.69,5,13,3.7,57.2,190,0,131,11.6,399,25,114,319,53.7,56.2,57.8,51.5,9,8,422,2,22.1,90.6,7.3,29,38,2,10,21,22,5.2,2375,7.2
Sam Howell,97599,QB,N CAROLINA,11,72.0,307,331,11.4,2.95,0,20,5.6,61.6,204,0,146,7.7,435,17,140,245,48.7,90.2,77.3,90.9,4,9,462,2,30.8,101.1,10.3,45,57,4,16,23,11,2.4,2846,8.6
Levi Lewis,60428,QB,LA LAFAYET,12,73.6,303,330,8.5,2.84,4,16,4.6,61.5,203,0,108,9.0,377,20,125,207,68.5,74.1,70.5,70.4,2,4,394,4,18.5,97.3,5.3,20,27,0,21,18,12,3.0,2438,7.4
Zach Calzada,98006,QB,TEXAS A&M,12,68.6,306,329,9.2,2.93,8,19,5.5,55.9,184,0,135,12.4,357,26,112,312,63.5,80.8,79.6,59.1,2,9,375,0,12.6,82.2,4.8,17,11,0,13,17,11,2.9,2185,6.6
Anthony Brown,40316,QB,OREGON,12,73.4,312,329,9.2,2.58,8,17,4.9,64.1,211,0,99,7.9,373,18,126,264,59.8,77.3,69.1,77.0,1,4,392,1,17.2,96.5,4.6,17,24,2,6,14,11,2.8,2514,7.6
Bo Nix,97790,QB,AUBURN,10,73.2,306,327,9.0,2.78,0,17,5.0,60.2,197,0,95,12.1,357,27,117,115,36.0,78.5,76.6,66.5,2,3,368,2,11.6,88.9,3.1,11,16,3,16,11,14,3.8,2293,7.0
Gunnar Holmberg,77625,QB,DUKE,11,75.4,305,326,7.3,2.43,3,7,2.1,66.3,216,0,86,6.1,361,14,113,154,60.2,72.2,71.2,62.6,4,8,374,2,23.3,84.3,5.5,20,14,2,12,7,10,2.7,2353,7.2
Tyler Van Dyke,122225,QB,MIAMI FL,10,71.1,304,326,10.7,2.65,6,25,7.1,62.0,202,0,82,6.5,370,14,125,220,67.8,75.5,73.9,64.6,1,6,394,1,28.0,108.9,6.2,23,21,2,13,25,12,3.0,2918,9.0
