player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Luke Falk,46586,QB,WASH STATE,11,79.4,569,595,6.4,2.54,1,30,4.9,70.1,417,0,139,7.7,657,35,224,341,52.2,81.8,84.0,43.9,8,8,675,5,25.2,105.0,5.3,35,27,3,14,36,25,3.7,4280,7.2
Patrick Mahomes,11765,QB,TEXAS TECH,12,75.4,492,521,8.3,2.81,4,26,4.8,64.5,336,0,186,9.4,581,35,201,315,59.5,80.0,75.8,73.0,3,14,608,5,10.2,99.2,3.3,19,41,2,20,32,22,3.6,4263,8.2
Matt Johnson,11111,QB,BOWL GREEN,12,77.1,462,495,10.1,2.57,8,35,6.7,68.5,339,0,141,4.8,550,17,207,122,67.1,91.4,91.5,61.7,0,6,580,4,24.1,119.2,6.2,34,21,0,25,41,15,2.6,4450,9.0
Jared Goff,10635,QB,CAL,12,74.0,466,494,10.1,2.51,5,29,5.5,63.6,314,0,161,9.0,542,31,204,130,63.6,91.1,90.0,75.3,3,13,577,5,15.5,105.0,4.6,25,23,2,18,37,24,4.2,4259,8.6
Mike Bercovici,10986,QB,ARIZONA ST,12,72.9,450,483,8.6,2.5,6,19,3.8,60.2,291,0,160,11.3,533,37,169,110,42.8,75.3,77.4,50.9,6,9,550,2,23.8,93.1,7.1,38,12,0,21,27,22,4.0,3467,7.2
Wes Lunt,12050,QB,ILLINOIS,12,69.4,448,481,7.1,2.35,5,14,2.8,55.9,269,0,150,13.5,503,42,141,187,57.7,67.7,68.0,37.6,1,6,526,2,13.3,77.0,4.0,20,2,1,26,14,13,2.5,2754,5.7
Blake Frohnapfel,19699,QB,UMASS,12,65.8,445,479,9.6,2.64,9,22,4.4,55.5,266,1,157,9.2,539,27,149,216,65.1,53.8,52.9,58.3,5,13,565,4,17.2,73.4,5.0,27,33,2,18,16,28,5.0,2894,6.0
Cooper Rush,12324,QB,C MICHIGAN,12,74.1,437,465,8.4,2.64,9,30,6.1,66.2,308,0,183,4.9,512,16,183,134,63.5,85.0,85.1,56.3,4,10,541,2,13.7,99.4,4.9,25,22,1,14,25,25,4.6,3695,7.9
Nick Arbuckle,16351,QB,GA STATE,12,77.2,426,458,9.8,2.49,6,41,8.4,64.0,293,0,162,10.9,498,36,177,175,75.4,90.7,90.2,67.4,1,11,529,5,16.7,102.0,5.4,27,13,0,25,26,15,2.8,4147,9.1
Nick Mullens,12282,QB,SO MISS,12,77.6,407,454,9.3,2.47,17,26,5.4,64.1,291,0,157,7.9,474,25,174,296,63.6,91.1,90.9,55.9,10,9,500,4,9.6,109.3,3.2,15,5,0,20,35,13,2.6,3961,8.7
Joe Licata,11390,QB,BUFFALO,12,70.9,422,451,8.8,2.42,6,19,4.0,62.1,280,0,138,6.4,471,19,151,126,62.1,74.4,72.3,64.2,7,15,499,2,10.9,79.2,3.2,15,5,0,16,16,22,4.4,2969,6.6
Josh Rosen,35460,QB,UCLA,12,69.7,412,450,9.6,2.65,11,27,5.7,59.1,266,0,168,7.3,476,21,156,324,57.6,81.8,78.3,75.4,1,9,503,3,8.3,88.9,2.9,14,12,1,25,20,28,5.6,3352,7.4
Brent Stockstill,29288,QB,MIDDLE TN,12,74.3,432,450,7.2,2.27,8,31,6.7,66.4,299,0,114,6.9,477,22,163,224,35.5,85.0,85.2,54.8,0,8,493,0,13.2,103.9,3.1,15,12,1,9,27,20,4.1,3659,8.1
Brandon Doughty,10857,QB,W KENTUCKY,12,82.4,427,448,7.8,2.36,5,22,4.7,71.9,322,0,128,8.5,464,30,196,346,49.9,91.8,91.4,48.2,4,6,483,1,10.2,126.5,2.8,13,3,0,12,42,11,2.3,4172,9.3
Dane Evans,46560,QB,TULSA,12,71.6,419,445,11.7,2.39,10,34,7.1,62.2,277,0,102,7.7,505,23,167,320,43.0,87.4,89.3,48.2,2,8,543,1,34.3,99.9,6.9,35,25,2,12,22,25,4.6,3945,8.9
Dak Prescott,10769,QB,MISS STATE,12,75.8,418,437,7.9,2.61,5,17,3.8,66.6,291,0,164,8.2,483,26,168,227,60.3,75.5,72.3,69.4,5,4,497,2,18.3,105.4,6.2,30,16,2,7,25,22,4.4,3419,7.8
Chad Kelly,12008,QB,OLE MISS,12,75.7,399,427,9.3,2.29,20,31,6.9,64.9,277,0,151,8.3,467,25,173,226,41.7,84.6,80.6,75.2,4,12,490,3,11.9,101.9,3.9,18,22,0,4,27,21,4.3,3734,8.7
Alex McGough,46420,QB,FIU,12,76.5,400,420,6.4,2.49,7,15,3.4,63.8,268,0,144,12.4,472,38,128,166,27.8,70.8,74.3,47.5,2,8,491,3,18.1,90.9,5.5,26,26,0,11,21,23,4.7,2709,6.5
Jeff Driskel,10841,QB,LA TECH,12,70.9,392,412,11.0,2.45,4,27,6.3,61.9,255,0,133,8.3,451,23,167,208,70.3,82.2,81.3,66.4,1,8,471,4,14.3,101.3,4.2,19,20,2,13,24,14,3.0,3589,8.7
Paxton Lynch,10660,QB,MEMPHIS,12,79.2,389,406,7.9,2.53,3,15,3.6,69.2,281,1,129,8.8,438,27,179,218,77.0,89.8,86.7,72.7,1,3,451,2,10.9,117.5,3.2,14,18,0,13,28,11,2.5,3682,9.1
Matt Johns,24210,QB,VIRGINIA,12,70.1,378,404,8.5,2.74,4,17,4.0,60.9,246,0,156,7.2,456,19,151,335,53.6,58.7,58.8,58.5,0,17,481,8,12.2,79.5,4.2,19,33,0,22,19,31,6.5,2770,6.9
Mason Rudolph,46569,QB,OKLA STATE,12,71.3,383,397,11.8,2.47,3,38,9.2,62.0,246,0,117,9.9,443,27,164,262,60.6,91.3,91.9,44.5,2,9,458,3,22.2,99.6,5.9,26,20,0,9,21,17,3.7,3593,9.1
Trevone Boykin,11279,QB,TCU,11,73.3,386,397,11.0,2.76,2,26,6.2,64.7,257,0,92,9.2,447,26,178,305,69.0,90.1,90.7,61.6,1,10,474,3,10.9,109.1,2.2,10,40,1,7,31,21,4.4,3580,9.0
Matt Linehan,46436,QB,IDAHO,11,73.8,366,393,9.1,2.67,6,24,5.9,63.1,248,0,137,8.1,459,22,150,185,62.6,86.4,84.4,68.2,0,11,476,1,19.0,88.3,5.7,26,40,1,20,16,16,3.4,2989,7.6
Brett Rypien,46487,QB,BOISE ST,10,75.7,366,393,9.0,2.35,7,17,4.2,61.8,243,0,106,12.3,421,34,143,120,45.5,79.1,78.0,57.1,5,7,440,0,17.0,92.3,4.3,18,9,2,13,17,15,3.4,2989,7.6
Riley Neal,35543,QB,BALL ST,11,67.5,366,391,8.6,2.68,6,15,3.6,58.3,228,0,118,7.7,425,19,112,117,58.0,66.6,63.5,66.4,1,6,445,1,10.2,82.2,2.8,12,22,0,18,16,26,5.8,2277,5.8
Tanner Mangum,34607,QB,BYU,12,73.5,359,391,12.5,2.89,6,14,3.3,61.9,242,0,123,8.3,436,22,137,128,47.6,73.8,75.3,44.8,4,7,470,3,22.0,96.8,6.2,27,18,2,20,21,15,3.2,3069,7.8
Thomas Sirk,22589,QB,DUKE,11,69.0,368,390,8.4,2.18,10,12,2.9,60.0,234,0,82,7.9,414,20,134,154,71.5,70.2,71.7,58.5,6,6,444,0,14.6,84.7,2.9,12,12,0,6,15,12,2.7,2453,6.3
Tommy Armstrong Jr.,46589,QB,NEBRASKA,11,63.1,371,385,11.5,2.9,7,29,7.1,54.5,210,0,149,10.3,417,24,143,238,71.3,69.9,65.4,68.6,0,16,444,2,6.0,79.3,2.2,9,23,0,7,21,21,4.7,2853,7.4
Tyler Jones,46534,QB,TEXAS ST,12,74.7,344,381,8.2,2.55,4,8,2.0,58.3,222,0,130,13.6,419,35,122,314,68.9,64.7,66.6,55.3,5,10,436,0,14.6,78.3,4.5,19,19,1,27,13,20,4.6,2490,6.5
Mitch Leidner,46437,QB,MINNESOTA,12,67.2,360,380,8.9,2.42,4,21,5.3,57.4,218,0,141,9.9,411,24,123,225,47.0,56.4,57.9,50.9,6,10,431,5,9.2,78.3,3.2,13,18,1,9,14,24,5.6,2474,6.5
Blake Kemp,22575,QB,E CAROLINA,11,76.9,363,380,7.0,2.19,1,14,3.6,68.4,260,0,82,6.8,395,19,136,156,50.8,80.9,80.6,59.9,4,10,407,5,13.4,91.1,2.8,11,4,2,10,16,17,4.2,2634,6.9
Cody Kessler,10727,QB,USC,12,78.9,350,377,8.0,2.81,4,14,3.5,68.4,258,0,153,6.5,420,18,143,326,70.5,85.2,82.4,66.2,5,6,445,1,20.3,110.9,7.4,31,12,0,18,27,5,1.1,3129,8.3
Phillip Ely,19653,QB,TOLEDO,11,67.1,359,374,10.2,2.33,7,31,7.9,54.8,205,0,84,14.9,393,36,136,316,30.9,76.1,79.2,34.8,1,10,412,4,8.3,84.3,1.8,7,12,0,7,20,20,4.9,2684,7.2
Deshaun Watson,11767,QB,CLEMSON,12,78.9,356,374,8.2,2.25,8,28,7.1,70.1,262,0,97,6.8,423,19,167,140,81.3,85.5,84.5,68.9,2,10,446,2,11.3,109.4,2.6,11,38,2,6,27,13,2.9,3231,8.6
Jacoby Brissett,10725,QB,NC STATE,12,72.0,339,369,8.8,2.93,5,17,4.5,61.0,225,0,143,7.8,431,19,129,248,52.8,70.7,69.6,62.8,3,4,443,1,22.4,93.1,7.4,32,29,2,20,19,13,2.9,2443,6.6
Zach Terrell,12086,QB,W MICHIGAN,12,77.1,345,367,8.4,2.78,3,21,5.4,66.2,243,0,159,8.6,417,23,156,347,67.8,90.9,90.6,65.5,6,8,439,2,18.2,109.4,7.0,29,21,2,11,27,13,3.0,3234,8.8
Nate Sudfeld,10821,QB,INDIANA,11,72.2,342,362,10.0,2.64,4,23,6.1,60.5,219,0,91,11.3,385,28,148,190,45.4,81.1,83.4,45.9,4,5,399,1,13.2,105.5,3.1,12,11,0,12,24,17,4.3,3183,8.8
Brad Kaaya,11970,QB,MIAMI FL,11,70.5,336,360,9.9,2.5,6,18,4.8,61.4,221,0,125,6.8,375,16,133,220,38.2,80.1,81.1,43.1,5,4,393,2,9.6,97.5,3.2,12,3,1,12,15,16,4.1,3023,8.4
Jake Rudock,10825,QB,MICHIGAN,12,76.2,328,359,8.2,2.78,10,10,2.7,64.1,230,0,152,8.0,407,20,145,222,58.0,68.2,67.5,58.4,8,9,429,1,12.5,93.5,4.7,19,29,0,13,18,16,3.7,2739,7.6
Baker Mayfield,46518,QB,OKLAHOMA,12,78.4,342,356,8.8,2.92,2,25,6.7,68.3,243,0,145,9.3,437,25,175,261,59.0,92.3,92.4,67.9,0,5,455,1,24.1,125.5,8.0,35,46,1,11,35,8,1.8,3388,9.5
Skyler Howard,12262,QB,W VIRGINIA,12,65.7,332,352,13.3,2.82,7,22,5.9,54.3,191,0,122,12.4,415,27,129,343,73.3,71.0,68.8,64.4,2,12,439,2,22.1,83.9,6.5,27,36,1,10,21,15,3.4,2612,7.4
Chase Litton,34874,QB,MARSHALL,10,67.0,336,350,9.7,2.49,3,20,5.5,59.1,207,0,107,8.0,384,18,124,214,44.4,72.5,75.8,40.2,0,7,402,0,15.0,92.4,4.2,16,18,1,10,22,18,4.5,2388,6.8
Brogan Roback,25079,QB,E MICHIGAN,12,71.0,328,350,7.9,2.72,2,19,5.2,61.4,215,0,125,7.7,381,18,121,160,59.0,64.5,64.2,56.3,3,11,400,0,12.0,83.1,3.9,15,16,0,17,16,24,6.0,2322,6.6
P.J. Walker,12134,QB,TEMPLE,12,69.2,334,348,9.5,2.53,6,19,5.0,56.9,198,0,126,14.3,382,33,121,306,30.9,69.7,68.5,59.0,1,6,414,3,12.7,89.0,4.2,16,18,0,7,18,22,5.3,2461,7.1
Christian Hackenberg,10685,QB,PENN STATE,12,63.8,329,348,9.3,2.55,8,12,3.3,52.9,184,0,163,12.4,405,26,99,266,52.0,60.1,59.4,56.0,2,5,426,3,22.7,84.0,9.1,37,20,0,9,16,12,2.8,2384,6.9
Sefo Liufau,12064,QB,COLORADO,11,74.1,309,348,8.3,2.94,3,17,4.7,61.5,214,0,159,6.6,409,15,122,143,69.4,75.9,74.8,62.1,7,6,425,0,15.7,83.9,6.1,25,36,2,27,9,5,1.2,2433,7.0
Joel Stave,10985,QB,WISCONSIN,12,70.0,330,344,9.8,2.5,4,18,5.0,60.2,207,0,127,10.4,372,24,135,349,50.6,80.0,77.8,69.5,6,11,390,2,17.3,78.6,5.9,22,6,1,3,10,20,5.1,2481,7.2
Brandon Allen,10835,QB,ARKANSAS,12,73.6,318,344,9.6,2.97,5,23,6.5,65.1,224,0,126,4.3,377,10,161,111,52.0,88.0,90.0,54.7,5,7,387,5,10.3,113.7,3.4,13,20,0,16,29,15,3.9,3112,9.0
Matt Davis,46456,QB,SMU,12,65.4,312,340,12.0,3.07,5,21,5.7,54.1,184,0,173,9.8,430,20,123,287,41.9,74.0,63.7,78.9,3,7,464,0,23.7,82.0,9.5,41,49,3,17,16,23,5.0,2258,6.6
Connor Cook,10734,QB,MICH STATE,11,68.4,320,339,11.7,2.65,7,31,8.7,57.2,194,0,113,11.4,358,25,140,223,68.3,88.7,89.7,55.9,4,4,377,2,9.7,102.0,3.1,11,8,0,8,24,14,3.7,2729,8.1
Garrett Smith,46568,QB,LA MONROE,10,68.4,316,336,7.8,2.46,11,16,4.6,56.8,191,0,129,11.6,393,25,104,209,42.9,66.8,68.9,54.5,3,11,403,1,22.5,77.9,7.4,29,28,0,6,17,18,4.5,2034,6.1
Jake Browning,46401,QB,WASHINGTON,11,74.3,311,336,9.5,2.66,9,18,5.2,62.5,210,0,125,9.1,388,21,136,340,57.8,79.5,77.4,66.8,1,10,401,1,24.0,90.8,7.7,30,22,1,14,16,18,4.5,2671,7.9
Brandon Silvers,46483,QB,TROY,11,74.6,307,330,7.6,2.17,7,12,3.5,61.2,202,0,61,11.8,349,27,111,318,64.4,68.7,68.2,60.4,6,7,366,2,18.0,94.5,3.2,11,8,0,10,20,13,3.6,2376,7.2
Patrick Towles,46478,QB,KENTUCKY,11,69.4,307,328,10.1,2.7,2,18,5.2,55.8,183,0,113,14.1,381,30,102,202,75.2,63.0,61.6,60.0,2,14,406,0,23.9,67.3,7.1,27,26,1,16,9,20,4.9,2150,6.6
Cody Clements,17292,QB,S ALABAMA,12,65.4,312,327,11.3,2.53,4,20,5.8,52.3,171,0,123,16.2,386,33,104,288,44.6,59.4,58.7,57.3,3,15,407,5,18.7,68.9,6.0,23,36,1,7,13,24,5.9,2281,7.0
Joshua Dobbs,11890,QB,TENNESSEE,12,70.8,295,323,7.7,2.74,8,11,3.3,59.8,193,0,117,7.7,370,16,125,307,43.2,72.5,64.5,73.4,4,5,382,2,16.2,88.6,5.1,19,28,1,15,15,20,5.2,2146,6.6
Driphus Jackson,19062,QB,RICE,12,69.5,302,320,11.3,2.87,2,13,3.9,57.5,184,0,116,12.4,389,26,129,275,29.2,75.0,75.0,61.7,0,7,404,3,29.3,90.2,8.7,34,35,3,13,18,13,3.2,2345,7.3
Tyler Stewart,46474,QB,NEVADA,12,67.8,301,317,9.8,2.84,1,17,5.1,56.8,180,0,100,11.8,350,24,118,239,59.3,76.8,73.4,69.1,3,7,367,2,21.0,83.3,6.0,21,12,1,11,15,12,3.3,2078,6.6
Gunner Kiel,24708,QB,CINCINNATI,10,73.3,303,317,10.8,2.44,4,22,6.5,65.0,206,0,69,7.2,329,16,135,138,41.2,87.0,89.5,45.4,5,11,352,3,11.6,98.2,2.4,8,4,0,5,19,13,3.7,2770,8.7
