player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Lew Nichols,97187,HB,C MICHIGAN,12,311,54,24,40.4,689,0,1707,3,5,54,845,46.1,49,94,134,1,152,90.6,83.6,88.4,62.6,37.2,65.4,85.0,63.9,66,0,282,37,265,329,0,0,44,348,15,1707,845,2.72,5.5,1.06,155
Brad Roberts,125398,FB,AIR FORCE,12,277,35,13,20.3,260,0,1281,0,0,35,742,33.8,25,75,101,0,106,92.1,85.0,91.5,,50.4,54.9,84.1,51.6,33,0,0,0,12,499,0,0,1,277,13,1281,742,2.68,4.6,0.0,9
Tyler Badie,83714,HB,MISSOURI,12,271,57,22,43.2,693,0,1604,1,12,57,916,72.2,46,74,229,0,94,92.0,85.7,63.3,,36.3,72.3,88.2,46.0,73,2,333,52,283,312,0,0,68,323,14,1604,916,3.38,5.9,1.18,174
Sincere McCormick,97119,HB,UTSA,12,262,39,13,28.9,368,0,1275,0,3,39,614,34.9,27,66,331,0,94,91.8,80.3,60.5,,62.8,61.9,81.8,61.0,81,1,148,20,228,308,0,0,20,282,12,1275,614,2.34,4.9,0.65,164
Kenneth Walker III,97199,HB,MICH STATE,12,262,88,30,53.9,881,1,1634,0,2,88,1168,145.9,46,75,223,1,84,89.4,89.3,89.9,,41.3,61.8,90.7,50.4,94,1,89,13,204,321,0,0,16,275,18,1634,1168,4.46,6.2,0.44,177
Mataeo Durant,77719,HB,DUKE,12,256,40,18,38.7,483,0,1249,2,7,40,810,52.7,31,66,154,6,55,60.3,72.0,87.9,,39.7,66.6,74.7,41.9,59,0,252,26,258,338,0,0,30,282,9,1249,810,3.16,4.9,0.98,194
Charles Williams,41837,HB,UNLV,12,254,46,15,39.9,494,0,1238,0,2,46,737,52.0,31,63,325,1,149,88.7,77.6,60.2,,22.7,59.6,80.4,54.6,75,1,201,14,230,291,0,0,15,268,15,1238,737,2.9,4.9,0.87,104
Breece Hall,97636,HB,IOWA STATE,12,251,76,22,53.3,778,0,1456,1,14,76,713,88.8,36,74,193,2,74,81.8,86.6,88.0,60.0,44.1,80.0,87.0,72.2,80,0,310,37,291,284,4,1,41,288,20,1460,713,2.83,5.8,1.07,176
Tyler Allgeier,83639,HB,BYU,12,249,69,17,33.7,478,0,1417,2,5,69,979,105.8,36,84,128,4,49,66.7,88.4,88.5,,57.7,73.2,88.0,68.9,67,2,187,26,213,317,0,0,30,275,20,1417,979,3.93,5.7,0.88,192
Sean Tucker,123056,HB,SYRACUSE,12,247,66,24,46.1,699,0,1515,3,4,66,1014,108.4,44,73,304,1,66,88.2,81.1,37.8,,41.7,54.4,87.0,57.1,56,2,249,18,204,359,0,0,24,265,12,1515,1014,4.11,6.1,1.22,180
DeAndre Torrey,83728,HB,N TEXAS,12,246,44,14,35.8,428,0,1195,2,3,44,649,48.1,27,60,251,4,203,73.7,81.1,24.8,,74.2,57.1,82.1,63.9,75,2,115,12,158,286,0,0,21,258,13,1195,649,2.64,4.9,0.73,42
Hassan Haskins,83701,HB,MICHIGAN,12,244,50,16,30.1,371,0,1232,0,3,50,756,63.9,34,96,222,0,170,91.7,91.5,51.2,,62.3,70.2,90.1,84.6,62,2,94,13,112,284,0,0,15,257,18,1232,756,3.1,5.0,0.84,73
Tyler Goodson,101659,HB,IOWA,12,238,37,15,40.3,443,0,1098,1,4,37,561,36.7,31,46,192,2,24,80.1,70.8,89.4,,62.4,73.0,69.0,54.9,56,0,219,25,169,285,0,0,31,263,6,1098,561,2.36,4.6,1.3,209
Jaylen Warren,98692,HB,OKLA STATE,12,237,77,14,33.6,381,0,1134,0,8,77,744,103.8,30,56,262,2,24,80.4,79.4,88.5,,50.1,65.1,81.3,52.4,75,0,193,20,216,316,0,0,25,257,11,1134,744,3.14,4.8,0.89,208
Rasheen Ali,121717,HB,MARSHALL,12,230,55,17,36.2,445,0,1229,4,15,55,803,88.9,30,81,214,5,28,58.5,81.2,59.8,,54.0,74.3,83.7,51.7,59,1,339,45,287,268,0,0,54,275,20,1229,803,3.49,5.3,1.18,196
Leddie Brown,77766,HB,W VIRGINIA,12,222,49,11,28.8,306,0,1061,2,5,49,640,60.3,26,64,343,5,104,57.3,72.2,88.1,,65.1,57.4,74.9,70.7,80,0,217,36,341,263,0,0,50,258,13,1061,640,2.88,4.8,0.64,111
Ellis Merriweather,128096,HB,UMASS,12,219,23,17,41.5,469,0,1130,1,2,23,580,27.6,27,51,216,0,139,91.3,79.9,27.5,,66.2,74.1,80.2,53.0,79,2,169,21,183,277,0,0,28,240,5,1130,580,2.65,5.2,0.92,78
Abram Smith,57158,HB,BAYLOR,12,216,35,20,45.0,613,0,1363,2,1,35,811,59.5,39,70,118,2,19,78.0,87.5,46.7,,47.1,58.1,86.7,74.5,75,1,68,11,102,271,0,0,15,227,12,1363,811,3.75,6.3,0.67,194
Deuce Vaughn,122624,HB,KANSAS ST,12,213,44,15,37.9,479,0,1263,3,13,44,582,59.9,38,67,199,1,106,86.5,90.7,57.1,,13.8,79.9,92.4,61.9,80,1,471,47,220,279,0,0,64,260,15,1263,582,2.73,5.9,2.14,98
Marquez Cooper,130489,HB,KENT STATE,12,212,43,12,28.6,309,0,1080,3,0,43,609,55.9,33,68,201,1,117,85.7,77.7,22.9,,54.7,46.4,81.4,69.4,66,2,90,9,150,271,0,0,14,221,11,1080,609,2.87,5.1,0.6,94
Tyrion Davis-Price,99169,HB,LSU,12,211,37,11,27.3,277,0,1015,0,6,37,591,54.5,30,56,211,3,105,77.0,78.5,86.2,,88.3,63.7,77.8,35.7,40,1,64,10,186,227,0,0,13,221,6,1015,591,2.8,4.8,0.34,105
B.J. Baylor,52122,HB,OREGON ST,12,209,54,16,36.7,462,0,1259,2,2,54,727,90.6,32,69,265,3,62,69.2,82.2,88.6,,14.2,47.2,84.4,55.6,68,0,53,6,101,254,0,0,10,215,13,1259,727,3.48,6.0,0.52,146
Greg Bell,83716,HB,S DIEGO ST,12,208,25,8,27.3,259,0,948,0,0,25,589,33.4,23,46,284,6,69,51.2,65.4,86.7,,37.9,49.3,67.0,60.0,55,0,5,4,124,253,0,0,6,212,8,948,589,2.83,4.6,0.04,138
Tank Bigsby,123974,HB,AUBURN,12,208,43,12,31.1,313,0,1008,4,3,43,652,64.7,30,53,115,4,95,60.3,80.4,86.5,,43.0,44.0,85.3,57.5,51,0,112,15,168,238,0,0,22,223,10,1008,652,3.13,4.8,0.67,111
Brian Robinson,57120,HB,ALABAMA,11,207,61,15,33.4,339,0,1016,2,6,61,678,93.0,30,61,103,0,67,91.2,85.2,87.3,,52.6,61.0,89.7,55.6,63,0,252,29,233,224,0,0,32,236,14,1016,678,3.28,4.9,1.08,138
Pat Garwo III,97120,HB,BOSTON COL,12,207,36,15,37.6,394,0,1048,2,0,36,675,55.9,26,55,121,1,67,85.3,76.1,87.7,,14.9,39.6,78.4,61.0,67,0,19,3,96,245,0,0,6,210,7,1048,675,3.26,5.1,0.2,140
Dylan McDuffie,77703,HB,BUFFALO,12,207,50,12,29.0,302,0,1042,3,4,50,625,74.4,29,74,126,0,62,91.2,79.8,47.6,,74.9,54.8,81.3,53.6,58,1,112,12,135,259,0,0,16,219,11,1042,625,3.02,5.0,0.83,145
Chris Rodriguez Jr.,83689,HB,KENTUCKY,12,204,48,18,31.8,404,1,1270,1,1,48,793,88.2,35,65,202,6,77,40.6,83.2,50.5,,40.1,61.5,84.6,66.4,41,1,56,12,152,252,0,0,16,216,8,1270,793,3.89,6.2,0.37,126
Zach Charbonnet,97630,HB,UCLA,12,204,69,18,37.4,431,0,1153,1,4,69,714,112.6,31,69,324,0,122,85.3,89.4,87.0,,44.5,63.7,91.9,59.5,47,0,181,23,232,247,0,0,25,227,13,1153,714,3.5,5.7,0.78,78
Kyren Williams,97118,HB,NOTRE DAME,12,204,58,9,33.0,327,0,990,1,14,58,757,108.6,25,48,258,3,99,75.8,81.2,87.4,,51.1,80.8,80.0,61.9,91,0,359,42,244,271,0,0,45,246,14,990,757,3.71,4.9,1.47,103
Blake Watson,84363,HB,DOMINION,10,201,33,10,27.9,290,0,1040,2,3,33,631,54.1,22,60,263,2,55,74.5,79.2,85.2,,46.8,46.0,84.0,52.2,46,0,41,8,165,239,0,0,11,209,7,1040,631,3.14,5.2,0.25,146
David Bailey,77792,HB,COLO STATE,11,197,40,8,20.9,156,0,745,0,8,40,532,61.1,16,40,144,2,157,76.1,75.8,88.0,60.0,53.3,65.5,76.3,59.0,31,1,133,15,158,241,0,0,18,212,9,745,532,2.7,3.8,0.84,35
Evan Hull,97302,HB,NWESTERN,12,196,50,15,43.8,442,0,1009,1,12,50,705,97.4,25,54,256,2,89,91.0,78.6,86.9,,43.0,73.0,78.7,69.5,90,1,264,33,203,245,0,0,42,229,7,1009,705,3.6,5.1,1.3,106
Bijan Robinson,123126,HB,TEXAS,10,195,79,15,36.7,414,0,1127,3,8,79,769,155.2,27,52,311,3,57,67.8,86.7,54.7,,43.1,62.1,91.1,56.8,62,1,293,26,216,224,0,0,31,221,11,1127,769,3.94,5.8,1.36,138
Shamari Brooks,61855,HB,TULSA,12,193,21,15,31.4,289,1,921,2,1,21,487,27.8,26,46,320,2,90,75.5,70.3,47.6,,41.0,46.6,74.2,54.1,35,1,61,7,165,218,0,0,9,200,6,921,487,2.52,4.8,0.37,100
Marcus Williams Jr.,40600,HB,LA TECH,12,192,45,10,28.8,233,0,808,3,8,45,523,68.1,21,46,208,3,88,75.4,75.2,86.0,,30.5,54.9,80.3,65.2,42,0,202,20,187,214,0,0,27,212,8,808,523,2.72,4.2,1.08,101
Bryant Koback,57266,HB,TOLEDO,12,190,37,20,48.2,615,1,1275,1,12,37,829,97.2,42,58,316,0,135,90.9,84.7,86.4,,54.3,76.8,85.8,64.0,67,1,339,30,204,238,0,0,34,220,15,1275,829,4.36,6.7,1.66,51
Xazavian Valladay,57490,HB,WYOMING,12,188,30,11,35.0,342,0,977,1,3,30,690,57.4,21,47,351,4,95,57.7,77.2,88.0,,57.1,66.2,78.9,59.5,74,0,233,23,212,268,0,0,29,211,5,977,690,3.67,5.2,1.1,92
La'Darius Jefferson,83704,HB,W MICHIGAN,12,186,22,9,20.3,170,1,839,1,2,22,515,35.2,19,55,347,1,83,83.4,77.7,44.9,,68.0,45.0,78.4,84.2,26,2,38,3,130,206,0,0,6,189,10,839,515,2.77,4.5,0.29,97
Nate Noel,122249,HB,APP STATE,12,184,56,17,38.9,402,0,1034,0,3,56,597,99.7,29,49,108,1,31,83.4,81.2,88.2,,43.2,55.2,82.7,56.9,46,0,17,8,77,201,0,0,8,192,4,1034,597,3.24,5.6,0.22,153
Kennedy Brooks,57371,HB,OKLAHOMA,12,183,56,21,50.3,560,0,1113,2,1,56,705,116.2,28,53,261,0,87,90.8,86.3,86.1,,53.8,45.8,89.9,72.5,65,0,49,6,158,237,0,0,9,189,10,1113,705,3.85,6.1,0.31,95
Rachaad White,131633,HB,ARIZONA ST,11,183,44,11,31.2,312,0,1000,3,16,44,619,89.8,24,57,110,1,70,84.3,90.8,53.7,,51.1,90.0,90.5,56.4,50,1,456,43,203,243,0,0,48,226,15,1000,619,3.38,5.5,2.25,111
Frank Gore Jr.,121457,HB,SO MISS,12,179,42,11,34.4,269,0,759,0,6,40,547,70.6,25,45,296,1,101,90.6,77.4,13.5,80.6,56.9,67.7,76.6,60.9,51,5,155,20,143,237,22,3,25,199,5,781,558,3.07,4.3,1.08,74
Jerome Ford,83601,HB,CINCINNATI,11,181,48,12,38.4,400,0,1043,0,4,48,551,79.9,27,62,138,2,82,74.5,84.6,85.5,,40.4,69.6,88.2,50.6,79,0,192,17,185,234,0,0,17,198,17,1043,551,3.04,5.8,1.04,96
Isaiah Spiller,99146,HB,TEXAS A&M,12,178,56,18,45.6,463,0,1016,0,11,56,647,120.0,31,50,312,1,49,83.4,83.2,86.0,,38.1,79.1,85.1,36.9,67,0,189,25,190,209,0,0,33,203,6,1016,647,3.63,5.7,0.99,129
Travis Dye,83738,HB,OREGON,12,177,26,16,37.2,382,0,1028,1,6,26,582,48.9,25,69,264,3,90,65.9,82.9,53.6,,34.2,83.0,82.6,59.1,53,1,343,38,208,237,0,0,45,215,14,1028,582,3.29,5.8,1.65,86
Carson Steele,145632,HB,BALL ST,12,177,43,10,31.9,263,0,824,0,1,43,648,86.6,23,46,117,3,92,63.7,80.0,86.8,,60.3,64.1,79.6,66.7,49,0,117,9,138,213,0,0,10,186,6,824,648,3.66,4.7,0.85,83
DeWayne McBride,121495,HB,UAB,12,176,67,24,53.8,637,0,1183,0,0,67,845,179.7,35,57,321,4,41,54.1,85.5,3.2,,47.7,52.7,86.9,50.1,67,2,19,3,87,195,0,0,6,179,12,1183,845,4.8,6.7,0.22,133
Tucker Gregg,83669,HB,GA STATE,12,176,28,9,25.8,237,0,920,0,0,28,538,48.1,19,56,175,2,14,73.0,84.6,84.0,,72.1,52.2,84.9,56.5,57,0,12,2,104,239,0,0,3,178,9,920,538,3.06,5.2,0.12,162
Keaton Mitchell,123826,HB,E CAROLINA,12,174,37,16,54.4,608,0,1117,2,14,37,568,84.5,27,41,156,2,33,76.4,76.5,85.8,,39.2,62.9,79.6,49.5,88,0,254,23,165,208,0,0,29,197,9,1117,568,3.26,6.4,1.54,140
Ty Chandler,62942,HB,N CAROLINA,12,174,45,19,49.1,524,0,1068,0,4,45,684,103.0,32,57,245,1,74,83.0,87.0,85.0,,59.3,69.5,87.4,70.4,60,0,210,13,152,218,0,0,15,187,13,1068,684,3.93,6.1,1.38,90
Chez Mellusi,99597,HB,WISCONSIN,9,174,23,8,25.0,205,0,820,1,1,23,471,35.9,23,42,349,1,62,82.5,67.6,86.5,,3.7,56.3,70.0,57.9,60,0,66,7,69,186,0,0,9,181,5,820,471,2.71,4.7,0.96,111
Chase Brown,77787,HB,ILLINOIS,10,170,44,17,41.1,413,0,1005,2,8,44,703,116.9,29,42,187,1,42,82.6,81.0,14.5,,54.0,62.3,83.0,64.7,80,2,142,14,130,207,0,0,19,184,5,1005,703,4.14,5.9,1.09,123
Tavion Thomas,77732,HB,UTAH,11,168,51,14,33.7,329,0,976,1,0,51,691,124.1,33,56,328,2,60,71.7,90.2,86.3,,80.2,41.1,88.4,58.5,58,0,7,1,47,189,0,0,2,169,18,976,691,4.11,5.8,0.15,108
TreVeyon Henderson,145059,HB,OHIO STATE,12,166,45,18,50.9,593,0,1165,1,5,45,727,115.9,31,51,260,1,48,82.2,82.0,18.1,,69.6,69.1,84.1,59.2,68,2,285,23,204,178,0,0,24,189,15,1165,727,4.38,7.0,1.4,117
Tyler Nevens,52262,HB,S JOSE ST,11,166,41,12,35.6,273,0,766,0,1,41,619,90.0,23,45,285,2,16,81.8,82.3,82.7,,37.3,63.6,81.7,64.8,46,1,52,8,67,192,0,0,10,174,7,766,619,3.73,4.6,0.78,150
Isaac Ruoss,77033,FB,NAVY,12,166,14,4,10.5,67,0,641,0,0,14,391,19.6,11,43,237,0,24,90.5,67.5,90.0,,55.9,79.2,68.8,49.0,19,0,15,2,11,311,0,0,2,168,5,641,391,2.36,3.9,1.36,0
Isiah Pacheco,83747,HB,RUTGERS,12,166,12,8,24.6,161,1,654,2,3,12,476,24.0,15,46,278,1,77,81.7,76.7,86.1,61.0,64.4,68.4,77.4,57.0,26,2,25,13,141,232,0,0,19,179,5,654,476,2.87,3.9,0.18,83
Jevyon Ducker,130550,HB,N ILLINOIS,10,165,38,15,39.0,348,0,892,2,0,38,589,82.2,30,43,254,0,94,90.5,78.7,86.7,,51.2,38.3,79.6,55.5,47,0,0,0,71,183,0,0,3,165,3,892,589,3.57,5.4,0.0,71
Rahjai Harris,123814,HB,E CAROLINA,12,165,28,8,24.4,142,0,583,1,4,28,380,39.0,16,40,156,1,31,82.3,71.2,86.1,,56.7,62.2,72.6,65.3,24,0,163,24,204,200,0,0,29,189,4,583,380,2.3,3.5,0.8,133
Tai Lavatai,121854,QB,NAVY,10,156,15,1,4.5,20,0,412,0,0,13,285,15.2,7,39,237,9,48,55.1,64.8,76.9,59.1,,57.2,64.0,60.0,20,3,0,0,1,493,29,7,0,156,7,441,319,1.96,2.7,0.0,36
