player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Garrett McGhin,46165,T,E CAROLINA,12,100.0,0,156,71.9,80.7,60.5,2,17,621,100.0,100.0,98.0,3,22,3,1026,0,0,53,1026,662,662,0,972,364,0
Koda Martin,46231,T,SYRACUSE,12,100.0,0,304,71.4,69.5,71.4,3,16,507,100.0,100.0,97.3,6,23,4,1014,0,0,72,1014,551,551,0,938,463,3
Cody Conway,46284,T,SYRACUSE,12,100.0,0,304,70.0,86.7,57.9,0,10,507,100.0,100.0,98.6,6,12,2,1014,0,0,941,1014,551,551,0,73,463,0
Airon Servais,41573,C,SYRACUSE,12,100.0,0,304,54.1,62.5,51.4,2,10,505,100.0,100.0,98.8,6,12,0,1008,1008,0,0,1008,549,549,0,0,459,0
Terence Steele,39461,T,TEXAS TECH,12,100.0,1,315,69.7,71.8,70.6,4,19,583,100.0,100.0,97.7,9,25,2,976,0,0,0,976,617,617,0,975,359,0
Jack Anderson,60130,G,TEXAS TECH,12,100.0,1,315,69.8,82.4,67.7,1,9,583,100.0,100.0,99.0,6,11,1,976,0,0,0,976,617,617,976,0,359,0
D'Ante Smith,41497,T,E CAROLINA,12,100.0,2,156,63.8,74.5,57.4,5,23,586,100.0,100.0,97.3,7,30,2,973,0,0,971,973,625,625,0,0,348,1
Aaron Roberts,46102,G,SYRACUSE,12,100.0,0,304,54.5,72.7,48.5,0,10,490,100.0,100.0,98.6,5,12,2,970,0,970,0,970,534,534,0,0,436,0
Cortez Herrin,41765,G,E CAROLINA,12,100.0,0,156,56.3,53.2,54.5,7,21,600,100.0,100.0,96.7,3,34,6,965,0,964,0,965,640,640,0,0,325,0
Julian Sams,77500,G,KENT STATE,12,100.0,0,201,59.1,75.5,52.1,0,17,516,100.0,100.0,98.2,4,18,1,953,0,831,120,953,560,560,0,0,393,0
Nate Warnock,59783,C,KENT STATE,12,100.0,2,201,66.4,76.7,63.7,0,11,516,100.0,100.0,98.9,12,11,0,953,951,0,0,953,560,560,0,0,393,0
Nate Gilliam,25105,T,WAKE,12,100.0,1,339,62.5,70.2,59.0,4,16,448,100.0,100.0,96.9,5,24,4,947,0,6,0,947,468,468,36,905,479,0
Jake Benzinger,39255,T,WAKE,12,100.0,0,339,54.7,61.0,53.5,8,18,445,100.0,100.0,96.4,5,29,3,946,0,0,888,946,465,465,0,57,481,1
Isaiah Prince,47019,T,OHIO STATE,12,100.0,6,260,75.6,70.7,81.7,3,13,501,100.0,100.0,98.0,13,18,2,943,0,0,0,943,533,533,0,942,410,1
Malcolm Pridgeon,41421,G,OHIO STATE,12,100.0,1,260,67.5,73.2,69.2,2,8,501,100.0,100.0,98.8,10,11,1,943,0,943,0,943,533,533,0,0,410,0
Michael Jordan,28021,C,OHIO STATE,12,100.0,0,260,67.6,78.1,62.7,0,10,501,100.0,100.0,99.0,3,10,0,943,943,0,0,943,533,533,0,0,410,0
Thomas Sargeant,41824,C,LIBERTY,12,100.0,0,206,61.8,81.3,54.3,0,8,473,100.0,100.0,98.7,2,10,2,941,941,0,0,941,496,496,0,0,445,0
Reggie Bain,28501,T,FAU,12,100.0,1,165,71.9,75.0,67.8,7,15,416,100.0,100.0,97.1,3,23,1,940,0,0,938,940,438,438,0,0,502,0
Demetrius Knox,46832,G,OHIO STATE,12,100.0,0,260,70.3,76.5,68.2,4,8,501,100.0,100.0,98.4,4,14,2,939,0,0,0,939,533,533,939,0,406,0
Blake Blackmar,46057,G,BAYLOR,12,100.0,0,118,63.0,86.8,55.1,1,6,538,100.0,100.0,98.8,7,10,3,938,0,0,0,938,568,568,936,0,370,0
Julio Lozano,40637,T,LIBERTY,12,100.0,0,206,74.6,82.6,67.5,1,10,472,100.0,100.0,98.0,2,15,4,938,0,0,937,938,495,495,0,0,443,1
Jared Thomas,36609,C,NWESTERN,12,100.0,2,256,64.3,75.1,58.2,4,8,501,100.0,100.0,98.8,2,12,0,936,936,0,0,936,533,533,0,0,403,0
Sam Tecklenburg,47316,C,BAYLOR,12,99.9,1,118,62.9,67.9,59.0,4,18,537,99.8,99.8,97.6,4,24,2,936,936,0,0,937,567,568,0,0,369,0
J.R. Hensley,37017,G,HAWAII,13,100.0,3,180,74.0,87.7,76.9,2,2,594,100.0,100.0,99.5,15,5,1,933,0,933,0,933,625,625,0,0,308,0
Wes Martin,46087,G,INDIANA,12,100.0,0,190,76.7,83.6,74.2,4,8,538,100.0,100.0,98.5,3,14,2,932,0,932,0,932,584,584,0,0,348,0
Elijah Rodriguez,46835,G,TEXAS,12,100.0,0,311,67.3,73.6,62.7,4,14,471,100.0,100.0,97.5,2,21,3,932,293,6,0,932,490,490,631,2,442,0
Calvin Anderson,46247,T,TEXAS,12,99.9,0,311,68.8,76.3,63.2,3,11,470,99.8,99.8,97.0,7,21,7,931,0,0,929,932,489,490,0,0,442,2
Danny Pinter,47339,T,BALL ST,12,100.0,0,117,74.8,81.5,67.4,2,20,535,100.0,100.0,97.6,3,24,2,931,0,1,0,931,564,564,0,927,367,0
Teven Jenkins,41534,T,OKLA STATE,12,100.0,0,262,78.8,79.1,77.9,1,17,498,100.0,100.0,97.8,6,20,2,931,0,0,226,931,533,533,0,702,398,3
Patrick Lawrence,46878,T,BAYLOR,12,100.0,1,118,57.5,71.3,52.3,5,30,535,100.0,100.0,96.4,12,37,2,931,0,0,0,931,565,565,0,929,366,0
Junior Diaz,26655,C,FAU,12,100.0,0,165,69.1,78.8,65.4,0,4,413,100.0,100.0,99.3,2,5,1,930,929,0,0,930,435,435,0,0,495,0
Dontae Duff,37407,G,LIBERTY,12,100.0,0,206,74.7,88.4,69.6,1,5,470,100.0,100.0,98.9,0,8,2,930,0,0,0,930,493,493,930,0,437,0
Patrick Vahe,46039,G,TEXAS,12,100.0,1,311,55.8,73.1,50.3,2,13,468,100.0,100.0,98.2,3,16,1,926,0,926,0,926,487,487,0,0,439,0
Isaac Mcclain,59928,T,NEW MEX ST,12,100.0,0,242,66.6,78.7,53.9,2,23,622,100.0,100.0,96.9,4,32,7,925,0,0,0,925,646,646,133,792,279,0
Brian Trujillo,36927,G,NEW MEX ST,12,100.0,1,242,68.8,79.3,66.1,4,12,622,100.0,100.0,98.1,8,20,4,925,0,925,0,925,646,646,0,0,279,0
Sage Doxtater,46338,T,NEW MEX ST,12,100.0,0,242,61.5,70.7,52.5,10,19,622,100.0,100.0,96.5,7,36,7,925,0,0,925,925,646,646,0,0,279,0
Jamin Smith,46783,C,NEW MEX ST,12,100.0,0,242,70.8,76.9,69.0,6,11,621,100.0,100.0,98.1,6,20,3,924,924,0,0,924,645,645,0,0,279,0
Andre Dillard,29250,T,WASH STATE,12,100.0,1,341,83.1,92.0,71.6,2,8,668,100.0,100.0,99.1,4,11,1,922,0,0,913,922,693,693,0,0,229,5
Abraham Lucas,60218,T,WASH STATE,12,100.0,0,341,74.4,85.4,60.6,2,14,668,100.0,100.0,98.8,5,16,0,922,0,5,0,922,693,693,0,913,229,0
Ryan Anderson,46883,C,WAKE,12,100.0,1,339,72.0,88.5,64.4,1,5,445,100.0,100.0,99.1,1,7,1,921,792,4,0,921,465,465,125,0,456,0
Manase Mose,59950,G,N TEXAS,12,100.0,0,251,74.4,81.5,70.8,1,10,512,100.0,100.0,98.7,1,12,1,917,0,0,0,917,541,541,916,0,376,0
Paul Adams,46846,T,MISSOURI,12,100.0,2,229,62.4,62.4,62.5,2,17,430,100.0,100.0,97.1,8,22,3,917,0,0,0,917,457,457,0,915,460,1
Chandler Miller,26727,C,TULSA,12,100.0,0,320,67.7,73.9,67.1,2,10,389,100.0,100.0,98.5,6,12,0,916,916,0,0,916,410,410,0,0,506,0
Jacob Still,41563,C,ARK STATE,12,100.0,0,113,58.7,64.6,56.4,2,14,468,100.0,100.0,97.9,6,18,2,916,916,0,0,916,495,495,0,0,421,0
Willie Wright,46989,T,TULSA,12,100.0,0,320,60.3,65.4,56.0,2,19,389,100.0,100.0,96.3,1,25,4,916,0,0,0,916,410,410,0,912,506,4
Kohl Levao,75850,T,HAWAII,13,100.0,0,180,63.2,68.6,59.1,4,15,582,100.0,100.0,97.3,3,25,6,913,143,0,0,913,614,614,0,769,299,1
Lanard Bonner,21863,T,ARK STATE,12,100.0,2,113,69.6,77.1,65.8,5,6,468,100.0,100.0,98.8,7,11,0,912,0,0,910,912,495,495,0,1,417,0
Garrett Bradbury,46013,C,NC STATE,12,99.9,0,248,84.7,85.6,84.0,1,10,475,100.0,100.0,98.6,4,12,1,912,912,0,0,913,496,496,0,0,416,0
Frederick Mauigoa,41388,C,WASH STATE,12,100.0,0,341,67.3,76.1,61.9,7,15,665,100.0,100.0,98.3,3,22,0,911,904,0,0,911,690,690,0,0,221,5
Brandon Walton,41533,T,FAU,12,100.0,0,165,71.7,70.3,68.6,3,18,404,100.0,100.0,97.2,2,22,1,910,0,0,0,910,425,425,0,907,485,1
Cody Creason,38799,G,ARIZONA,12,100.0,0,109,71.0,76.3,69.7,0,13,439,100.0,100.0,98.1,9,15,2,908,0,597,0,908,473,473,0,310,435,0
Donovan Laie,81553,T,ARIZONA,12,100.0,1,109,62.5,82.3,53.0,0,6,439,100.0,100.0,98.4,7,10,4,907,0,0,310,907,473,473,0,597,434,0
Josh McCauley,40870,C,ARIZONA,12,100.0,0,109,62.1,73.9,57.3,1,15,439,100.0,100.0,97.9,6,17,1,906,906,0,0,906,473,473,0,0,433,0
Sam Cosmi,60114,T,TEXAS,12,100.0,0,311,78.6,84.4,72.7,2,15,459,100.0,100.0,97.7,4,19,2,905,0,0,0,905,477,477,0,903,428,2
Dan Moore Jr.,60120,T,TEXAS A&M,12,100.0,1,312,56.7,63.4,51.4,6,19,452,100.0,100.0,95.9,5,31,6,905,0,0,905,905,495,495,0,0,410,0
Carson Green,60118,T,TEXAS A&M,12,100.0,0,312,63.1,67.7,58.5,4,18,452,100.0,100.0,97.1,6,24,2,905,0,0,0,905,495,495,0,905,410,0
John Keenoy,45568,C,W MICHIGAN,12,100.0,0,347,74.6,85.2,70.6,0,3,396,100.0,100.0,99.4,3,4,1,905,905,0,0,905,428,428,0,0,477,0
Rashawn Slater,59971,T,NWESTERN,12,100.0,0,256,76.9,78.2,71.4,1,12,475,100.0,100.0,98.2,1,15,2,904,0,0,0,904,505,505,0,904,399,0
Josh Jones,26634,T,HOUSTON,12,100.0,0,182,72.5,88.1,63.3,0,7,474,100.0,100.0,98.8,6,9,2,904,0,0,899,904,509,509,0,5,395,0
Tre'Vour Wallace-Simms,41855,G,MISSOURI,12,100.0,0,229,66.4,81.9,60.6,1,3,423,100.0,100.0,99.5,1,4,0,904,0,0,0,904,449,449,903,0,455,0
Will Noble,26633,C,HOUSTON,12,100.0,1,182,55.0,59.4,52.3,2,10,474,100.0,100.0,98.3,4,14,2,900,900,0,0,900,508,508,0,0,392,0
Luke Juriga,29571,G,W MICHIGAN,12,100.0,1,347,73.0,85.3,69.8,2,4,394,100.0,100.0,99.2,3,6,0,900,0,0,0,900,426,426,900,0,474,0
Trent Moore,28263,T,OREGON ST,12,99.9,0,265,65.3,62.3,68.2,4,27,495,99.8,99.8,96.1,5,35,4,899,0,0,2,900,512,513,0,897,387,1
Tyler Witt,40256,G,W KENTUCKY,12,100.0,0,346,68.0,77.6,64.5,1,14,500,100.0,100.0,97.9,2,18,3,899,0,898,0,899,525,525,0,0,374,0
Jordan Meredith,60235,G,W KENTUCKY,12,100.0,0,346,62.1,66.3,64.0,2,8,500,100.0,100.0,98.8,8,11,1,899,0,0,0,899,525,525,898,0,374,0
Phil Haynes,29244,G,WAKE,12,100.0,0,339,68.0,75.2,65.5,0,11,437,100.0,100.0,98.3,3,13,2,898,0,898,0,898,457,457,0,0,441,0
Seth Joest,41891,C,W KENTUCKY,12,100.0,2,346,73.5,85.6,72.2,1,9,499,100.0,100.0,98.6,8,12,2,898,898,0,0,898,524,524,0,0,374,0
Damien Lewis,81532,G,LSU,12,100.0,2,211,75.7,80.3,74.4,1,6,413,100.0,100.0,98.9,6,8,1,897,0,0,0,897,441,441,897,0,456,0
Justin Polu,28976,G,UNLV,12,100.0,1,325,65.4,69.6,64.4,3,6,412,100.0,100.0,98.7,6,10,1,896,0,0,0,896,435,435,896,0,461,0
Brandon Knight,25018,T,INDIANA,12,100.0,2,190,66.6,70.5,62.3,4,27,522,100.0,100.0,96.6,5,33,2,896,0,0,0,896,567,567,0,896,329,0
William Atterbury,46361,G,USF,12,100.0,0,327,63.2,80.3,59.2,0,9,461,100.0,100.0,98.2,5,13,4,894,0,0,0,894,484,484,894,0,410,0
Marcus Norman,46968,T,USF,12,100.0,1,327,69.2,65.8,68.7,2,19,461,100.0,100.0,96.6,6,26,5,894,0,0,4,894,484,484,0,889,410,1
Miles Pate,36494,T,W KENTUCKY,12,100.0,0,346,79.1,78.5,73.6,1,17,499,100.0,100.0,97.2,1,23,5,894,0,0,0,894,523,523,0,890,371,2
Riley Mayfield,46910,T,N TEXAS,12,100.0,1,251,73.7,73.5,68.5,2,23,506,100.0,100.0,96.7,1,29,4,892,0,0,0,892,534,534,0,891,358,0
Lloyd Cushenberry III,41924,C,LSU,12,100.0,0,211,73.8,84.1,68.0,1,6,412,100.0,100.0,98.9,0,8,1,892,892,0,0,892,440,440,0,0,452,0
Sumner Houston,48823,C,OREGON ST,12,100.0,1,265,54.6,56.3,54.7,2,17,493,100.0,100.0,97.1,6,24,5,891,891,0,0,891,510,510,0,0,381,0
Jaylon Moore,43678,T,W MICHIGAN,12,100.0,0,347,65.8,82.0,56.9,1,7,390,100.0,100.0,98.5,1,10,2,890,0,0,890,890,420,420,0,0,470,0
Larry Hughes,46738,G,SMU,12,100.0,0,287,59.7,78.2,49.4,3,15,507,100.0,100.0,98.0,2,19,1,890,0,0,0,890,538,538,470,419,352,0
Barry Wesley,52018,G,COLO STATE,12,100.0,0,144,58.3,64.2,57.3,7,22,529,100.0,100.0,96.7,5,32,3,889,41,390,323,889,562,562,40,93,327,2
Isaac Weaver,41945,T,DOMINION,12,99.9,0,263,62.4,51.8,66.8,7,37,525,100.0,99.8,94.5,1,51,7,889,0,0,889,890,555,556,0,0,334,1
Hayden Howerton,60052,C,SMU,12,100.0,1,287,58.2,68.3,55.9,2,11,506,100.0,100.0,98.7,6,13,0,889,889,0,0,889,537,537,0,0,352,0
Garrett Larson,45560,C,BOISE ST,12,100.0,1,120,67.1,56.9,72.7,9,12,481,100.0,100.0,97.2,5,24,3,889,887,0,0,889,496,496,0,0,393,0
Erik McCoy,37347,C,TEXAS A&M,12,100.0,0,312,73.1,75.5,70.5,4,3,440,100.0,100.0,99.2,1,7,0,888,888,0,0,888,480,480,0,0,408,0
John Molchon,46921,G,BOISE ST,12,100.0,0,120,69.0,76.6,67.3,2,12,481,100.0,100.0,98.3,4,15,1,887,0,887,0,887,495,495,0,0,392,0
Trystan Colon,41117,C,MISSOURI,12,100.0,0,229,64.9,76.8,60.4,1,11,414,100.0,100.0,98.6,4,12,0,887,887,0,0,887,440,440,0,0,447,0
Nick Clarke,29704,C,DOMINION,12,100.0,0,263,63.3,76.5,54.7,0,9,524,100.0,100.0,99.0,1,10,1,887,887,0,0,887,554,554,0,0,333,0
Ezra Cleveland,41973,T,BOISE ST,12,100.0,0,120,84.4,83.8,80.7,4,6,481,100.0,100.0,98.5,4,12,2,887,0,0,886,887,495,495,0,0,392,1
Elex Woodworth,27802,G,N TEXAS,12,100.0,0,251,71.2,79.3,68.8,4,9,504,100.0,100.0,98.1,3,16,3,886,0,833,52,886,531,531,0,0,355,0
Tyler Jones,46378,T,NC STATE,12,100.0,0,248,72.9,84.8,64.9,1,8,460,100.0,100.0,99.0,4,9,0,885,0,3,872,885,481,481,0,4,404,5
Sam Mustipher,13026,C,NOTRE DAME,12,100.0,0,258,73.0,78.1,71.1,2,7,451,100.0,100.0,98.8,3,10,1,883,883,0,0,883,470,470,0,0,413,0
Jarrid Williams,38432,T,HOUSTON,12,100.0,1,182,76.0,80.6,75.4,1,9,467,100.0,100.0,98.5,8,12,2,883,0,0,14,883,499,499,0,857,384,12
Ben Petrula,58533,T,BOSTON COL,12,100.0,1,121,67.2,62.9,70.5,4,17,369,100.0,100.0,96.3,6,24,3,882,0,0,0,882,377,377,2,880,505,0
Alec Eberle,28392,C,FLORIDA ST,12,100.0,2,167,59.2,72.1,56.0,3,7,508,100.0,100.0,98.6,8,12,2,882,882,0,0,882,540,540,0,0,342,0
Josh Watson,41677,G,WASH STATE,12,100.0,2,341,60.5,62.5,57.8,4,37,644,100.0,100.0,96.8,5,41,0,881,0,0,5,881,669,669,875,0,212,0
Max Scharping,46961,T,N ILLINOIS,12,100.0,0,254,81.9,89.9,72.2,0,10,406,100.0,100.0,98.5,1,11,1,879,0,0,867,879,427,427,0,0,452,12
Luke Shively,24080,C,N ILLINOIS,12,100.0,0,254,66.6,76.2,63.0,0,14,406,100.0,100.0,98.0,4,15,1,879,879,0,0,879,427,427,0,0,452,0
Simon Stepaniak,46773,G,INDIANA,12,100.0,1,190,60.3,56.9,61.5,6,19,508,100.0,100.0,97.1,6,27,2,878,0,0,0,878,550,550,878,0,328,0
Tony Barnett,37068,G,DOMINION,12,100.0,0,263,60.7,75.0,53.1,2,15,515,100.0,100.0,98.2,1,18,1,878,0,833,0,878,545,545,0,45,333,0
Jordan Reid,60805,T,MICH STATE,12,100.0,1,223,65.9,69.4,59.1,3,18,497,100.0,100.0,97.3,3,24,3,878,0,0,0,878,526,526,0,871,352,6
Kirk Barron,30032,C,PURDUE,12,100.0,0,273,65.2,77.8,59.5,1,16,519,100.0,100.0,98.2,5,18,1,877,876,0,0,877,553,553,0,0,324,1
Cam DeGeorge,41469,G,UCONN,12,100.0,0,146,69.2,88.6,63.8,2,2,420,100.0,100.0,99.3,3,5,1,877,0,874,0,877,444,444,0,0,433,3
Aaron Monteiro,25693,T,BOSTON COL,12,100.0,2,121,74.7,67.1,77.1,3,12,364,100.0,100.0,96.8,7,19,4,874,0,0,873,874,372,372,0,0,502,0
Ilm Manning,75852,T,HAWAII,13,100.0,0,180,64.8,79.6,48.1,5,5,557,100.0,100.0,97.8,2,17,7,874,0,0,874,874,584,584,0,0,290,0
Colby Pursell,41506,C,COLORADO,12,100.0,0,143,60.6,68.5,58.0,2,13,470,100.0,100.0,97.6,5,19,4,874,874,0,0,874,507,507,0,0,367,0
Andre James,47058,T,UCLA,12,99.9,0,324,63.4,62.4,62.1,7,20,467,99.8,99.8,95.8,3,33,6,873,0,0,847,874,488,489,0,0,385,26
Liam Ryan,41618,G,WASH STATE,12,100.0,0,341,69.6,78.2,65.9,6,14,635,100.0,100.0,98.4,2,20,0,873,0,865,0,873,660,660,0,0,213,5
Shane Lemieux,28149,G,OREGON,12,100.0,0,264,83.6,77.3,84.8,0,9,426,100.0,100.0,98.5,3,11,2,872,0,872,0,872,452,452,0,0,420,0
Blake Brandel,46282,T,OREGON ST,12,100.0,0,265,71.0,72.6,66.2,6,13,477,100.0,100.0,95.7,1,30,11,871,0,0,871,871,493,493,0,0,378,0
Nathan Jacobson,46871,T,UNLV,12,100.0,1,325,73.3,70.7,73.5,3,11,399,100.0,100.0,96.5,7,21,7,871,0,0,36,871,422,422,0,824,449,11
Calvin Throckmorton,28238,T,OREGON,12,100.0,0,264,85.2,88.2,79.5,1,9,424,100.0,100.0,98.6,0,11,1,868,38,0,371,868,450,450,62,387,418,9
Robert Hainsey,59980,T,NOTRE DAME,12,100.0,1,258,75.4,79.1,75.5,2,9,440,100.0,100.0,98.5,8,12,1,867,0,0,0,867,458,458,0,867,409,0
Liam Eichenberg,41851,T,NOTRE DAME,12,100.0,0,258,65.9,67.4,62.0,1,16,448,100.0,100.0,97.4,1,20,3,866,0,0,866,866,467,467,0,0,399,0
Solo Vaipulu,75849,G,HAWAII,13,100.0,0,180,61.9,73.3,57.6,2,11,546,100.0,100.0,98.4,4,15,2,865,0,1,0,865,570,570,864,0,295,0
Shea Baker,52215,C,RICE,13,100.0,0,275,54.0,60.7,51.8,1,4,407,100.0,100.0,99.1,4,6,1,865,864,0,0,865,424,424,0,0,441,1
Yasir Durant,59878,T,MISSOURI,12,100.0,0,229,72.3,83.0,62.9,2,5,403,100.0,100.0,98.9,3,8,1,865,0,0,863,865,430,430,0,0,435,0
