player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
CJ Marable,55264,HB,COAST CAR,12,204,34,13,31.2,339,0,1082,1,7,34,570,47.3,26,67,141,1,87,85.6,78.5,62.2,,47.2,76.5,81.3,47.6,75,1,305,38,224,337,0,0,42,242,11,1085,570,2.79,5.3,1.36,114
Pooka Williams Jr.,77771,HB,KANSAS,11,202,74,17,40.6,423,0,1043,0,14,74,622,118.3,31,48,198,0,41,91.1,86.3,55.2,,70.4,66.6,88.3,55.6,65,2,214,27,189,241,0,0,31,229,3,1043,622,3.08,5.2,1.13,154
Kenneth Gainwell,77737,HB,MEMPHIS,12,202,52,23,52.4,727,1,1388,1,17,52,729,102.5,35,57,218,2,115,78.1,88.7,88.5,,82.4,84.0,85.6,53.8,75,1,492,41,199,268,0,0,46,243,12,1388,729,3.61,6.9,2.47,82
Cameron Scarlett,35806,HB,STANFORD,12,201,52,11,30.4,255,0,838,4,6,52,605,77.2,20,52,300,2,93,77.0,74.9,87.2,,84.6,56.6,76.1,58.2,45,0,240,25,242,217,0,0,34,226,7,838,605,3.01,4.2,0.99,107
Elijah Collins,83705,HB,MICH STATE,12,200,31,13,38.3,344,0,898,5,8,31,551,50.2,21,46,223,0,46,91.0,74.0,57.2,,84.6,43.7,77.4,59.5,58,1,96,14,175,275,0,0,21,214,5,898,551,2.76,4.5,0.55,154
Josh Johnson,88760,HB,LA MONROE,12,200,59,20,43.3,558,0,1288,1,3,59,817,118.9,36,56,209,3,34,67.7,82.6,25.7,,58.6,59.0,85.8,58.6,53,2,122,13,173,281,0,0,18,213,11,1288,817,4.09,6.4,0.71,166
Zack Moss,40341,HB,UTAH,11,199,80,18,42.4,527,0,1242,1,12,80,929,194.3,33,65,328,1,48,85.2,91.5,13.2,,66.8,76.4,91.5,55.0,91,2,316,22,121,243,0,0,25,221,15,1242,929,4.67,6.2,2.61,151
Ke'Shawn Vaughn,45866,HB,VANDERBILT,12,199,55,12,39.0,401,2,1028,3,8,55,743,103.2,32,55,333,2,60,69.3,77.7,6.1,,67.0,60.9,81.7,50.4,75,5,286,29,223,247,0,0,33,228,9,1028,743,3.73,5.2,1.28,139
Bryant Koback,57266,HB,TOLEDO,12,196,62,15,40.4,479,0,1185,2,2,62,763,122.7,34,55,316,5,101,49.0,73.3,84.9,,45.8,51.8,74.9,56.8,75,1,62,7,134,220,0,0,11,203,12,1185,763,3.89,6.0,0.46,95
Tra Minter,57401,HB,S ALABAMA,12,194,56,15,33.2,351,0,1057,1,13,56,717,113.3,32,45,288,1,74,88.2,81.4,87.4,,69.6,77.7,80.1,57.9,49,0,207,31,196,279,0,0,36,225,5,1057,717,3.7,5.4,1.06,115
D'Andre Swift,57212,HB,GEORGIA,12,194,40,18,38.0,458,0,1204,0,4,40,685,72.3,38,57,173,3,25,67.4,80.0,86.4,,79.4,65.6,80.3,58.1,47,0,198,21,182,217,0,0,26,215,7,1204,685,3.53,6.2,1.09,157
Toa Taua,83722,HB,NEVADA,12,190,40,11,28.9,219,0,758,3,8,40,543,62.4,20,37,239,1,48,76.3,69.1,60.7,,58.9,56.5,72.3,56.3,27,1,185,30,254,217,0,0,35,220,6,758,543,2.86,4.0,0.73,125
Jalen Hurts,40291,QB,OKLAHOMA,12,139,41,14,25.8,336,0,842,0,1,31,313,51.1,45,76,261,9,75,40.6,91.8,88.8,87.6,,90.2,82.5,60.1,52,0,25,2,3,374,462,49,2,141,18,1304,451,2.4,6.9,8.33,27
Larry Rountree III,57308,HB,MISSOURI,12,187,36,8,22.7,190,0,838,3,2,36,544,55.3,24,45,229,2,74,74.9,69.4,85.6,,60.1,51.2,70.8,55.8,41,0,70,13,114,223,0,0,16,200,9,838,544,2.91,4.5,0.61,111
Chris Brooks,83644,HB,CAL,12,186,50,10,28.5,226,0,793,0,8,50,587,89.3,25,45,130,0,47,90.8,77.1,86.6,,34.4,62.9,79.3,72.8,38,0,149,19,190,223,0,0,21,205,8,793,587,3.16,4.3,0.78,137
Najee Harris,57121,HB,ALABAMA,12,185,51,14,26.4,287,0,1088,1,11,51,660,104.3,41,74,103,0,98,90.8,86.7,87.1,,50.4,72.7,88.2,86.1,31,0,304,27,231,192,0,0,33,212,11,1088,660,3.57,5.9,1.32,85
Alex Fontenot,57186,HB,COLORADO,11,185,43,12,28.4,248,0,873,1,3,43,521,61.1,29,48,143,3,37,66.7,77.8,88.5,,80.2,62.0,79.4,48.6,32,1,122,27,197,234,0,0,33,212,5,873,521,2.82,4.7,0.62,146
Rakeem Boyd,40492,HB,ARKANSAS,12,182,34,12,42.8,484,0,1130,3,5,34,646,68.9,26,41,111,0,66,90.8,80.4,85.9,60.4,72.7,60.6,82.1,57.5,86,0,160,19,189,211,0,0,26,201,8,1130,646,3.55,6.2,0.85,114
Clyde Edwards-Helaire,57279,HB,LSU,12,181,59,17,44.7,553,0,1238,3,11,59,634,109.5,31,67,211,1,72,85.0,83.6,58.7,,32.0,63.6,90.6,67.3,89,1,338,43,327,220,0,0,48,224,16,1238,634,3.5,6.8,1.03,108
Salvon Ahmed,57472,HB,WASHINGTON,11,181,27,9,30.5,302,0,989,2,3,27,623,52.7,20,48,340,1,98,83.6,76.8,54.1,,22.9,47.4,85.2,61.1,89,1,69,15,228,219,0,0,18,196,9,989,623,3.44,5.5,0.3,79
Benny LeMay,57184,HB,CHARLOTTE,10,180,46,15,39.2,403,1,1029,1,5,46,639,91.4,31,49,136,1,49,83.9,80.5,86.7,,66.9,69.8,81.5,48.9,65,1,235,18,160,264,0,0,21,198,9,1029,639,3.55,5.7,1.47,130
Stevie Scott III,83680,HB,INDIANA,11,178,23,10,32.2,272,0,845,1,2,23,529,36.4,20,56,190,0,33,90.7,77.3,51.8,,64.1,65.5,77.4,80.5,57,1,211,26,177,229,0,0,29,204,10,845,529,2.97,4.7,1.19,145
Ray Davis,101072,HB,TEMPLE,11,177,44,10,28.3,256,0,905,3,2,44,633,86.6,26,48,306,1,50,90.7,81.1,86.4,,62.2,50.2,85.3,57.4,55,0,137,13,160,203,0,0,20,190,7,905,633,3.58,5.1,0.86,126
Sincere McCormick,97119,HB,UTSA,12,176,36,15,48.9,482,1,986,1,10,36,668,87.7,26,45,331,2,62,74.2,75.4,52.8,,80.2,72.8,74.3,55.7,54,1,187,23,191,242,0,0,26,199,8,986,668,3.8,5.6,0.98,114
Asher O'Hara,78529,QB,MIDDLE TN,12,119,53,9,21.6,254,1,686,0,0,28,350,69.2,44,66,224,7,82,59.4,80.4,88.9,65.4,,,86.1,60.0,53,1,0,0,0,302,491,57,0,119,9,1177,781,4.44,6.7,,27
Ronnie Rivers,57208,HB,FRESNO ST,12,176,45,12,39.7,356,0,896,2,18,45,510,82.6,21,43,169,2,45,79.4,76.3,87.7,,55.1,71.6,78.0,62.9,55,0,365,45,285,256,0,0,56,221,13,896,510,2.9,5.1,1.28,122
J.D. King,57374,HB,GA SOUTHRN,11,175,40,9,25.3,198,0,782,2,1,40,581,76.9,16,47,174,0,34,90.7,77.4,85.7,,45.7,37.3,79.2,59.9,31,0,14,2,65,371,0,0,4,177,8,782,581,3.32,4.5,0.22,141
Jordan Mason,62946,HB,GA TECH,12,174,76,16,42.9,388,0,905,0,0,76,761,183.6,31,47,176,2,51,75.6,86.9,85.4,,71.7,63.9,84.3,74.7,48,0,39,7,86,266,0,0,10,181,7,905,761,4.37,5.2,0.45,117
