player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Gardner Minshew,41401,QB,WASH STATE,12,80.5,574,615,6.4,2.77,8,23,3.6,70.4,433,0,156,6.3,653,29,238,341,77.3,87.8,88.3,51.4,6,9,678,4,6.4,104.5,1.5,10,28,0,27,36,13,1.9,4478,7.3
Cole McDonald,38584,QB,HAWAII,12,67.3,453,467,11.6,2.48,4,25,5.1,58.9,275,0,105,9.8,535,30,180,180,56.9,79.4,79.7,61.6,3,8,562,3,30.5,102.8,6.0,32,36,2,5,35,23,4.1,3790,8.1
Dwayne Haskins,41897,QB,OHIO STATE,12,76.3,443,457,8.4,2.44,4,16,3.3,68.9,315,2,107,6.8,497,23,199,260,64.8,79.3,78.4,60.2,6,7,528,3,15.0,121.0,3.2,16,24,0,4,42,15,2.8,4087,8.9
Mason Fine,46629,QB,N TEXAS,12,79.9,412,456,8.6,2.74,10,31,6.4,64.3,293,0,151,10.9,498,36,183,251,44.0,91.1,91.5,52.5,2,5,524,2,15.2,104.8,4.6,23,17,0,32,27,15,2.9,3723,8.2
Ryan Finley,46426,QB,NC STATE,12,75.0,436,452,10.3,2.44,3,28,5.9,67.9,307,0,101,6.1,469,20,186,248,68.9,91.3,91.0,60.9,2,9,489,2,9.9,103.0,2.1,10,6,0,11,24,13,2.7,3785,8.4
Peyton Ramsey,40186,QB,INDIANA,12,73.7,418,448,8.5,2.78,5,15,3.1,66.1,296,0,165,3.9,508,12,155,190,72.6,69.7,67.2,65.7,5,13,550,3,17.6,85.9,5.7,29,29,0,20,19,16,2.9,2876,6.4
Taylor Cornelius,46535,QB,OKLA STATE,12,69.5,419,442,12.6,2.77,6,22,4.6,59.3,262,0,149,10.0,496,29,181,262,69.4,82.0,74.3,80.1,6,11,531,1,18.8,96.6,5.6,28,18,0,11,28,18,3.4,3644,8.2
Stephen Calvert,46556,QB,LIBERTY,12,64.7,414,439,11.8,2.45,8,29,6.3,54.7,240,0,117,10.4,464,28,155,206,46.9,69.7,69.8,39.3,5,18,486,1,17.1,75.6,4.3,20,4,0,12,21,28,5.8,3062,7.0
J'mar Smith,27005,QB,LA TECH,12,70.3,401,434,9.6,2.62,7,15,3.3,56.7,246,0,167,12.8,490,36,140,208,58.2,70.7,72.7,49.2,3,9,513,0,18.0,79.1,6.1,30,26,2,21,14,15,2.9,2878,6.6
David Blough,46508,QB,PURDUE,12,74.2,403,424,8.3,2.57,8,19,4.2,66.5,282,0,132,5.7,469,17,146,273,57.0,73.7,74.1,53.0,1,8,501,0,19.7,103.6,5.5,26,19,0,12,25,14,2.8,3486,8.2
Clayton Thorson,46501,QB,NWESTERN,12,72.0,382,420,8.7,2.78,10,13,2.9,60.0,252,0,138,8.4,464,23,134,256,63.0,71.2,68.7,65.6,5,12,490,0,21.7,77.9,6.5,30,13,3,20,14,14,2.9,2680,6.4
Jordan Ta'amu,60453,QB,OLE MISS,12,72.4,395,420,11.0,2.69,8,25,5.6,63.3,266,1,125,7.0,473,20,164,226,61.0,80.2,82.1,56.7,3,8,503,3,22.4,100.8,5.9,28,24,1,13,19,15,3.0,3912,9.3
Brett Rypien,46487,QB,BOISE ST,12,76.4,403,418,10.9,2.5,6,34,7.9,68.4,286,0,135,7.1,469,22,172,120,48.4,91.1,91.0,63.7,1,7,482,3,22.2,110.9,6.4,30,20,0,8,29,19,3.9,3580,8.6
