player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Jahsen Wint,42914,S,MARSHALL,11,0,2.8,80.0,90.2,17.5,14.0,0,0,0,0.0,214,65.4,64.3,83.2,53.8,62.7,63.7,0,9,0.0,0,0,0,84.2,4,74,82,0,1,5,0,21,34,0.3,5.3
Mason White,43872,CB,TCU,3,0,7.0,66.7,100.0,12.0,8.0,0,0,0,0.0,305,63.3,64.7,77.0,,65.3,73.5,0,14,0.0,0,0,0,88.2,2,25,25,0,1,3,0,22,5,0.9,11.0
Chaz Ah You,51989,LB,BYU,2,1,6.3,100.0,87.0,6.3,6.3,0,0,0,0.0,128,40.5,41.9,76.2,56.4,54.8,37.6,0,20,0.0,0,0,0,118.8,3,20,23,0,1,3,0,47,28,2.5,15.7
Xavier Peters,52819,ED,FAU,6,1,,,2.8,,,0,0,0,,165,61.1,59.0,80.9,58.1,57.9,78.4,0,,0.0,0,0,0,0.0,0,2,71,1,0,0,0,0,0,0.0,
Cole Pearce,52970,LB,BALL ST,12,2,3.6,81.6,85.5,8.8,7.2,0,0,2,4.1,117,48.6,60.8,6.8,75.1,67.7,55.2,1,32,18.9,7,2,3,104.1,40,370,433,14,28,49,2,380,264,1.1,9.5
Deshawn Pace,53549,S,CINCINNATI,11,5,9.6,59.0,86.6,11.8,7.0,0,0,3,7.7,138,71.4,70.4,60.2,67.5,67.8,78.5,1,22,4.2,1,3,1,100.3,23,290,335,6,18,39,4,239,88,0.9,10.4
Eric Phillips,53572,ED,CINCINNATI,12,0,,,0.4,,,0,0,0,,138,57.3,63.5,39.8,67.0,61.3,53.3,0,,0.0,0,0,2,0.0,0,1,234,3,1,0,0,0,0,0.0,
Jaheim Thomas,54193,LB,ARKANSAS,12,4,4.7,81.0,78.9,11.9,9.6,0,1,1,4.8,111,52.4,69.0,49.3,81.6,71.7,62.3,0,29,21.7,5,1,2,133.1,17,206,261,12,14,21,2,175,113,0.9,10.3
Jordan Strachan,55198,ED,S CAROLINA,12,2,-0.3,66.7,6.4,9.0,6.0,1,0,1,33.3,289,63.7,55.4,34.9,63.7,47.9,44.0,0,8,28.6,2,1,3,74.3,2,18,280,7,3,3,0,12,11,0.7,6.0
Zachary Ford,55353,S,TOLEDO,12,4,10.3,58.1,94.5,11.1,6.4,0,1,2,3.2,316,60.9,59.1,30.8,68.8,54.0,58.8,0,28,12.9,4,2,2,89.1,36,427,452,5,23,62,3,335,170,0.8,9.3
Korey Hernandez,55796,CB,E MICHIGAN,11,0,11.8,53.8,99.0,13.6,7.3,0,1,0,0.0,160,49.9,55.0,0.0,60.0,85.1,48.6,0,15,37.5,3,0,2,68.4,7,103,104,0,5,13,0,67,28,0.7,9.6
Deangelo Gibbs,55917,CB,S CAROLINA,1,0,,,100.0,,,0,0,0,,289,61.2,67.6,68.8,,60.0,,0,,,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0.0,
Myles Jones,56220,CB,DUKE,4,0,15.2,46.7,100.0,17.1,8.0,0,1,3,20.0,154,89.5,87.2,80.7,,64.2,58.4,2,16,16.7,1,2,0,44.4,7,124,124,1,5,15,1,75,30,0.6,10.7
John Davis,56230,CB,N TEXAS,9,1,12.5,72.2,98.2,12.2,8.8,0,0,2,11.1,251,64.8,61.9,83.9,56.3,50.6,48.6,1,40,23.1,3,1,0,125.9,13,167,170,1,9,18,2,215,67,1.4,16.5
Taijh Alston,56348,ED,COLORADO,10,0,,,0.6,,,0,0,0,,143,62.8,66.6,58.9,68.4,62.5,48.8,0,,33.3,1,0,1,0.0,0,1,180,4,2,0,0,0,0,0.0,
JB Brown,57701,ED,UMASS,12,0,,,0.5,,,0,0,0,,216,52.7,53.4,2.4,62.8,54.2,55.2,0,,66.7,2,0,5,0.0,0,1,203,2,1,0,0,0,0,0.0,
Bryson Jackson,57738,S,BAYLOR,12,3,8.6,75.0,70.9,7.2,5.4,0,0,2,12.5,118,43.0,49.4,89.9,63.3,52.2,33.5,0,49,50.0,5,1,0,115.4,12,90,127,1,2,16,0,195,142,2.3,16.3
Jerry Roberts,57759,LB,UMASS,10,0,8.4,62.5,87.3,31.2,19.5,0,0,1,12.5,216,61.0,54.4,85.0,63.3,50.1,35.5,0,30,50.0,4,1,0,144.3,5,172,197,2,4,8,1,97,49,0.6,19.4
Isaac Ukwu,57888,ED,OLE MISS,12,2,1.8,100.0,22.2,14.8,14.8,0,0,0,0.0,226,71.9,74.7,52.3,79.7,64.8,68.3,0,9,10.0,1,0,2,85.4,4,61,275,9,7,4,0,18,11,0.3,4.5
Malik Robinson,58044,LB,HOUSTON,12,7,5.3,96.9,91.2,10.9,10.6,0,0,1,3.1,182,33.4,42.0,57.0,66.2,48.6,69.4,1,35,6.5,2,1,2,114.6,31,352,386,5,22,32,1,388,219,1.1,12.5
Monty Montgomery,58203,LB,OLE MISS,10,1,6.4,72.7,75.9,9.6,7.0,0,0,0,0.0,226,29.3,35.8,5.7,59.0,50.8,29.1,0,35,14.3,1,0,1,109.3,8,82,108,1,5,11,0,123,79,1.6,15.4
Londyn Craft,60689,LB,E MICHIGAN,6,2,4.5,100.0,97.0,9.8,9.8,0,0,0,0.0,160,77.0,77.3,73.7,59.0,74.7,83.1,0,23,0.0,0,0,0,92.4,6,64,66,3,6,6,0,37,10,0.6,6.2
Takulve Williams,61346,S,W KENTUCKY,8,2,5.0,50.0,81.7,27.0,13.5,0,0,0,0.0,346,60.9,55.8,86.3,53.0,49.4,64.5,1,15,25.0,4,0,1,25.0,5,143,175,0,10,10,0,50,18,0.4,10.0
Eddie Heckard,63024,CB,BYU,12,6,8.6,66.3,97.1,7.5,5.0,2,2,7,8.8,128,64.7,69.0,90.7,72.5,78.4,63.8,5,72,18.6,8,3,5,84.0,53,428,441,13,29,80,5,613,376,1.5,11.6
Jeremiah Harris,63043,S,JVILLE ST,12,3,7.1,52.0,99.7,29.2,15.2,0,0,2,8.0,196,78.6,81.2,88.7,59.6,82.5,74.6,2,38,14.3,4,2,2,33.6,13,393,394,4,21,25,0,129,71,0.3,9.9
Kam Butler,63872,ED,VIRGINIA,4,0,3.0,66.7,15.4,9.0,6.0,0,0,0,0.0,335,63.4,69.7,17.4,74.3,66.2,61.8,0,15,20.0,1,0,2,81.3,2,18,117,4,4,3,0,17,18,0.9,8.5
Will Whitson,64470,ED,COAST CAR,12,2,,,1.3,,,0,0,0,,141,56.6,68.4,65.2,62.6,72.7,66.0,0,,42.9,3,0,1,0.0,0,3,225,4,2,0,0,0,0,0.0,
Robi Stuart,65032,DI,C MICHIGAN,6,0,,,0.9,,,0,0,0,,134,60.6,56.0,85.3,60.8,51.6,78.0,0,,,0,0,0,0.0,0,1,107,2,0,0,0,0,0,0.0,
Josh Minkins,66051,S,LOUISVILLE,7,2,11.0,100.0,100.0,15.9,15.9,1,0,0,0.0,210,56.1,54.2,81.4,,49.4,64.4,0,33,22.2,2,0,1,158.3,7,121,121,2,5,7,1,99,30,0.9,14.1
Jeremiah Wood,66274,S,OHIO,7,3,4.7,66.7,85.0,8.1,5.4,2,1,2,9.5,259,55.6,66.3,16.8,87.3,79.6,75.9,0,58,10.0,1,2,2,113.0,14,119,140,1,6,21,1,199,139,1.8,14.2
Markel Perry,66793,ED,SM HOUSTON,10,0,5.0,100.0,9.3,7.3,7.3,0,0,0,0.0,281,59.9,70.0,87.3,67.6,68.7,71.0,0,12,12.5,1,0,0,101.4,3,24,258,6,7,3,0,25,10,1.1,8.3
Blake Antzoulatos,70424,LB,CAL,6,0,6.2,63.6,88.3,7.1,4.5,0,0,0,0.0,130,44.7,38.7,80.1,52.9,38.4,50.2,1,53,20.0,1,0,0,89.6,7,53,60,2,4,11,1,111,90,2.2,15.9
Korey Foreman,70831,ED,USC,3,0,,,6.7,,,0,0,0,,326,60.0,79.0,76.4,78.6,65.4,,0,,,0,0,0,0.0,0,1,15,0,0,0,0,0,0,0.0,
Tuasivi Nomura,70879,ED,FRESNO ST,7,0,6.7,33.3,21.7,18.0,6.0,0,0,1,33.3,169,54.0,61.6,84.6,55.5,68.2,75.7,0,28,33.3,1,1,0,68.8,1,20,92,3,2,3,0,28,29,1.6,28.0
Jayden Williams,70895,CB,MIAMI OH,1,0,21.6,50.0,100.0,4.8,2.4,0,0,1,12.5,221,47.2,49.9,75.4,,66.1,81.7,0,34,0.0,0,1,0,80.7,4,19,19,0,5,8,0,71,4,3.7,17.8
Tate Romney,70946,LB,ARIZONA ST,12,4,5.6,81.3,83.8,10.8,8.8,0,0,4,12.5,110,46.5,43.1,83.1,58.0,36.7,51.6,0,28,15.6,5,4,0,96.7,26,295,352,7,23,32,0,231,131,0.8,8.9
Tarik Luckett,71171,CB,N TEXAS,4,0,19.0,33.3,100.0,12.0,4.0,0,0,1,16.7,251,62.2,63.7,76.0,,66.1,74.2,0,36,,0,1,0,96.5,2,25,25,0,0,6,1,39,2,1.6,19.5
Keyon Ware-Hudson,71322,DI,OREGON,12,0,,,2.4,,,0,0,0,,264,60.6,73.8,81.1,66.0,75.6,55.8,0,,33.3,1,0,0,0.0,0,3,123,3,2,0,0,0,0,0.0,
Domani Jackson,71370,CB,USC,11,3,13.4,64.5,100.0,17.1,11.0,1,1,6,19.4,326,60.0,60.7,15.9,,69.1,61.5,0,72,23.1,6,2,5,129.4,20,363,363,2,17,31,2,411,215,1.2,20.6
William Nimmo Jr.,71391,S,UCLA,12,3,3.2,52.9,96.8,22.4,11.9,0,0,0,0.0,324,70.6,67.5,84.2,55.5,58.7,59.2,0,30,11.8,2,0,0,60.7,9,213,220,3,12,17,0,59,59,0.3,6.6
Akili Arnold,71406,S,OREGON ST,11,3,9.6,52.9,94.4,20.7,10.9,0,2,4,11.8,265,87.1,80.3,87.1,59.6,60.8,56.8,2,27,14.7,5,3,0,50.0,18,391,414,9,26,34,1,151,87,0.4,8.4
Easton Mascarenas-Arnold,71410,LB,OREGON ST,12,6,2.1,87.8,83.9,10.1,8.9,0,0,0,0.0,265,52.4,63.0,59.2,59.4,74.7,57.3,2,35,17.0,9,0,1,86.8,36,381,454,21,38,41,1,318,269,0.9,8.8
Aaron Smith,71596,S,NEW MEXICO,7,0,11.8,69.2,100.0,7.6,5.2,0,0,2,15.4,241,52.9,50.1,82.1,,46.0,39.2,0,75,16.7,1,2,0,150.3,9,76,76,1,5,13,3,159,73,2.3,17.7
Quentin Moten,71681,CB,UNLV,7,0,18.3,50.0,98.9,14.2,7.1,0,0,1,8.3,325,61.8,64.2,79.6,59.1,73.7,57.5,1,43,28.6,2,0,0,100.7,6,90,91,1,5,12,2,156,41,1.8,26.0
Jaxen Turner,71728,S,UNLV,12,5,14.0,52.4,100.0,16.7,8.7,0,0,1,2.4,325,62.1,62.0,88.5,,59.7,57.0,4,60,15.4,4,0,1,67.8,22,384,384,2,17,42,3,381,182,1.0,17.3
Jake Hall,72023,LB,UTEP,8,0,,,64.3,,,0,0,0,,330,62.3,64.4,81.1,58.1,64.1,67.4,0,,,0,0,0,0.0,0,9,14,0,0,0,0,0,0,0.0,
DJ Harvey,72089,CB,S JOSE ST,11,1,12.8,58.8,98.6,10.2,6.0,1,1,6,17.6,285,64.5,64.3,0.0,53.6,74.3,71.7,0,39,12.0,3,4,3,118.8,20,211,214,6,21,34,4,232,61,1.1,11.6
Na'im Rodman,72145,DI,WASH STATE,12,0,,,1.3,,,0,0,0,,341,59.6,59.9,41.4,59.2,62.2,65.3,0,,0.0,0,0,2,0.0,0,3,233,0,3,0,0,0,0,0.0,
Spencer Lytle,72168,ED,STANFORD,2,0,,,54.5,,,0,0,0,,300,72.3,73.2,76.4,57.0,67.2,73.0,0,,0.0,0,0,0,0.0,0,6,11,1,1,0,0,0,0,0.0,
Ralen Goforth,72169,LB,WASHINGTON,12,3,1.5,86.7,85.3,14.1,12.2,0,1,3,20.0,340,72.0,61.1,0.0,55.0,52.8,47.1,0,53,22.2,4,3,3,125.3,13,198,232,5,11,15,1,131,123,0.7,10.1
Kamren Fabiculanan,72332,S,WASHINGTON,8,3,2.9,66.7,98.3,16.4,10.9,0,1,2,13.3,340,81.2,75.8,13.1,62.5,61.2,74.9,2,13,7.7,1,2,1,56.4,10,175,178,3,9,15,1,58,40,0.4,5.8
Raider Damuni,72338,S,BYU,8,0,17.8,75.0,98.0,15.3,11.5,0,0,1,25.0,128,58.8,57.8,76.5,59.1,56.6,53.2,0,30,0.0,0,0,0,154.2,3,49,50,1,5,4,1,48,2,1.0,16.0
Logan Pili,72354,LB,UTAH ST,9,1,6.1,77.8,88.3,11.4,8.9,0,0,1,11.1,329,40.8,38.3,80.7,59.1,40.3,54.4,0,32,30.0,3,1,0,145.8,7,83,94,2,6,9,1,91,48,1.1,13.0
Justin Flowe,72388,LB,ARIZONA,10,4,6.2,71.4,82.2,10.5,7.5,0,0,0,0.0,109,55.5,52.9,0.0,45.1,60.6,58.8,0,51,25.0,5,0,2,104.2,10,111,135,6,11,14,0,143,80,1.4,14.3
Zahran Manley,72425,CB,STANFORD,12,1,13.0,58.1,99.8,13.0,7.5,2,0,6,9.7,300,67.0,62.6,86.4,60.0,33.5,31.9,2,61,21.6,8,5,6,99.0,36,486,487,8,28,62,5,522,233,1.1,14.5
Noa Pola-Gates,72535,S,NEW MEXICO,9,4,14.4,78.6,98.7,11.9,9.4,0,0,0,0.0,241,29.6,30.1,0.0,57.5,51.6,56.5,0,65,18.8,3,0,9,158.3,11,149,151,3,9,14,3,252,88,1.9,22.9
Lavario Wiley,72769,CB,C MICHIGAN,12,0,15.3,54.5,98.1,16.2,8.8,0,0,0,0.0,134,55.8,58.1,83.3,54.3,69.3,81.0,0,42,8.3,1,0,1,91.9,12,205,209,0,11,22,0,234,42,1.2,19.5
