player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Marco Notarainni,73389,LB,BOISE ST,8,2,3.3,80.0,77.2,10.7,8.6,0,0,0,0.0,120,57.5,66.8,84.3,72.3,68.5,61.8,0,21,27.8,5,0,0,91.9,16,176,228,8,11,20,0,121,102,0.7,7.6
Rickie Davis Jr.,73500,S,W KENTUCKY,1,0,10.5,100.0,60.0,3.0,3.0,0,0,0,0.0,346,37.4,33.8,74.5,55.7,44.6,37.1,0,18,0.0,0,0,0,158.3,2,6,10,0,1,2,1,32,16,5.3,16.0
Jordan Monroe,73619,LB,N ILLINOIS,1,0,0.0,100.0,100.0,4.0,4.0,0,0,0,0.0,254,44.5,42.5,64.7,,60.0,74.3,0,18,0.0,0,0,0,118.8,1,4,4,0,1,1,0,18,18,4.5,18.0
Gio De Leon,73658,LB,BUFFALO,2,0,5.0,100.0,83.3,5.0,5.0,0,0,0,0.0,126,65.5,60.5,69.9,59.5,54.9,36.1,0,20,0.0,0,0,0,118.8,1,5,6,0,1,1,0,20,15,4.0,20.0
Jalen Williams,73776,CB,FRESNO ST,7,0,8.5,100.0,86.2,12.0,12.0,0,0,0,0.0,169,49.3,53.4,80.5,55.8,68.9,28.1,0,31,50.0,2,0,0,118.8,2,25,29,0,2,2,0,40,23,1.7,20.0
McKel Broussard,73850,S,UTEP,4,2,9.7,66.7,92.8,24.8,16.5,0,0,0,0.0,330,52.4,56.5,81.8,53.3,64.7,53.9,0,16,35.7,5,0,0,78.5,4,103,111,2,7,6,0,30,19,0.3,7.5
Zakhari Spears,73852,S,UCONN,1,0,-3.0,100.0,100.0,1.0,1.0,0,0,0,0.0,146,49.6,52.0,70.6,,61.5,75.3,0,5,0.0,0,0,0,87.5,1,1,1,0,1,1,0,5,8,5.0,5.0
Evan Williams,73864,S,OREGON,11,5,8.0,79.3,96.1,16.0,12.7,0,0,2,6.9,264,78.1,77.3,87.0,84.3,64.5,67.7,0,40,9.5,4,2,1,94.7,23,399,415,19,33,29,0,195,56,0.5,8.5
Max Williams,73985,S,USC,9,2,6.5,50.0,98.4,17.6,8.8,1,0,2,10.0,326,51.5,58.8,83.2,67.1,70.6,48.8,1,77,38.5,5,2,2,76.3,10,187,190,2,6,20,1,176,96,1.0,17.6
Taariq Al-Uqdah,74119,LB,WASH STATE,11,4,0.6,70.0,85.8,27.9,19.5,0,0,1,10.0,341,83.3,75.3,44.0,74.0,62.8,65.7,1,17,9.5,2,1,1,47.1,7,211,246,5,15,10,0,63,64,0.3,9.0
Ryan Quintanar,74152,LB,TCU,1,0,,,100.0,,,0,0,0,,305,60.0,47.5,66.1,,60.0,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Justin Sinclair,74258,S,HAWAII,10,0,10.6,50.0,100.0,23.0,11.5,0,0,0,0.0,180,66.1,60.9,80.7,,52.1,29.1,0,15,45.5,5,0,0,69.2,5,125,125,0,6,10,0,61,24,0.5,12.2
Zion Branch,74395,S,USC,7,2,8.0,50.0,95.6,31.0,15.5,0,0,0,0.0,326,60.3,71.9,81.4,55.1,89.9,85.6,0,14,0.0,0,0,0,104.2,2,65,68,0,2,4,1,20,6,0.3,10.0
Treven Ma'ae,74498,DI,BAYLOR,12,0,,,2.2,,,0,0,0,,118,57.4,59.3,83.3,53.3,63.6,78.9,0,,,0,0,0,0.0,0,3,139,0,0,0,0,0,0,0.0,
Jowon Briggs,74867,DI,CINCINNATI,12,0,,,0.4,,,0,0,0,,138,61.1,65.8,83.5,61.8,66.2,69.6,0,,0.0,0,0,0,0.0,0,1,235,3,1,0,0,0,0,0.0,
Jaylen Johnson,75046,S,MEMPHIS,4,0,11.0,100.0,96.3,23.0,23.0,0,0,0,0.0,218,50.2,53.0,76.4,60.0,63.7,77.4,0,14,,0,0,0,118.8,1,26,27,0,0,1,0,14,3,0.6,14.0
Silas Walters,75263,S,MIAMI OH,12,1,9.6,80.0,96.3,34.8,27.8,0,0,0,0.0,221,64.4,70.3,86.5,74.9,79.4,58.9,0,20,33.3,3,0,0,109.2,4,155,161,1,5,5,0,51,29,0.4,12.8
Rome Weber,75728,CB,W KENTUCKY,11,2,14.6,48.6,97.1,13.9,6.8,0,4,7,18.9,346,66.8,66.7,85.8,53.1,65.5,61.3,0,75,25.0,4,6,0,104.2,18,264,272,5,10,37,3,307,84,1.2,17.1
Solomon Byrd,75742,ED,USC,12,1,-7.0,100.0,5.9,18.0,18.0,0,0,0,0.0,326,63.4,82.3,57.3,82.6,77.4,70.3,0,-2,30.0,3,0,2,79.2,1,19,321,9,6,1,0,-2,5,-0.1,-2.0
Jonah Kahahawai-Welch,75759,ED,HAWAII,12,1,3.6,80.0,16.7,9.5,7.6,0,0,0,0.0,180,53.7,54.9,71.3,62.1,50.2,37.0,0,8,36.4,4,0,1,84.2,4,40,240,5,6,5,0,21,11,0.6,5.3
Jonah Laulu,75763,DI,OKLAHOMA,12,0,,,1.2,,,0,0,0,,261,59.6,68.8,82.6,69.3,63.9,29.5,0,,0.0,0,0,0,0.0,0,2,170,2,1,0,0,0,0,0.0,
Chuck Hicks,75816,LB,MISSOURI,12,4,6.1,86.7,82.7,15.2,13.2,0,0,1,6.7,229,53.1,62.0,83.2,67.9,65.4,45.2,0,38,28.6,4,1,0,158.3,13,206,249,4,6,15,2,209,142,1.1,16.1
Devin Richardson,75820,LB,WASH STATE,12,3,4.5,75.0,87.5,15.2,11.4,0,0,0,0.0,341,58.4,57.0,82.5,74.6,50.3,68.9,0,33,12.0,3,0,0,92.1,15,245,280,8,19,20,0,132,75,0.6,8.8
Joe Norwood,75905,CB,MEMPHIS,2,0,-1.0,100.0,100.0,9.0,9.0,0,0,0,0.0,218,71.2,71.8,71.5,,60.0,73.5,0,-1,0.0,0,0,0,79.2,1,10,10,1,1,1,0,-1,0,-0.1,-1.0
Tywan Francis,75909,S,TEMPLE,11,2,12.3,76.7,99.1,13.7,10.5,0,1,4,13.3,306,79.9,79.0,87.7,57.6,73.4,78.1,2,44,5.4,2,4,0,102.2,23,334,337,10,33,30,2,301,105,1.0,13.1
Bam Booker,76122,ED,BOWL GREEN,6,0,,,8.8,,,0,0,0,,122,61.1,63.1,79.9,58.3,65.2,75.2,0,,,0,0,0,0.0,0,3,34,0,0,0,0,0,0,0.0,
Damaje Yancey,76532,CB,TROY,7,0,12.4,60.0,100.0,8.3,5.0,0,0,0,0.0,318,53.6,57.0,75.9,,71.1,37.7,0,38,50.0,1,0,0,101.3,3,27,27,0,1,5,0,59,12,2.4,19.7
Montre Miller,76568,CB,W VIRGINIA,1,0,6.0,100.0,100.0,7.0,7.0,0,0,0,0.0,343,57.0,50.4,69.3,,48.9,73.5,0,9,0.0,0,0,0,104.2,1,7,7,0,1,1,0,9,3,1.3,9.0
Jeremiah Lewis,76571,S,DUKE,10,4,11.4,76.9,95.3,23.4,18.0,0,1,3,23.1,154,76.6,77.0,84.8,52.6,76.4,63.0,1,22,27.8,5,3,0,102.7,10,242,254,3,9,13,1,134,67,0.6,13.4
Elijah Clark,76579,CB,TEMPLE,6,0,19.7,85.7,98.2,9.0,7.7,0,0,0,0.0,306,54.9,55.7,80.2,58.3,58.4,83.0,0,54,0.0,0,0,0,158.3,6,56,57,0,2,7,3,133,39,2.5,22.2
Taj Ward,76583,S,CINCINNATI,12,5,9.9,77.8,98.6,15.7,12.2,0,0,3,11.1,138,57.8,59.7,86.4,67.9,60.9,63.7,0,75,7.4,2,2,0,145.5,21,351,356,6,20,27,3,271,112,0.8,12.9
Capone Blue,76604,CB,KENT STATE,11,3,11.6,62.7,98.6,8.6,5.4,0,1,8,15.7,201,65.0,61.7,11.0,54.0,55.6,63.4,0,47,11.1,3,6,3,94.2,32,287,291,8,21,51,1,407,131,1.5,12.7
Tyler Potts,76616,CB,BALL ST,10,2,12.6,44.4,99.4,19.9,8.8,0,1,5,13.9,117,83.0,83.3,84.6,92.8,65.9,65.6,2,26,5.9,1,5,0,53.2,16,332,334,3,14,36,2,162,88,0.5,10.1
Justin Birchette,76620,CB,OHIO,11,0,13.0,43.6,98.6,16.0,7.0,2,0,9,23.1,259,81.4,77.8,41.8,53.0,63.6,77.7,0,52,10.5,2,5,3,58.6,17,282,286,8,17,39,0,189,82,0.7,11.1
Marquis Williams,76627,CB,PITTSBURGH,12,1,12.7,56.0,100.0,16.3,9.1,0,0,3,12.0,268,60.8,62.0,85.2,,64.2,54.4,1,38,17.6,3,3,6,67.3,14,244,244,4,13,25,0,211,69,0.9,15.1
Judson Tallandier II,76630,CB,AKRON,12,1,14.1,47.9,98.1,12.3,5.9,1,0,6,12.5,102,61.2,60.4,84.5,52.0,57.0,42.3,0,42,20.7,6,2,5,82.2,23,308,314,5,22,48,2,303,51,1.1,13.2
Elijah Jones,76632,CB,BOSTON COL,9,1,15.7,32.5,98.5,18.5,6.0,0,0,8,20.0,121,89.8,86.9,86.6,46.4,71.7,69.6,5,44,12.5,2,6,2,18.1,13,257,261,3,13,40,1,194,58,0.8,14.9
Jason Maitre,76634,CB,WISCONSIN,12,4,7.9,70.6,99.3,10.8,7.6,0,0,5,9.8,349,61.9,61.8,53.2,50.6,64.0,44.7,1,35,21.2,7,3,3,85.6,36,398,401,5,22,51,0,402,192,1.0,11.2
DeAndre Hollins,76647,CB,CHARLOTTE,12,1,9.1,55.2,95.5,12.3,6.8,0,0,2,6.9,136,72.4,70.4,87.6,58.1,63.3,77.7,0,20,7.1,1,2,0,85.0,16,214,224,4,12,29,2,97,50,0.5,6.1
Damel Hickman,76651,CB,GA SOUTHRN,11,3,11.7,61.5,98.8,9.8,6.0,0,0,7,13.5,174,71.7,74.0,85.2,68.6,77.9,71.1,1,42,11.1,4,5,2,92.1,32,330,334,5,29,52,2,423,178,1.3,13.2
Jaylon King,76652,S,GA TECH,12,3,10.4,50.0,96.0,17.7,8.8,0,0,7,21.9,176,79.9,74.7,87.4,64.0,64.2,69.6,4,25,18.2,6,5,0,47.9,16,310,323,2,24,32,2,176,51,0.6,11.0
Zamari Walton,76654,CB,OLE MISS,12,6,12.9,43.2,99.4,17.1,7.4,1,1,9,20.5,226,72.7,76.1,85.2,51.9,89.7,61.6,2,34,20.6,7,3,2,56.3,19,337,339,5,21,44,2,232,70,0.7,12.2
Coen King,76659,CB,VIRGINIA,10,2,12.0,68.8,97.0,10.0,6.9,0,2,6,12.5,335,70.2,73.5,84.7,63.1,81.5,67.2,0,58,14.0,6,3,1,127.3,33,351,362,10,35,48,5,382,113,1.2,11.6
Armani Chatman,76663,CB,N CAROLINA,11,1,12.8,55.3,100.0,12.1,6.7,0,0,3,7.9,245,71.2,70.0,84.3,,60.1,63.6,2,25,15.0,3,3,1,71.2,21,272,272,1,16,38,2,250,92,1.0,11.9
Nasir Peoples,76665,S,VA TECH,8,2,3.5,69.2,100.0,14.6,10.1,0,1,1,7.7,337,67.7,66.8,83.6,,63.3,60.2,0,15,0.0,0,1,0,99.2,9,138,138,3,5,13,1,43,20,0.3,4.8
Gilbert Frierson,76668,LB,LOUISVILLE,12,0,6.1,58.3,82.2,11.4,6.7,0,0,1,8.3,210,54.5,50.6,79.3,58.3,36.7,23.7,1,36,71.4,5,1,0,51.0,7,83,101,2,2,12,0,101,80,1.3,14.4
Al Blades Jr.,76669,CB,DUKE,12,2,14.0,54.7,96.6,12.9,7.1,0,0,10,18.9,154,65.5,63.7,21.8,56.6,62.3,49.2,0,43,11.5,3,6,4,78.2,29,393,407,2,21,53,0,388,83,1.0,13.4
Jalon Ferrell,76698,S,UMASS,9,0,41.0,50.0,96.4,49.0,24.5,0,1,0,0.0,216,45.7,49.9,80.3,56.7,58.0,56.8,0,52,0.0,0,0,0,95.8,1,54,56,0,4,2,0,52,4,1.1,52.0
Keyshawn Paul,76700,CB,LA TECH,9,1,15.7,43.8,97.3,9.9,4.3,0,1,4,25.0,208,64.2,61.7,80.7,59.0,50.8,69.9,0,31,0.0,0,3,0,67.7,7,73,75,1,7,16,0,112,37,1.6,16.0
Torey Richardson,76711,CB,UTEP,12,2,10.2,57.8,98.1,11.7,6.8,0,0,4,8.9,330,65.9,61.1,14.5,63.3,44.7,55.8,1,34,12.0,3,2,6,81.1,26,318,324,4,20,45,2,273,137,0.9,10.5
Nolan Johnson,76714,CB,DOMINION,10,1,11.0,59.2,99.0,10.0,5.9,1,0,7,14.3,263,63.5,65.1,43.0,71.7,70.9,51.8,1,43,21.7,5,5,5,82.6,29,305,308,3,17,49,2,307,115,1.1,10.6
Wayne Jones,76744,S,CHARLOTTE,9,1,9.1,90.9,94.4,17.3,15.7,0,1,1,9.1,136,54.6,60.8,84.3,55.0,70.1,57.8,0,27,35.7,5,0,0,150.6,10,187,198,0,8,11,3,117,41,0.7,11.7
Lance Robinson,76747,CB,TULANE,12,3,10.2,62.1,99.5,10.6,6.6,1,1,6,10.3,319,80.5,80.1,85.4,57.7,66.9,51.5,4,40,16.2,6,5,2,70.8,36,403,405,12,28,58,3,397,132,1.0,11.0
