player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Brandon Rusnak,51088,CB,MICHIGAN,12,2,13.2,48.8,99.3,13.6,6.6,0,1,3,7.0,222,71.6,73.2,85.4,56.5,75.3,86.0,3,41,4.3,1,2,2,68.7,21,305,307,9,20,43,3,327,128,1.1,15.6
Jeremy Peters,51090,CB,LIBERTY,12,3,13.0,53.4,99.8,8.7,4.7,0,2,15,17.0,206,70.9,73.5,52.1,60.0,81.7,65.1,1,79,17.1,7,15,3,93.2,47,422,423,12,31,88,6,605,185,1.5,12.9
Ocie Rose,51106,S,FAU,11,0,5.8,66.7,99.1,18.2,12.1,0,0,0,0.0,165,76.0,68.3,82.2,59.5,54.2,30.9,2,38,33.3,3,0,1,60.6,6,114,115,2,6,9,0,92,49,0.8,15.3
Terez Hall,51107,LB,MISSOURI,12,2,6.4,66.7,78.3,17.0,11.3,0,0,1,3.7,229,53.0,64.7,32.3,69.5,71.0,76.7,1,74,0.0,0,1,5,87.4,18,328,419,10,11,27,0,293,191,1.0,16.3
DeAndre Pierce,51111,S,BOISE ST,4,0,13.7,55.6,99.1,21.6,12.0,0,0,1,11.1,120,66.3,64.1,82.3,77.0,51.9,49.8,0,22,25.0,3,0,0,66.4,5,112,113,5,9,9,0,39,2,0.4,7.8
Marcelino McCrary-Ball,51112,CB,INDIANA,12,5,4.8,66.7,84.5,9.6,6.4,0,1,5,11.9,190,80.0,76.6,58.7,68.0,66.9,71.1,1,28,12.9,4,3,2,84.0,28,290,343,14,22,42,2,206,144,0.8,7.4
Manny Bunch,51113,S,TULSA,12,1,15.2,61.3,100.0,17.7,10.8,0,1,5,16.1,320,62.9,63.1,89.1,,61.1,80.0,0,32,8.0,2,5,2,111.5,19,358,358,1,22,31,2,274,61,0.8,14.4
Tim Hough,51118,CB,ARIZONA,7,1,13.2,59.3,100.0,11.7,6.9,1,0,1,3.7,109,57.7,59.2,31.8,,67.4,49.4,0,25,13.6,3,1,6,105.0,16,198,198,6,18,27,2,187,42,1.0,11.7
Dennis Briggs,51128,S,PITTSBURGH,12,3,11.2,57.7,95.6,20.1,11.6,0,0,1,3.8,268,58.7,61.3,86.1,59.1,65.3,63.0,0,37,11.1,3,1,1,86.9,15,323,338,5,21,26,1,149,35,0.5,9.9
Trey Turner III,51131,S,CAL,4,1,4.9,66.7,98.2,8.5,5.7,0,0,0,0.0,130,65.2,69.1,81.5,72.4,70.9,65.7,0,13,25.0,2,0,1,76.6,6,54,55,5,5,9,0,41,34,0.8,6.8
Kylan Nelson,51135,S,OHIO,12,5,11.1,60.4,97.7,12.6,7.6,0,1,8,16.7,259,77.3,76.0,50.8,58.9,71.0,61.9,2,86,17.5,7,5,1,112.2,29,387,396,9,28,48,5,489,260,1.3,16.9
Cole Sterns,51151,S,SMU,9,0,14.9,50.0,99.2,23.6,11.8,0,0,1,10.0,287,67.6,64.2,4.1,60.0,59.6,62.9,0,17,10.0,1,1,1,92.5,5,125,126,3,9,10,1,37,31,0.3,7.4
Jay Bowdry,51155,CB,GA SOUTHRN,12,2,4.8,63.6,86.8,9.7,6.2,0,1,3,9.1,174,65.0,66.2,48.0,62.2,69.0,57.9,0,20,23.8,5,3,1,73.5,21,210,242,7,14,33,0,146,145,0.7,7.0
Evan Tyler,51163,S,BOISE ST,8,0,6.3,66.7,100.0,19.0,12.7,0,0,1,33.3,120,76.0,77.8,80.3,77.6,68.6,85.5,0,6,0.0,0,1,0,72.9,2,38,38,2,5,3,0,11,9,0.3,5.5
Rion Davis,51170,LB,LIBERTY,3,0,9.2,66.7,100.0,4.8,3.2,0,0,0,0.0,206,43.4,43.5,76.8,,47.3,56.6,1,23,0.0,0,0,0,50.7,4,19,19,0,2,6,0,47,25,2.5,11.8
Taylor Rapp,51172,S,WASHINGTON,12,4,7.7,41.2,92.1,55.4,22.8,0,2,4,23.5,340,89.5,89.4,56.3,68.6,79.0,91.2,2,11,4.3,1,4,1,9.3,7,408,443,6,18,17,0,48,31,0.1,6.9
Drell Greene,51180,S,W KENTUCKY,12,4,10.9,59.3,99.0,24.6,14.6,0,2,4,14.8,346,69.1,70.2,17.7,66.4,73.2,60.0,1,45,18.5,5,3,2,85.6,16,413,417,4,18,27,1,241,123,0.6,15.1
P.J. Locke,51189,CB,TEXAS,12,4,6.6,78.7,88.4,8.8,6.9,0,1,2,3.3,311,56.1,59.0,90.8,57.0,65.0,54.4,0,77,19.4,7,2,0,118.9,48,441,499,12,25,61,3,524,282,1.2,10.9
Mike Reynolds,51192,CB,ARMY,10,2,15.0,39.3,99.4,13.8,5.4,0,0,9,32.1,114,80.4,79.3,82.9,60.0,66.4,57.0,3,21,7.1,1,7,1,11.6,11,159,160,3,11,28,0,110,17,0.7,10.0
Nick Ingram,51197,S,LA MONROE,10,2,5.1,84.6,91.6,15.8,13.4,0,0,1,7.7,209,70.9,69.6,84.2,57.9,67.2,64.7,0,25,7.7,1,1,0,101.0,11,185,202,3,10,13,0,107,49,0.6,9.7
Koa Farmer,51199,LB,PENN STATE,12,3,2.2,72.2,87.9,16.5,11.9,0,0,0,0.0,266,65.8,59.7,84.8,58.4,53.1,76.6,0,35,18.8,3,0,0,137.3,13,226,257,2,10,18,2,164,145,0.8,12.6
Josh Teachey,51200,CB,TOLEDO,12,4,10.9,51.6,96.6,10.2,5.3,0,0,16,25.8,316,72.3,73.9,15.2,69.0,79.7,66.9,0,44,15.6,5,13,3,85.2,32,344,356,9,23,62,2,437,185,1.3,13.7
Brian Bell,51204,LB,AKRON,10,1,3.8,69.8,93.1,8.1,5.6,0,0,4,9.3,102,63.8,61.0,17.3,61.9,60.2,68.3,0,18,16.0,4,4,2,89.9,30,256,275,15,20,43,1,226,164,0.9,7.5
Kyle Gibson,51209,S,UCF,11,1,11.7,66.7,93.5,28.8,19.2,0,3,3,20.0,323,59.2,61.2,88.1,72.7,59.1,42.9,1,46,23.8,5,3,0,95.7,10,302,323,1,15,15,1,157,42,0.5,15.7
Khalid McGee,51219,LB,USF,11,2,4.6,76.2,86.8,16.9,12.9,0,0,1,4.8,327,68.9,61.0,2.6,53.2,59.6,65.8,0,20,15.4,4,1,3,109.6,16,282,325,9,20,21,1,142,81,0.5,8.9
