player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Darell Garretson,46397,QB,OREGON ST,6,64.7,136,146,9.1,2.42,2,3,2.0,50.0,73,0,45,17.0,169,15,40,265,41.3,51.3,44.5,69.4,2,4,176,0,26.7,56.8,7.1,12,9,0,6,3,6,3.4,617,4.2
Caleb Evans,41292,QB,LA MONROE,6,64.1,131,146,9.4,2.38,4,5,3.2,52.7,77,0,52,8.3,158,7,45,209,45.8,56.5,60.0,49.5,0,6,169,1,11.5,62.1,3.8,6,6,1,10,4,7,4.1,844,5.8
Austin Appleby,12316,QB,FLORIDA,7,72.4,134,146,8.5,2.71,4,7,4.7,59.6,87,0,52,10.3,163,10,42,163,51.5,52.0,58.3,40.9,1,2,167,4,25.0,87.2,8.0,13,4,0,7,6,6,3.6,964,6.6
Dakota Prukop,46543,QB,OREGON,6,75.4,134,143,10.7,2.7,2,10,6.7,65.7,94,0,66,6.9,168,7,55,264,78.4,82.1,80.2,67.4,4,2,175,0,16.7,105.1,6.5,11,12,0,3,8,8,4.6,1214,8.5
Todd Porter,26264,QB,E MICHIGAN,5,65.9,138,142,9.7,2.41,2,5,3.4,61.3,87,0,49,4.4,158,4,54,160,66.5,66.9,70.7,53.8,0,9,163,1,6.1,74.5,1.9,3,13,0,2,7,9,5.5,1069,7.5
Zack Mahoney,46457,QB,SYRACUSE,8,66.1,127,135,9.7,2.4,1,4,2.8,60.7,82,0,60,2.4,162,2,45,304,56.6,55.6,58.6,54.6,0,4,171,3,25.0,89.2,9.3,15,10,0,7,8,4,2.3,943,7.0
Shea Patterson,40688,QB,OLE MISS,3,69.3,127,134,11.6,3.13,3,5,3.6,54.5,73,0,45,17.0,165,15,51,226,62.5,70.1,64.2,73.5,0,3,170,1,22.2,80.3,6.1,10,21,0,4,6,5,2.9,875,6.5
Justin Thomas,12344,QB,GA TECH,11,66.7,120,134,16.8,3.01,1,9,6.2,53.0,71,0,62,11.3,162,9,55,176,22.4,64.5,79.9,41.3,0,2,174,2,21.0,105.0,8.0,13,13,1,12,8,8,4.6,1451,10.8
Keller Chryst,46472,QB,STANFORD,10,72.4,116,131,11.1,2.8,6,8,5.7,56.5,74,0,51,11.9,152,10,37,300,64.4,71.9,72.8,61.4,6,2,162,3,19.6,92.1,6.6,10,11,1,2,9,3,1.9,831,6.3
John Urzua,33288,QB,MIDDLE TN,5,68.3,123,131,8.3,2.0,6,9,6.7,59.5,78,0,31,7.1,137,6,39,224,58.4,61.6,61.7,50.6,1,8,141,0,19.4,72.4,4.4,6,0,0,1,8,7,5.0,810,6.2
Collin Hill,40245,QB,COLO STATE,5,69.7,122,130,11.4,2.55,1,5,3.8,57.7,75,0,39,11.8,146,10,48,144,60.7,63.6,62.0,61.2,3,2,147,2,23.1,99.4,6.2,9,7,0,4,8,6,4.1,1096,8.4
Gunner Kiel,24708,QB,CINCINNATI,5,61.5,122,128,9.4,2.34,3,3,2.3,52.3,67,0,30,10.7,132,8,38,138,44.5,47.6,50.6,36.7,0,2,136,0,10.0,81.2,2.3,3,1,0,3,6,6,4.4,809,6.3
Ryan Graham,26338,QB,N ILLINOIS,7,66.1,124,127,8.8,2.3,1,3,2.3,56.7,72,0,27,12.2,134,10,38,254,66.9,51.1,52.4,52.8,0,6,139,0,3.7,73.2,0.7,1,6,0,2,8,6,4.3,687,5.4
Billy Bahl,46531,QB,MIAMI OH,5,63.8,116,127,12.2,2.84,3,6,4.5,54.3,69,0,50,6.8,161,5,50,221,35.3,52.2,55.0,55.1,1,4,169,5,38.0,93.1,11.8,19,15,0,7,8,10,5.9,1154,9.1
Will Worth,46498,QB,NAVY,11,70.6,109,120,17.3,2.72,1,16,12.7,59.2,71,0,59,7.8,144,6,56,237,60.8,75.7,89.6,58.1,1,3,150,1,25.4,110.5,10.4,15,9,6,3,8,7,4.7,1363,11.4
Steven Montez,46465,QB,COLORADO,6,72.7,110,120,8.4,2.97,2,5,4.0,61.7,74,0,39,7.5,139,6,49,143,65.8,81.1,74.3,75.7,1,4,144,1,17.9,97.8,5.0,7,12,0,7,9,7,4.9,957,8.0
James Knapke,46506,QB,BOWL GREEN,6,59.5,116,119,9.2,2.29,0,3,2.4,49.6,59,0,29,14.5,128,10,26,122,42.8,43.2,42.7,59.6,0,9,133,0,27.6,42.6,6.3,8,1,0,3,3,9,6.8,636,5.3
Brandon McIlwain,28485,QB,S CAROLINA,7,60.2,108,118,9.1,2.68,4,6,4.9,52.5,62,0,48,4.6,135,3,34,289,68.7,43.8,40.6,56.7,1,1,139,0,18.8,69.2,6.7,9,8,0,5,2,7,5.0,600,5.1
Tra'Von Chapman,46559,QB,AKRON,8,56.0,109,118,14.5,2.61,5,6,4.8,45.8,54,0,26,11.5,135,7,33,102,52.1,47.6,44.7,61.2,0,5,143,2,26.9,61.4,5.2,7,10,0,4,5,14,9.8,700,5.9
Ryan Willis,60594,QB,KANSAS,6,71.0,107,115,8.1,2.32,2,7,5.8,61.7,71,0,40,6.6,148,5,32,198,27.1,51.3,55.1,47.7,3,7,154,1,40.0,66.0,10.8,16,14,0,3,3,12,7.8,803,7.0
Bart Houston,12349,QB,WISCONSIN,9,72.2,108,108,10.1,2.73,0,4,3.6,63.9,69,0,34,11.5,123,9,57,349,60.9,70.5,68.5,63.2,0,3,126,0,20.6,94.4,5.7,7,8,0,0,5,7,5.6,912,8.4
Nate Romine,46524,QB,AIR FORCE,8,47.6,103,108,14.2,2.79,1,11,9.5,41.7,45,0,45,8.2,122,4,39,101,42.9,57.6,65.3,45.8,3,4,132,2,22.2,98.8,8.2,10,4,0,1,10,5,3.8,1206,11.2
Johnny Stanton,46441,QB,UNLV,4,59.6,104,107,10.4,2.19,1,4,3.6,46.7,50,0,35,19.4,116,12,35,325,50.3,64.1,58.6,67.2,1,6,119,0,8.6,62.7,2.6,3,5,0,1,6,4,3.4,676,6.3
Kevin Ellison,46555,QB,GA SOUTHRN,11,74.2,97,106,10.5,2.39,3,5,4.5,62.3,66,0,38,8.3,115,6,39,174,62.6,60.6,52.9,63.2,4,3,121,1,13.2,101.6,4.3,5,4,0,2,8,9,7.4,871,8.2
Zack Greenlee,46587,QB,UTEP,6,58.2,98,104,11.9,2.61,1,5,4.5,51.0,53,0,27,7.0,109,4,35,330,73.3,63.0,62.1,58.9,1,3,116,0,14.8,76.2,3.7,4,0,0,4,5,5,4.3,691,6.6
Jake Hubenak,32201,QB,TEXAS A&M,6,69.9,93,102,11.3,2.57,2,5,4.7,57.8,59,0,35,9.2,124,6,39,312,49.2,66.0,69.9,49.7,1,2,128,0,25.7,97.7,7.3,9,10,0,6,6,6,4.7,881,8.6
Kurt Palandech,32214,QB,UNLV,6,60.0,90,98,11.3,2.65,2,3,2.9,50.0,49,0,39,9.3,113,5,34,325,51.4,69.6,59.4,74.9,1,2,118,0,12.8,79.8,4.4,5,10,1,4,5,5,4.2,647,6.6
Austin Apodaca,46439,QB,NEW MEXICO,8,63.4,93,98,12.7,2.4,2,3,2.9,55.1,54,0,33,8.5,106,5,32,241,52.2,61.7,57.0,65.0,0,2,111,1,18.2,84.5,5.7,6,2,1,2,5,5,4.5,659,6.7
Jeff George Jr.,46564,QB,ILLINOIS,4,47.1,87,94,12.6,2.65,1,7,6.9,40.4,38,0,48,7.3,104,3,21,187,25.1,27.9,29.3,26.6,4,5,112,0,6.3,48.6,2.9,3,4,0,2,4,11,9.8,470,5.0
Max Browne,46632,QB,USC,7,72.9,85,93,7.8,2.52,3,2,2.1,62.4,58,0,36,6.5,102,4,23,326,54.2,61.2,60.1,58.6,0,2,104,0,16.7,75.0,5.9,6,2,0,5,2,7,6.7,507,5.5
