player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Elijah Gilliam,73621,HB,FRESNO ST,12,92,24,5,26.3,99,0,376,0,2,24,256,70.2,11,28,169,0,32,86.7,69.0,82.9,,27.2,63.0,71.7,52.8,24,0,120,11,97,108,0,0,14,103,5,376,256,2.78,4.1,1.24,59
Jaylen Raynor,172203,QB,ARK STATE,10,69,22,6,34.6,167,0,346,0,0,11,122,28.2,14,27,113,4,19,54.7,74.5,87.6,66.7,,,76.0,60.0,62,1,0,0,0,303,137,23,0,69,5,483,228,2.48,5.3,,29
Bill Jackson,144448,HB,TULSA,12,92,25,7,34.5,144,0,417,1,1,25,310,88.5,11,20,320,1,28,72.0,79.3,82.4,,65.6,67.9,78.5,62.0,38,0,45,7,52,110,0,0,10,99,1,417,310,3.37,4.5,0.87,64
Cade Klubnik,156253,QB,CLEMSON,12,65,17,3,16.3,57,0,177,1,0,14,136,45.1,11,28,140,11,18,51.0,63.7,89.7,63.0,,30.7,59.6,60.1,22,4,0,0,1,400,172,27,1,65,4,349,254,2.76,3.8,0.0,22
Keyone Jenkins,170403,QB,FIU,11,63,11,0,0.0,0,0,99,0,0,7,80,14.1,9,26,166,15,15,30.4,60.7,47.8,58.2,,,64.9,60.7,23,5,0,0,0,263,140,28,0,63,6,239,162,1.78,2.6,,11
Deshaun Fenwick,83759,HB,OREGON ST,12,91,16,6,30.0,152,0,506,0,2,16,335,66.9,13,27,265,2,30,57.1,74.8,84.9,56.6,29.1,67.3,77.3,52.8,38,0,71,8,105,126,0,0,11,99,5,506,335,3.68,5.6,0.68,59
Vann Schield,157212,HB,COLO STATE,9,90,15,3,23.0,89,0,387,0,1,15,233,41.0,6,15,144,2,24,57.0,64.1,83.0,,26.7,61.0,67.7,58.2,52,0,79,11,113,96,0,0,13,101,3,387,233,2.59,4.3,0.7,65
Henry Parrish Jr.,124144,HB,MIAMI FL,10,89,22,9,36.6,213,0,582,1,1,22,314,82.0,22,31,220,1,31,71.7,79.7,82.5,,73.7,50.9,84.3,59.8,38,0,30,10,110,96,0,0,13,99,6,582,314,3.53,6.5,0.27,58
Donerio Davenport,134974,HB,TEXAS ST,12,89,32,9,41.0,190,0,463,2,4,32,328,132.7,14,30,314,2,31,56.4,72.6,82.9,,47.1,51.5,77.9,65.3,43,0,102,11,111,103,0,0,14,100,2,463,328,3.69,5.2,0.92,54
Mike Washington,145672,HB,BUFFALO,11,89,16,3,22.8,81,1,356,1,0,16,241,42.5,11,21,126,0,27,86.6,62.1,82.7,,28.7,47.0,68.3,51.8,49,1,35,13,116,126,0,0,21,102,2,356,241,2.71,4.0,0.3,62
Anwar Lewis,163961,HB,JVILLE ST,8,89,27,6,32.7,146,0,447,0,4,27,321,112.9,13,24,196,0,27,86.6,70.3,28.6,,71.0,61.0,72.3,54.1,40,1,92,10,85,150,0,0,13,99,3,447,321,3.61,5.0,1.08,62
Emmett Johnson,156473,HB,NEBRASKA,9,89,20,4,24.1,99,0,411,1,1,20,256,62.9,11,25,238,0,45,86.4,65.7,84.8,,30.2,52.3,72.2,47.5,29,0,46,7,114,132,0,0,10,96,2,411,256,2.88,4.6,0.4,44
Jaxson Dart,146409,QB,OLE MISS,12,64,11,5,27.8,153,0,330,0,0,5,209,25.5,19,33,226,5,38,63.7,89.9,71.9,83.8,,,80.3,60.5,68,3,0,0,0,404,221,25,0,64,7,551,306,3.44,6.2,,7
Nakia Watson,83807,HB,WASH STATE,12,89,10,3,15.6,50,1,321,1,5,10,191,28.5,6,25,341,0,37,86.4,65.0,46.8,,24.8,62.9,73.6,34.1,17,2,230,24,223,127,0,0,32,113,4,321,191,2.15,3.6,1.03,51
Brady Cook,124199,QB,MISSOURI,12,69,6,6,28.6,98,0,167,0,0,3,75,4.7,14,26,229,5,29,64.6,83.0,81.1,79.7,,,70.9,60.0,25,3,0,0,0,384,176,18,0,69,8,343,121,1.39,3.9,,15
Jaiden Credle,158060,HB,MIDDLE TN,12,87,19,4,33.2,138,0,416,4,3,19,205,46.3,11,24,224,0,32,86.3,66.3,37.9,,56.6,48.2,76.1,50.5,71,1,150,25,161,116,0,0,30,112,2,416,205,2.36,4.8,0.93,54
Dylan Sampson,163772,HB,TENNESSEE,11,87,24,5,32.8,155,0,472,0,7,24,274,93.9,14,30,307,1,56,71.8,81.8,82.8,,49.1,88.9,80.0,50.6,44,0,175,17,96,108,0,0,21,104,7,472,274,3.15,5.4,1.82,30
Ashton Daniels,157259,QB,STANFORD,12,52,16,2,7.6,33,0,200,0,0,9,117,38.9,10,23,300,5,31,56.9,65.9,77.0,61.2,53.4,55.8,70.7,60.1,22,4,0,0,1,179,234,35,0,52,3,434,257,2.95,5.0,0.0,3
Cartevious Norton,157582,HB,IOWA STATE,11,87,35,6,42.0,144,0,343,2,0,35,291,130.1,13,19,193,0,43,86.3,72.3,82.6,,64.4,40.3,80.1,67.3,49,0,20,3,112,100,0,0,7,90,3,343,291,3.34,3.9,0.18,44
Braydon Bennett,122318,HB,COAST CAR,11,86,18,6,27.9,107,0,384,0,7,18,255,69.9,14,25,141,3,34,42.2,68.7,84.4,,70.9,64.9,70.0,48.1,21,0,193,20,93,128,0,0,24,106,5,384,255,2.97,4.5,2.08,47
Juma Otoviano,75903,HB,RICE,11,86,19,2,14.5,45,0,311,2,1,19,259,61.5,6,17,275,3,23,60.4,65.7,82.6,,27.8,44.9,72.1,68.2,24,0,97,12,110,108,0,0,17,98,4,311,259,3.01,3.6,0.88,62
Gavin Williams,129488,HB,N ILLINOIS,12,85,21,8,44.3,201,0,454,3,2,21,270,68.3,12,16,254,0,40,86.1,69.3,85.5,,56.2,53.4,77.6,39.8,53,0,141,22,179,120,0,0,29,107,3,454,270,3.18,5.3,0.79,45
Chip Trayanum,131631,HB,OHIO STATE,12,85,17,3,20.1,75,0,373,1,3,17,270,67.6,10,20,260,0,33,86.0,73.8,83.5,,55.9,60.2,76.8,53.8,40,1,53,9,89,126,0,0,14,94,3,373,270,3.18,4.4,0.6,50
Kobe Lewis,77800,HB,FAU,11,85,21,7,54.9,226,0,412,0,6,21,291,89.7,12,20,165,0,34,71.7,78.7,83.8,,66.0,83.1,75.1,68.8,75,0,100,18,114,105,0,0,25,103,3,412,291,3.42,4.8,0.88,51
Dillon Gabriel,86272,QB,OKLAHOMA,12,63,16,3,23.5,107,0,294,0,0,12,123,37.2,13,33,261,5,30,65.0,91.9,89.5,90.6,,56.7,78.2,60.2,44,2,0,0,1,382,162,22,0,63,12,456,193,2.27,5.4,0.0,15
