player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Dennis Wilburn,157314,C,TEXAS TECH,12,100.0,0,315,52.5,49.8,54.6,2,32,615,100.0,100.0,96.9,6,36,2,1017,1017,0,0,1017,636,636,0,0,381,0
Caleb Rogers,123157,T,TEXAS TECH,12,100.0,1,315,57.0,64.3,51.6,2,29,615,100.0,100.0,95.2,5,45,14,1017,0,0,1012,1017,636,636,0,2,381,0
Vincent Murphy,99046,G,W KENTUCKY,13,100.0,0,346,59.2,74.6,53.5,2,11,592,100.0,100.0,98.9,4,13,0,958,0,0,0,958,621,621,958,0,337,0
Gunner Britton,81937,T,W KENTUCKY,13,100.0,0,346,80.1,86.5,71.0,2,3,592,100.0,100.0,99.1,4,8,3,958,0,0,516,958,621,621,0,439,337,1
Rusty Staats,81941,C,W KENTUCKY,13,100.0,1,346,71.9,81.5,64.6,1,7,592,100.0,100.0,99.2,1,9,1,958,958,0,0,958,621,621,0,0,337,0
Caleb Etienne,144643,T,OKLA STATE,12,100.0,0,262,49.4,62.9,38.1,6,17,550,100.0,100.0,97.7,3,24,1,945,0,0,945,945,584,584,0,0,361,0
Quantavious Leslie,123456,G,W KENTUCKY,13,100.0,1,346,63.8,82.9,57.4,2,10,583,100.0,100.0,98.8,8,13,1,940,0,940,0,940,609,609,0,0,331,0
Khalil Crowder,78240,G,GA SOUTHRN,12,100.0,1,174,57.4,70.8,52.2,3,9,582,100.0,100.0,99.0,4,12,0,934,0,0,0,934,611,611,931,2,323,0
Logan Langemeier,108708,C,GA SOUTHRN,12,100.0,0,174,66.9,69.3,68.7,6,11,582,100.0,100.0,98.5,9,17,0,933,933,0,0,933,611,611,0,0,322,0
Jack Hasz,145666,C,BUFFALO,12,100.0,0,126,60.3,68.6,56.3,1,7,482,100.0,100.0,98.8,3,10,2,930,905,0,0,930,506,506,25,0,424,0
Nick Broeker,99084,G,OLE MISS,12,100.0,1,226,66.3,70.3,63.8,6,12,391,100.0,100.0,97.7,3,18,0,929,0,907,20,929,424,424,0,0,505,0
Austin Hopp,65055,T,HAWAII,13,99.9,2,180,56.0,51.3,60.7,11,33,534,99.8,99.8,95.3,8,47,3,927,0,0,0,928,559,560,0,924,368,4
Ilm Manning,75852,T,HAWAII,13,99.9,1,180,68.4,71.2,72.1,5,14,530,99.8,99.8,97.3,15,24,5,919,0,0,919,920,555,556,0,1,364,0
Gabe Wallace,77535,G,BUFFALO,12,100.0,0,126,53.9,56.4,50.8,5,12,474,100.0,100.0,97.8,1,19,2,919,0,919,0,919,498,498,0,0,421,0
Ethan Crowe,130330,C,BALL ST,12,100.0,0,117,62.5,73.7,61.0,2,7,499,100.0,100.0,99.1,8,9,0,919,919,0,0,919,528,528,0,0,391,0
