player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Keelan Marion,147370,WR,UCONN,12,34.9,1,146,59.5,,43.6,0,0,0,0.0,0.0,,3,0,0,212,0,0,0,608,0,396,0,0,212,0
Johnny Lumpkin,83994,TE,LA LAFAYET,12,65.6,0,207,61.4,51.1,59.4,0,2,31,22.5,22.4,93.5,1,3,1,212,0,0,5,323,32,143,0,1,180,260
Reggie Roberson Jr.,61815,WR,SMU,12,36.4,1,287,69.7,,64.5,0,0,0,0.0,0.0,,4,0,0,212,0,0,0,582,0,370,0,0,212,0
Jaxon Smith-Njigba,129758,WR,OHIO STATE,12,36.5,1,260,90.2,,63.4,0,0,0,0.0,0.0,,2,0,0,212,0,0,0,581,0,369,0,0,212,2
Travis Vokolek,61004,TE,NEBRASKA,9,62.0,0,238,63.3,66.4,65.2,1,1,33,21.3,21.2,97.0,0,2,0,212,0,0,0,342,35,165,0,0,177,267
Brandon Bowling,42151,WR,UTAH ST,12,41.2,0,329,74.8,,47.6,0,0,0,0.0,0.0,,0,0,0,212,0,0,0,515,0,303,0,0,212,5
Jordan Wilson,42112,TE,FLORIDA ST,12,61.3,0,167,57.3,59.5,57.8,1,2,33,20.9,22.1,92.4,2,4,1,212,0,0,9,346,38,172,0,3,174,211
Jarrin Pierce,100875,WR,MIDDLE TN,12,36.2,0,224,61.2,,55.5,0,0,0,0.0,0.0,,5,0,0,212,0,0,0,586,0,374,0,0,212,0
Zeriah Beason,131729,WR,OREGON ST,12,54.5,0,265,62.0,,59.4,0,0,0,0.0,0.0,,0,0,0,212,0,0,0,389,0,177,0,0,212,0
Jaquarii Roberson,55454,WR,WAKE,12,35.9,0,339,82.5,,48.7,0,0,0,0.0,0.0,,1,0,0,211,0,0,0,588,0,375,0,0,211,0
Andrew Bench,100353,TE,BOWL GREEN,12,65.9,0,122,40.9,33.3,48.2,3,3,53,33.5,33.5,88.7,0,9,3,211,0,0,0,320,55,164,0,0,156,281
Matt Carrick,57101,G,MICH STATE,7,100.0,0,223,82.4,66.0,85.6,0,1,93,100.0,100.0,99.5,0,1,0,211,0,0,0,211,95,95,210,0,116,0
Kris Hutson,131713,WR,OREGON,12,45.6,0,264,57.8,,57.8,0,0,0,0.0,0.0,,4,0,0,210,0,0,0,461,0,250,0,0,210,0
Je'Quan Burton,87729,WR,FAU,12,45.0,0,165,62.2,,54.5,0,0,0,0.0,0.0,,2,0,0,210,0,0,0,467,0,256,0,0,210,0
Rakim Jarrett,129519,WR,MARYLAND,12,34.5,0,215,72.4,63.3,59.1,0,0,1,0.3,0.3,100.0,0,0,0,210,0,0,0,608,1,395,0,0,209,5
Richie Leonard IV,124386,G,FLORIDA,7,100.0,0,163,56.0,43.9,57.1,2,0,102,100.0,100.0,99.0,0,2,0,210,64,0,0,210,106,106,146,0,104,0
Jalen Preston,84435,WR,TEXAS A&M,11,44.4,0,312,58.5,,56.5,0,0,0,0.0,0.0,,1,0,0,209,0,0,0,471,0,262,0,0,209,0
