player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Jairan Parker,57992,S,COAST CAR,11,0,0,141,59.3,1,7,32,14.7,3.1,1,0,15.6,1,218,32,9,0,64.9,0,2,8,13.3,12.5,1,12.5,0,60,8,2
Pepe Tanuvasa,58020,LB,BYU,12,0,0,128,63.6,2,4,24,17.1,12.5,3,0,12.5,0,152,26,6,0,60.3,1,3,10,30.3,10.0,1,20.0,0,33,10,4
Guy Thomas,58021,ED,COLORADO,11,1,0,143,54.8,2,8,156,93.2,5.1,8,2,3.8,1,176,164,11,0,57.5,0,3,49,94.5,6.1,3,5.1,1,55,52,4
Trevor Brohard,58042,LB,NEW MEX ST,12,0,0,242,62.5,4,4,57,20.5,5.3,3,1,7.0,0,298,61,8,0,64.1,2,2,19,24.1,10.5,2,10.5,0,87,21,4
Malik Robinson,58044,LB,HOUSTON,2,0,0,182,68.8,0,0,6,7.3,0.0,0,1,16.7,1,96,7,1,0,54.9,0,0,4,10.8,0.0,0,0.0,0,37,4,0
Isaiah Moore,58049,LB,NC STATE,12,0,0,248,67.2,5,20,95,28.4,8.4,8,0,16.3,3,359,102,28,0,64.2,2,8,37,58.8,10.8,4,16.2,1,68,40,11
Michael Kennedy,58072,ED,N ILLINOIS,12,0,0,254,71.9,2,10,145,83.7,12.4,18,2,8.3,6,190,159,18,0,69.9,2,9,74,84.4,16.2,12,12.8,4,96,81,15
Chris Kolarevic,58077,LB,NEBRASKA,11,0,0,238,57.0,0,3,12,8.5,8.3,1,0,12.5,0,142,12,3,0,53.0,0,2,5,12.5,0.0,0,20.0,0,40,5,2
Isaac Slade-Matautia,58108,LB,SMU,11,2,0,287,73.4,2,12,63,23.4,12.7,8,1,15.9,3,291,68,17,1,76.9,2,7,30,31.5,16.7,5,18.3,1,111,35,10
Cam Bright,58115,LB,WASHINGTON,12,0,0,340,58.8,1,7,28,10.8,14.3,4,0,25.0,3,269,29,11,0,56.3,0,6,12,13.0,25.0,3,33.3,1,100,13,7
CJ Onyechi,58123,ED,COLO STATE,12,0,0,144,89.3,14,33,282,95.8,18.1,51,3,10.1,5,307,294,52,0,90.6,10,15,109,96.6,26.6,29,15.1,4,117,113,29
Caden McDonald,58128,ED,S DIEGO ST,12,1,0,284,64.1,2,14,177,54.4,10.2,18,1,6.2,3,338,184,19,1,70.3,1,7,65,51.5,20.0,13,9.2,2,134,69,10
Seyddrick Lakalaka,58130,LB,S DIEGO ST,12,1,0,284,58.5,1,11,87,37.1,5.7,5,0,8.0,1,248,92,13,0,60.7,0,4,42,45.5,9.5,4,7.1,1,101,46,5
Sherrod Greene,58141,LB,S CAROLINA,11,1,0,289,63.4,2,6,53,17.0,7.5,4,0,11.3,2,324,55,10,0,67.2,1,4,25,24.3,12.0,3,18.0,2,111,27,7
Santrell Latham,58158,LB,SO MISS,12,2,0,296,90.6,2,7,50,17.6,20.0,10,0,19.0,5,290,51,14,1,91.9,0,4,24,20.2,29.2,7,29.2,5,119,24,9
London Harris,58192,LB,TEXAS ST,12,1,0,314,73.5,2,10,69,16.8,10.1,7,2,11.6,2,435,73,14,0,87.9,1,6,23,21.4,17.4,4,19.6,1,112,24,8
Carlton Martial,58199,LB,TROY,10,0,0,318,64.6,2,2,24,7.4,4.2,1,1,12.5,1,323,24,5,0,59.4,0,0,9,11.3,0.0,0,11.1,1,80,9,1
Monty Montgomery,58203,LB,LOUISVILLE,12,1,1,210,76.3,0,13,86,30.7,12.8,11,4,13.4,5,309,95,18,0,75.7,0,7,41,46.5,19.5,8,15.9,3,101,47,10
Kristopher Moll,58205,LB,WASHINGTON,11,0,0,340,50.3,0,2,18,13.0,0.0,0,0,11.1,1,138,18,3,0,53.0,0,0,5,10.4,0.0,0,20.0,1,48,5,1
Hunter Echols,58237,ED,ARIZONA,12,1,0,109,77.5,7,21,247,77.1,14.2,35,6,7.3,4,341,263,32,0,63.5,2,8,69,89.4,18.8,13,8.7,1,85,76,11
Dimitri Moore,58261,ED,TEXAS TECH,8,0,0,315,54.1,0,1,26,46.0,7.7,2,0,1.9,0,63,29,1,0,51.2,0,1,10,48.0,10.0,1,5.0,0,25,12,1
Michael Owusu,58262,ED,VANDERBILT,12,0,0,333,55.5,1,10,170,80.8,5.3,9,4,4.4,2,219,177,13,0,58.9,0,6,53,91.7,11.3,6,9.4,2,60,55,8
Jaylen Griffin,58270,ED,VA TECH,11,0,1,337,64.6,2,13,225,97.2,9.3,21,3,4.2,2,247,240,17,0,60.3,1,9,109,97.5,9.2,10,6.4,2,120,117,12
Juwuan Jones,58290,ED,W KENTUCKY,13,0,0,346,53.5,1,13,332,98.9,3.6,12,1,3.0,3,348,344,17,0,60.7,1,7,85,100.0,7.1,6,7.1,2,89,89,10
Corvin Moment,58294,LB,W MICHIGAN,12,1,0,347,69.7,0,28,223,56.4,13.9,31,1,8.5,5,422,238,33,0,72.4,0,22,100,73.0,22.0,22,14.0,3,148,108,25
Izayah Green-May,58302,ED,N ILLINOIS,12,2,0,254,66.8,2,14,267,87.4,7.1,19,1,4.1,3,326,285,19,1,66.5,1,8,114,88.9,7.0,8,6.6,3,144,128,12
Steven Williams,60511,LB,DOMINION,8,1,0,263,68.0,2,3,24,18.4,8.3,2,1,14.6,1,147,27,6,0,68.1,1,1,5,18.2,20.0,1,20.0,0,33,6,2
Tyreque Jones,60638,S,BOISE ST,11,0,0,120,47.7,0,1,8,3.0,0.0,0,1,6.3,0,269,8,1,0,59.7,0,0,1,1.5,0.0,0,0.0,0,66,1,0
Daniel Scott,60640,S,CAL,12,0,0,130,61.4,2,2,7,1.6,28.6,2,0,28.6,0,499,8,4,0,71.9,2,1,5,3.1,40.0,2,30.0,0,163,5,3
Lummie Young IV,60642,S,TULANE,12,0,0,319,72.0,1,0,4,1.6,25.0,1,0,12.5,0,310,5,1,0,60.0,0,0,1,0.9,0.0,0,0.0,0,111,1,0
Marquis Waters,60646,S,TEXAS TECH,12,0,0,315,73.2,2,11,80,20.4,8.8,7,3,9.4,1,432,88,14,0,84.2,2,6,29,20.4,17.2,5,17.2,1,162,33,9
Kenderick Duncan,60658,S,LOUISVILLE,8,0,0,210,70.4,2,0,5,4.4,0.0,0,2,20.0,0,158,7,2,0,59.4,0,0,0,2.4,,0,,0,41,1,0
Sam Kidd,60663,S,JAMES MAD,7,0,0,197,64.3,1,2,8,3.4,12.5,1,1,18.8,0,233,8,3,0,65.0,0,0,3,4.8,33.3,1,0.0,0,63,3,0
Jaiden Cole,60673,S,LA TECH,9,0,0,208,74.7,0,4,28,9.9,7.1,2,1,21.4,4,294,29,8,0,72.8,0,0,10,9.2,10.0,1,30.0,3,109,10,3
