player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Trent Williams,5529,T,SF,15,100.0,2,28,89.7,79.8,89.9,3,15,411,100.0,100.0,97.8,9,18,0,809,0,0,809,809,438,438,0,0,371,0
Jonah Jackson,37070,G,DET,12,100.0,2,11,59.7,62.7,58.2,8,14,408,100.0,100.0,96.8,5,24,2,798,0,798,0,798,432,432,0,0,366,0
Cody Whitehair,10690,G,CHI,14,100.0,0,6,45.0,55.0,42.4,4,15,438,100.0,100.0,97.1,2,22,3,787,87,666,0,787,454,454,34,0,333,0
Ryan Ramczyk,11787,T,NO,12,100.0,1,20,73.5,73.6,67.3,2,19,442,100.0,100.0,96.7,4,25,4,785,0,0,0,785,458,458,0,784,327,1
Morgan Moses,8701,T,BLT,14,100.0,2,3,77.6,75.9,77.2,0,19,417,100.0,100.0,96.5,6,24,5,778,0,0,11,778,450,450,0,767,328,0
Dillon Radunz,30551,T,TEN,13,100.0,0,31,67.2,59.7,78.7,5,26,427,100.0,100.0,95.2,11,36,5,774,0,166,85,774,455,455,19,504,319,0
Sidy Sow,59675,G,NE,13,100.0,0,19,64.4,46.3,71.3,4,18,470,100.0,100.0,96.6,2,27,5,772,0,0,8,772,486,486,764,0,286,0
Daniel Brunskill,34807,G,TEN,14,100.0,0,31,67.1,67.7,62.5,5,19,414,100.0,100.0,96.6,1,26,2,768,0,0,0,768,449,449,768,0,319,0
Broderick Jones,124025,T,PIT,14,100.0,0,25,60.7,52.1,62.9,5,20,378,100.0,100.0,95.6,2,29,4,766,0,0,122,766,405,405,0,635,361,9
Justin Pugh,7800,G,NYG,12,100.0,1,21,41.6,37.8,47.3,2,27,446,100.0,100.0,95.0,5,37,8,763,0,527,236,763,473,473,0,0,290,0
John Michael Schmitz Jr.,55238,C,NYG,13,100.0,1,21,41.4,26.9,51.3,2,23,456,100.0,100.0,96.2,4,30,5,755,755,0,0,755,484,484,0,0,271,0
Ezra Cleveland,41973,G,JAX,13,100.0,0,15,59.5,57.4,60.4,4,21,492,100.0,100.0,96.8,3,28,3,749,0,723,24,749,526,526,0,0,223,2
Donovan Smith,9467,T,KC,12,100.0,4,16,55.4,60.3,45.1,7,33,474,100.0,100.0,95.4,9,42,2,749,0,0,748,749,506,506,0,0,243,0
Dalton Risner,47008,G,MIN,12,100.0,1,18,57.1,67.4,50.0,11,19,457,100.0,100.0,96.7,3,30,0,745,0,745,0,745,485,485,0,0,260,0
Teven Jenkins,41534,G,CHI,12,100.0,0,6,72.6,68.6,71.7,3,11,378,100.0,100.0,97.4,4,17,3,731,0,455,0,731,397,397,276,0,334,0
Braxton Jones,60092,T,CHI,11,100.0,2,6,68.8,70.8,68.2,2,28,401,100.0,100.0,95.8,9,32,2,724,0,0,715,724,421,421,0,0,303,9
Ronnie Stanley,10640,T,BLT,13,100.0,0,3,64.9,72.4,62.5,5,30,404,100.0,100.0,94.7,10,39,4,721,0,0,704,721,431,431,0,0,290,16
Aaron Stinnie,28653,G,TB,12,100.0,0,30,56.6,51.4,60.7,2,25,412,100.0,100.0,96.2,4,29,2,717,0,716,0,717,442,442,0,0,275,1
Dawand Jones,101550,T,CLV,11,100.0,0,8,64.7,73.0,53.5,3,15,391,100.0,100.0,96.9,2,21,3,712,0,0,0,712,419,419,1,710,293,1
Kolton Miller,47013,T,LV,13,100.0,0,23,80.2,79.3,73.3,2,10,405,100.0,100.0,97.5,1,16,4,705,0,0,703,705,428,428,0,0,277,1
Will Clapp,39386,C,LAC,14,100.0,0,27,56.7,55.1,56.9,6,17,437,100.0,100.0,97.1,1,24,1,702,699,0,0,702,464,464,0,0,238,1
Blake Freeland,102844,T,IND,14,100.0,1,14,44.2,42.6,47.6,4,37,395,100.0,100.0,93.8,7,45,4,701,0,0,131,701,426,426,0,568,275,2
Michael Deiter,38554,C,HST,12,100.0,0,13,57.1,60.4,56.3,2,15,417,100.0,100.0,97.2,5,20,3,686,671,14,0,686,445,445,0,1,241,0
Nate Davis,46808,G,CHI,11,100.0,5,6,52.9,47.9,55.3,7,21,364,100.0,100.0,95.9,6,29,1,663,0,0,0,663,384,384,663,0,279,0
Walker Little,52287,T,JAX,12,100.0,0,15,58.8,62.6,53.8,3,21,415,100.0,100.0,96.6,7,26,2,659,0,132,521,659,439,439,0,0,220,6
Anthony Bradford,99103,G,SEA,12,100.0,1,29,51.7,38.9,58.5,5,22,394,100.0,100.0,96.3,4,28,1,659,0,0,0,659,419,419,659,0,240,0
Cam Jurgens,84014,G,PHI,11,100.0,0,24,63.0,55.0,62.9,2,20,366,100.0,100.0,97.0,0,22,0,654,4,0,0,654,383,383,650,0,271,0
Saahdiq Charles,59820,G,WAS,11,100.0,0,32,55.5,53.9,55.4,3,30,425,100.0,100.0,95.2,3,37,4,643,0,643,0,643,455,455,0,0,188,0
Nick Gates,29476,C,WAS,12,100.0,0,32,66.1,61.4,70.9,6,10,424,100.0,100.0,96.9,4,21,5,641,641,0,0,641,455,455,0,0,186,0
Geron Christian,46375,T,CLV,10,100.0,0,8,43.2,53.1,35.7,6,23,377,100.0,100.0,95.1,5,33,4,637,0,0,635,637,400,400,0,0,237,2
Lester Cotton,46085,G,MIA,11,100.0,1,17,46.4,57.2,45.4,3,14,347,100.0,100.0,96.7,5,20,3,616,0,472,0,616,362,362,144,0,254,0
Kendall Lamm,10017,T,MIA,13,100.0,0,17,64.3,67.1,55.3,1,15,343,100.0,100.0,96.5,0,20,4,613,0,0,520,613,357,357,0,93,256,0
Patrick Mekari,46219,T,BLT,16,100.0,0,3,69.5,62.6,70.1,3,12,295,100.0,100.0,95.8,2,20,5,580,9,0,356,580,316,316,0,187,264,27
Trent Brown,9677,T,NE,11,100.0,1,19,80.2,72.8,80.7,6,8,334,100.0,100.0,97.0,2,17,3,579,0,0,579,579,346,346,0,0,233,0
Andrew Thomas,59701,T,NYG,10,100.0,1,21,76.1,80.2,64.1,1,12,359,100.0,100.0,97.1,2,17,4,576,0,0,576,576,376,376,0,0,200,0
Braden Smith,46794,T,IND,10,100.0,2,14,83.3,71.0,90.1,2,12,308,100.0,100.0,97.7,7,14,0,575,0,0,0,575,329,329,0,573,246,2
Joe Noteboom,46249,T,LA,10,100.0,0,26,52.3,51.6,48.9,5,19,326,100.0,100.0,95.1,1,28,4,573,0,0,144,573,346,346,170,259,227,0
Jedrick Wills Jr.,58467,T,CLV,8,100.0,0,8,54.0,60.1,54.5,5,21,297,100.0,100.0,94.6,6,29,3,569,0,0,565,569,319,319,0,0,250,4
Cole Strange,22976,G,NE,10,100.0,0,19,64.6,57.7,66.2,3,16,327,100.0,100.0,96.2,2,22,3,564,0,564,0,564,340,340,0,0,224,0
