player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Mike Lofton,123751,C,USF,12,100.0,3,327,50.2,58.8,51.5,3,23,521,100.0,100.0,97.1,13,28,2,987,987,0,0,987,557,557,0,0,430,0
John Lanz,76563,C,TCU,12,100.0,0,305,64.4,71.5,62.9,3,9,547,100.0,100.0,98.7,7,13,1,925,925,0,0,925,565,565,0,0,360,0
Derek Bowman,123654,T,USF,12,100.0,0,327,56.2,53.2,57.6,3,22,492,100.0,100.0,95.6,4,34,9,915,0,0,0,915,525,525,72,841,390,2
Corey Gaynor,59844,C,N CAROLINA,12,100.0,1,245,65.2,75.4,62.6,0,7,508,100.0,100.0,98.9,7,9,2,912,912,0,0,912,542,542,0,0,370,0
Willis Patrick,134500,G,TCU,12,100.0,0,305,73.2,81.4,69.1,2,8,542,100.0,100.0,99.1,2,10,0,911,0,0,0,911,560,560,910,0,351,0
Chandler Strong,158365,C,GA SOUTHRN,12,100.0,0,174,64.9,69.0,63.8,3,10,582,100.0,100.0,98.7,7,14,1,910,910,0,0,910,614,614,0,0,296,0
Venly Tatafu,158830,T,UTSA,12,99.9,3,331,65.3,76.9,63.3,0,14,462,99.8,99.8,97.6,9,18,4,902,0,297,605,903,486,487,0,0,416,0
Spencer Rolland,108693,T,N CAROLINA,12,100.0,4,245,64.2,74.0,56.9,3,14,498,100.0,100.0,98.1,6,18,1,899,0,0,0,899,532,532,7,888,367,4
Joe Michalski,99426,C,OKLA STATE,12,100.0,0,262,65.4,76.2,60.9,2,4,500,100.0,100.0,99.4,6,6,0,899,899,0,0,899,525,525,0,0,374,0
Jacob Gideon,72705,C,W MICHIGAN,12,100.0,0,347,77.7,89.0,76.8,2,1,461,100.0,100.0,99.5,9,4,1,896,896,0,0,896,488,488,0,0,408,0
Brian Driscoll,100534,C,CAL,12,100.0,0,130,62.2,66.3,63.8,3,12,442,100.0,100.0,98.3,9,15,0,895,871,22,0,895,478,478,0,0,417,1
Luke Kandra,52487,G,CINCINNATI,12,100.0,1,138,81.8,75.9,82.1,1,11,428,100.0,100.0,97.7,1,16,4,895,6,1,0,895,451,451,888,0,444,0
Addison West,98272,G,W MICHIGAN,12,100.0,1,347,79.2,80.3,83.6,1,3,461,100.0,100.0,99.6,10,4,0,895,0,0,0,895,488,488,895,0,407,0
Ernesto Almaraz,90765,T,UTSA,12,100.0,1,331,57.2,63.0,54.6,3,20,459,100.0,100.0,97.1,5,25,2,895,165,0,0,895,483,483,0,730,412,0
Caleb Rogers,123157,T,TEXAS TECH,12,100.0,0,315,71.5,76.9,66.2,3,10,476,100.0,100.0,98.0,3,16,3,894,0,0,0,894,500,500,0,892,394,0
Rusty Staats,81941,C,TEXAS TECH,12,100.0,0,315,55.0,61.8,52.1,6,11,476,100.0,100.0,97.6,6,20,3,894,606,0,0,894,500,500,288,0,394,0
Monroe Mills,122977,T,TEXAS TECH,12,100.0,1,315,68.3,79.4,60.3,3,10,476,100.0,100.0,98.2,6,15,2,894,0,0,892,894,500,500,0,0,394,0
Jett Duncan,121886,T,N TEXAS,12,100.0,2,251,53.0,50.9,56.4,5,26,517,100.0,100.0,95.6,6,38,7,893,0,0,0,893,547,547,111,781,346,1
Eliki Tanuvasa,79663,C,HAWAII,13,100.0,0,180,59.6,70.0,52.8,5,19,606,100.0,100.0,97.7,5,26,2,891,891,0,0,891,636,636,0,0,255,0
Levi Rogers,131781,C,STANFORD,12,100.0,1,300,64.3,75.6,58.9,3,12,520,100.0,100.0,98.4,5,16,1,890,890,0,0,890,564,564,0,0,326,0
