player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Chase Brown,77787,HB,ILLINOIS,12,329,83,23,32.0,522,0,1632,1,6,83,935,71.0,48,79,187,5,114,74.5,81.2,62.7,48.5,65.3,62.2,81.6,69.6,49,2,240,27,231,365,0,0,30,356,10,1632,935,2.84,5.0,1.04,205
Brad Roberts,125398,HB,AIR FORCE,12,307,37,15,27.2,437,0,1607,0,1,37,795,31.9,24,86,101,2,139,84.6,90.8,59.2,,44.3,65.5,88.6,60.9,71,1,9,1,12,483,0,0,1,308,15,1607,795,2.59,5.2,0.75,6
Mohamed Ibrahim,55226,HB,MINNESOTA,11,304,66,21,31.5,506,0,1604,0,1,66,1065,75.5,46,104,225,2,125,84.7,89.2,85.4,,33.1,60.1,87.4,62.1,54,0,50,7,114,328,0,0,7,311,19,1604,1065,3.5,5.3,0.44,179
Carson Steele,145632,HB,BALL ST,12,289,96,25,38.2,583,0,1528,0,9,96,1161,132.6,42,75,117,3,102,78.0,87.7,61.7,,42.9,66.0,90.4,46.6,48,1,166,29,238,334,0,0,36,318,14,1528,1161,4.02,5.3,0.7,185
Marquez Cooper,130489,HB,KENT STATE,12,284,81,18,27.4,361,0,1318,0,1,81,799,79.0,43,80,201,1,139,90.1,86.1,61.5,,73.0,56.4,87.4,58.2,46,1,94,8,207,346,0,0,13,292,13,1318,799,2.81,4.6,0.45,141
Khalan Laborn,57204,HB,MARSHALL,12,282,65,19,41.0,593,0,1445,1,5,65,804,66.7,37,80,214,5,56,63.7,79.7,60.3,60.0,43.4,59.4,83.7,45.5,83,1,122,17,235,342,0,0,25,299,16,1445,804,2.85,5.1,0.52,225
Bijan Robinson,123126,HB,TEXAS,12,257,104,21,38.6,608,0,1575,0,8,104,1071,169.1,41,79,311,2,112,81.6,95.3,87.7,,59.0,74.0,96.1,70.8,78,0,314,19,206,278,0,0,29,276,18,1575,1071,4.17,6.1,1.52,145
Quinshon Judkins,157128,HB,OLE MISS,12,252,74,24,45.9,677,0,1476,0,4,74,872,101.9,39,86,226,2,95,81.2,88.2,86.8,60.4,44.7,55.5,90.8,47.3,61,1,116,13,186,313,0,0,15,265,16,1476,872,3.46,5.9,0.62,156
Blake Corum,129574,HB,MICHIGAN,12,248,73,22,40.9,597,0,1461,0,2,73,832,97.5,36,96,222,1,157,91.7,96.2,49.6,,78.2,69.2,96.2,63.2,61,1,82,10,139,278,0,0,11,258,18,1461,832,3.35,5.9,0.59,90
Deuce Vaughn,122624,HB,KANSAS ST,12,244,45,19,41.2,536,0,1300,0,5,45,584,42.0,34,53,199,1,143,88.4,79.4,61.8,,17.4,77.3,81.1,53.5,69,1,343,41,258,347,0,0,52,285,7,1300,584,2.39,5.3,1.33,101
Israel Abanikanda,122999,HB,PITTSBURGH,11,241,46,19,44.2,631,0,1426,2,9,46,652,58.8,38,73,268,3,68,73.8,88.5,88.3,,37.7,51.5,90.6,59.0,80,0,146,12,161,267,0,0,17,253,20,1426,652,2.71,5.9,0.91,171
Calvin Tyler Jr.,52133,HB,UTAH ST,12,237,47,14,27.2,284,0,1043,0,2,47,635,52.5,21,53,329,2,159,79.8,73.8,59.7,,59.3,50.3,78.5,43.2,31,1,114,13,186,319,0,0,16,250,7,1043,635,2.68,4.4,0.61,75
DeWayne McBride,121495,HB,UAB,11,233,76,25,52.2,889,0,1702,0,1,76,1072,150.8,45,83,321,5,77,55.7,94.1,48.0,,64.9,52.6,93.5,57.1,68,1,10,2,68,254,0,0,4,235,19,1702,1072,4.6,7.3,0.15,155
Ray Davis,101072,HB,VANDERBILT,12,233,55,14,34.0,355,0,1044,1,6,55,737,73.6,24,55,333,1,74,87.5,82.7,87.1,56.8,39.2,67.8,84.9,63.0,45,0,169,29,220,302,0,0,37,262,5,1044,737,3.16,4.5,0.77,159
Samson Evans,84228,HB,E MICHIGAN,11,223,42,13,26.7,292,0,1094,2,5,42,664,58.8,28,69,160,2,153,85.0,82.4,88.6,71.5,51.8,51.3,84.3,66.8,42,0,82,15,164,268,0,0,19,238,14,1094,664,2.98,4.9,0.5,69
Raheim Sanders,146626,HB,ARKANSAS,12,221,65,23,48.2,698,0,1449,1,10,65,697,95.4,40,67,111,3,34,71.6,84.0,86.7,,53.3,59.7,87.8,51.8,76,0,248,27,233,299,0,0,31,248,10,1449,697,3.15,6.6,1.06,182
