player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Dru Prox,23093,LB,UTSA,3,0,5.0,66.7,86.7,12.5,8.3,0,0,0,0.0,331,57.4,66.6,76.2,55.0,76.3,65.4,0,16,50.0,1,0,0,92.4,2,26,30,0,1,3,0,25,13,1.0,12.5
John Porchivina,28202,LB,OLE MISS,1,0,,,100.0,,,0,0,0,,226,60.3,47.4,67.2,,60.0,,0,,,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0.0,
Colby Reeder,30285,LB,IOWA STATE,8,2,6.3,61.1,75.1,12.5,7.7,0,1,1,5.6,193,73.9,80.1,38.2,75.7,84.0,77.2,2,18,8.3,1,1,1,70.6,11,148,197,5,9,18,2,87,34,0.6,7.9
Kyle Pugh,35900,LB,N ILLINOIS,12,5,10.0,33.3,83.2,66.5,22.2,0,0,2,33.3,254,77.8,72.9,82.0,53.6,68.3,86.7,0,11,6.3,1,2,0,43.1,2,139,167,4,10,6,0,19,12,0.1,9.5
Jordan Carmouche,39951,LB,ARK STATE,12,3,6.0,72.7,87.6,18.6,13.5,0,0,0,0.0,113,56.2,58.4,59.3,52.3,62.3,79.7,0,51,6.3,1,0,1,130.5,16,325,371,3,12,22,2,198,130,0.7,12.4
Monte McGary,42477,CB,KANSAS,7,1,9.0,100.0,91.7,21.0,21.0,0,0,0,0.0,198,63.4,63.7,76.2,69.5,54.7,53.8,0,12,0.0,0,0,0,116.7,1,22,24,0,1,1,0,12,3,0.6,12.0
Bricen Garner,42520,S,W MICHIGAN,12,7,8.5,63.4,97.5,14.2,9.0,0,0,3,7.3,347,69.2,67.7,87.6,64.6,61.6,73.8,2,37,6.8,3,3,0,67.2,26,390,400,10,34,41,0,321,112,0.9,12.3
Brandon Moore,42620,CB,NEBRASKA,6,1,10.6,55.6,98.8,15.4,8.6,0,0,0,0.0,238,75.5,73.4,0.0,60.0,66.2,61.8,1,13,16.7,1,0,1,28.7,5,83,84,1,4,9,0,43,19,0.6,8.6
Brandon Bouyer-Randle,42637,LB,UCONN,12,4,1.6,84.6,57.4,8.9,7.5,0,0,0,0.0,146,67.6,64.9,86.9,64.5,60.2,82.3,2,30,12.0,3,0,0,63.9,22,213,371,9,18,26,0,183,154,0.9,8.3
Clifford Chattman,42657,S,UTSA,12,5,13.8,43.2,98.5,20.1,8.7,0,1,8,18.2,331,66.6,69.2,89.5,75.8,70.0,66.4,3,56,9.4,3,7,2,59.1,19,400,406,4,24,44,2,362,139,1.0,19.1
Anthony Watts,42807,DI,MARSHALL,12,0,17.0,100.0,4.5,10.0,10.0,0,0,0,0.0,214,50.3,58.6,60.4,59.2,65.1,55.2,0,49,33.3,1,0,1,118.8,1,10,221,2,2,1,0,49,32,4.9,49.0
Justin Clark,43185,CB,WISCONSIN,9,0,11.8,61.5,100.0,14.6,9.0,0,0,3,23.1,349,61.2,61.2,81.8,,59.3,62.7,0,29,16.7,1,0,2,85.7,8,125,125,1,5,13,0,101,19,0.9,12.6
